, 
"""\""""
"""", ""指定顶点组""","""\""""
"""",""Assign Vertex Group"""
将顶点组指定为遮罩,Assign a vertex group as mask
顶点组名称,Vertex Group Name
道具路径,Prop Path
当前对象中没有顶点组...,No vertex group in current object...
HairBrush3DObjectProps,HairBrush3DObjectProps
HairBrush3DWindowManagerProps,HairBrush3DWindowManagerProps
','
窗口,Window
VIEW3D_MT_hair_brush_opt,VIEW3D_MT_hair_brush_opt
折叠默认毛刷,Fold Default Brushes
折叠所有默认毛刷,Fold all the default hair brushes
启用画笔选项菜单,Enable Brush Option Menu
显示快捷菜单,Show the shortcut menu
启用毛发子代的修改器,Enable Modifier of Hair Children
切换属性 UI,Switch Property UI
将属性名称和值分成两部分,Split property name and value into two parts
预设位置,Preset Location
头发预设的路径,The path of hair presets
启用预设分页,Enable Pagination of Presets
行,Rows
列,Columns
按住,Ctrl
移位,Shift
按 Alt,Alt
渲染设置,Render Settings
渲染引擎,Render Engine
头发形状,Hair Shape
发丝形状,Strand Shape
发根直径,Diameter Root
发梢,Tip
半径曲线预设,Radius Curve Preset
应用,Apply
应用当前预设,Apply current preset
新建,New
创建新预置,Create a new preset
移除,Remove
移除当前预置,Remove current preset
循环发型,CyclesHair
隐藏视口叠加,Hide Viewport Overlays
显示视口叠加,Show Viewport Overlays
发形曲线,hair_shape_curve
预设名称,Preset Name
使用半径曲线,Use Radius Curve
使用曲线控制头发的半径,Use curve to control radius of the hair
使用随机直径,Use Diameter Random
随机设置头发的半径,Randomize radius of the hair
形状曲线,Shape Curve
随机种子,Random Seed
开始,Start
随机范围的起点,The start of random range
阈值,Threshold
随机厚度的阈值,Threshold of random thickness
直径顶点组,Diameter Vertex Group
控制直径刻度的顶点组,Vertex group to control diameter scale
直径顶点组 否定,Diameter Vertex Group Negate
循环毛发设置,Cycles Hair Settings
循环毛发设置,Cycles Hair settings
材质块,material_block
垫数据,mat_data
形状曲线块,shapeCurveBlock
颜色组块,colorGroupBlock
形状曲线表,shapeCurveTable
颜色组,colorGroups
世界块,world_block
世界数据,world_data
3D 画笔选项,3D Brush Options
画笔 3D 编辑,Brush 3D Edit
应用画笔 3D 编辑,Apply brush 3D edit
绘制引导线,Draw Guide Line
绘制或编辑引导线,Draw or edit guide lines
 使用鼠标滚轮设置某些尺寸属性（如画笔尺寸 , Set some size property (e.g. brush size) with mouse wheel 
径向控制,Radial Control
梳理,Comb
绘制,Draw
定向,Orient
扭曲,Twist
部件,Part
噪音,Noise
均匀,Uniform
端点,Endpoint
随机,Random
X,X
Y,Y
Z,Z
吸引,Attract
吸引方法,Attract Method
克隆,Clone
仅在 3D 模式下工作,Works in 3D mode only
.曲线雕刻,.curves_sculpt
偏转发射器,Deflect Emitter
距离,Distance
平滑,Smooth
添加,Add
密度,Density
最小距离,Distance Min
长度,Length
仅适用于 2D 模式,Works in 2D mode only
泡芙,Puff
蛇钩,Snake Hook
重量,Weight
方法,Method
颜色,Color
删除活动颜色组并重置发色,Delete the active color group and reset the hair color
撤销,Undo
撤销涂抹发色或删除颜色组。注意，一旦更改了毛发数量，就可以,"Undo painting hair color or deleting color group. Note, once you change the amount of hairs then you can"
指定颜色,Assign Color
为选定的毛发指定笔刷颜色,Assign brush color to the selected hair
设置笔刷形状,Set brush shape
预设,Preset
模式,Mode
粒子画笔派,Particle Brush Pie
内置光标,builtin.cursor
  ,  
画笔名称,Brush Name
更改画笔,Change Brush
画笔图标名称,Brush Icon Name
Ui 名称,Ui Name
粒子毛刷,Particle Hair Brushes
曲线毛刷,Curve Hair Brushes
活动画笔索引,Active Brush Index
自动隐藏饼状菜单,Auto Hiding Pie Menu
重置,Reset
将饼状菜单重置为默认值,Reset pie menu to default
加载画笔列表,Load Brush List
加载画笔列表以自定义饼形菜单,Load brush list to custom a pie menu
向饼状菜单添加画笔,Add brush to pie menu
您已添加所有画笔...,You have added all brushs...
删除画笔,Remove Brush
删除画笔,Remove brush
画笔索引,Brush Index
全部删除,Delete All
刷子3d.粒子.梳子,brush3d.particle.comb
头发_刷子_3d.梳子,hair_brush_3d.Comb
毛发_毛刷_3d.3d_梳子,hair_brush_3d.3d_comb
3D 梳子,3D Comb
删除所有画笔？,Remove all brushes?
移动画笔,Move Brush
移动方向,Move Direction
画笔饼菜单,Brush Pie Menu
清除,Clear
画笔选项,Brush Option
绘制模式,Draw Mode
公差,Tolerance
段数,Segments
添加头发的段数,Segment count of added hair
分段模式,Segment Mode
确定头发段数的算法,The algorithm to determine hair segment count
表面,Surface
将笔触粘贴到表面,Stick strokes to surface
平面,Plane
投影笔触的平面,Plane for projected stroke
偏移,Offset
使粒子远离发射器的距离,Distance to keep particles away from emitter
密度模式,Density Mode
最小距离,Minimum Distance
发根之间的最小距离,The minimum Distance between the roots of hair
最大计数,Count Max
每次添加头发的最大数量,The maximum number of hair to be added per time
禁用插值时新添加头发的长度,The length of newly added hair when Interpolate is disabled
自动切换,Auto Switch
启用自动切换,Enable auto switch
