, 
,"""\""""
"""",""Icons"""
按下 选择图标,Press to select an Icon
图标搜索,Icon Search
按名称搜索图标,search Icon by name
默认图标,Default Icon
按下清除时设置的默认图标,Default icon that get set when clear is pressed
重复使用,Reuse
重复使用上次选择的图标,Reuse the last selected icon
所选图标：,Selected Icon:
','
搜索：,Search:
清除图标,Clear Icon
自定义图标,Custom Icons
添加自定义图标,Add Custom Icon
删除,Delete
图标,Icon
选择图标,Select the Icon
添加自定义图标,Adds a custom Icon
删除图标,Delete Icon
删除自定义图标,Delete a custom Icon
选择,Select
所有图标,All Icons
选择所有图标,Select all Icons
操作按钮,ActionButtons
屏幕,Screen
AR_MT_action_pie,AR_MT_action_pie
AR_MT_Categories,AR_MT_Categories
插件的日志系统,logging system for the addon
%s_,%s_
内部,INTERNAL
仅供内部使用,INTERNAL USE ONLY
附加组件目录,addon directory
选项卡,Tab
在偏好选项卡之间切换,Switch between preference tabs
日志数量,Log Amount
在下次启动 Blender 时保留并应用的日志文件数量,Number of log files kept\nChanges apply on the next launch of Blender
图标路径,Icons Path
所添加图标的存储路径,The Path to the Storage for the added Icons
所选图标,selected icon
仅内部使用,only internal usage
自动更新,Auto Update
自动搜索新的更新,automatically search for a new update
更新进度,Update Progress
模式,Mode
记录宏,Record Macros
在文本编辑器中隐藏本地操作,Hide Local Action in Texteditor
在文本编辑器中隐藏本地操作,Hide the Local Action in the Texteditor
创建空宏,Create Empty
出错时创建空宏,Create Empty Macro on Error
最后标签,last label
最后命令,last command
Don,Don
自动保存,Autosave
自动将所有全局按钮保存到存储区,automatically saves all Global Buttons to the Storage
重命名,Rename
重命名所选操作,Rename the selected Action
隐藏,Hide
隐藏全局菜单,Hide the global Menu
存储路径,Storage Path
保存类别的存储路径,The Path to the Storage for the saved Categories
显示所有类别,Show All Categories
发布说明,Release Notes
检查更新,Check For Updates
重新启动以完成,Restart to Finish
有新版本 (%s),A new Version is available (%s)
您使用的是最新版本 (%s),You are using the latest Version (%s)
操作存储文件夹,Action Storage Folder
选择操作按钮,Select Action Button
存储路径,storage_path
恢复默认文件夹,Recover Default Folder
图标存储文件夹,Icon Storage Folder
选择图标存储文件夹,Select Icon Storage Folder
图标路径,icon_path
打开日志,Open Log
安装字体工具...,Installing fontTools...
手册,Manual
提示,Hint
错误报告,Bug Report
管理更新进程的数据,manage data for update processes
更新进度,Progress
更新,Update
检查更新,Check for Update
检查可用更新,check for available update
安装新版本,install the new version
重新启动 Blender,Restart Blender
您需要重启 Blender 才能完成更新,You need to restart Blender to complete the Update
{},{}
.,.
{0}.{1:03d},{0}.{1:03d}
"仅从模块内相对导入：ui, shared_data","only relative import from intra-modules: ui, shared_data"
类别,Categories
ActRec 馅饼菜单,ActRec Pie Menu
复制到动作记录器（单个）,Copy to Action Recorder (Single)
未使用,Unused
类别标签,Category Label
区域,Area
显示面板的所有可用区域,Shows all available areas for the panel
显示选定区域的所有可用模式,Shows all available modes for the selected area
标签,Label
添加类别,Add Category
编辑类别,Edit Category
编辑所选类别,Edit the selected Category
应用可见性,Apply Visibility
删除可见性,Delete Visibility
从类别中删除该可见性,Removes this visibility from the category
删除类别,Delete Category
删除所选类别,Delete the selected Category
将删除该类别中的所有操作,All Actions in this Category will be deleted
删除类别：%s,Remove Category: %s
上移,Move Up
上移类别,Move the Category up
下移,Move Down
下移类别,Move the Category down
重新分类操作按钮,Recategorize Action Button
将选定的操作重新分配到另一个类别,Reallocate the selected Action to another Category
导入,Import
将动作文件导入存储区,Import the Action file into the storage
包含快捷方式,Include Shortcuts
包含已添加的操作快捷方式,Include the added Shortcuts of the actions
加载导入设置,Load import settings
加载选择文件以更改导入设置,Loads the select file to change the import settings
AR_IMPORT_TEMP,AR_IMPORT_TEMP
导出,Export
将操作文件导出为 .json 文件,Export the Action file as a .json file
文件路径,File Path
导出文件时使用的文件路径,Filepath used for exporting the file
所有类别,All
导出所有类别,Export all category
保存,Save
将所有全局操作保存到存储区,Save all Global Actions to the Storage
加载,Load
