"法向工具","normal tools"
"网格工具","mesh tools"
"着色","shading"
"快速修改器","quick modifiers"
"ND9H-高级布尔工具","ND9H-Advanced Boolean Tool"
"倒角预览","Bevel preview"
"手动倒角","Manual Bevel"
"倒角","Bevel"
"布尔","Boolean"
"不同的","Different"
"不同的布尔值","Different boolean"
"片","Slice"
"切片布尔值","Slice boolean"
"并集","Union"
"并集布尔","Union boolean"
"自动 UV","Auto UV"
"自动 UV 展开","Auto UV Unwrap"
"固体阴影","Soild Shade"
"固体着色器","soild shader"
"线条阴影","Wire Shade"
"线条着色器","wire shader"
"纹理实体","Textured Soild"
"视口纹理着色","view port textured shading"
"显示线框","Show Wire"
"显示对象","show object"
"隐藏相框","Hide Wire"
"隐藏对象","hide object"
"镜像","Mirror"
"快速镜像修改器","quick mirror modifier"
"自动权重法线","auto weight normal"
"自动加权法线网格","auto weight normal mesh"
"阵列","Array"
"快速阵列修改器","quick array modifier"
"应用所有修改器","Apply All Modifiers"
"一次应用所有修改器","Applay all modifiers at once"
"删除所有修改器","Delete All Modifiers"
"一次删除所有修改器","Delete all modifiers at once"
"自动锐边","Auto Hard Edge"
"自动锐化倒角","Auto Sharp edges for bevel"
"设置锐边","Set Hard Edge"
"设置倒角边","Set bevel edge"
"软边","Soften Edge"
"清理","Clean Up"
"烘焙布尔值","Bake Booleans"
"选择 N-gon 面","Select N-gons"
"选择Tris","Select Tris"
"平面法线","Flat Face Normal"
"烘焙布尔值","Bake Boolean"
"长方体布尔值","Box boolean"
"倒角调整","bevel adjust"
"斜面重量","Bevel weight"
"删除替身","Remove Doubles"
"硬化","Solidify"
"清除自定义法线","clear custom normal"
"曲线","Curve"
"取消选择棋盘格","Checker deselect"
"自动合并","Auto Merge"
"自动合并重复项","auto merge duplicates"
"自动倒角","Auto bevel"
"使用硬角度自动倒角预览","Auto bevel preview using hard angles "
"手动倒角","Manual bevel"
"使用倒角权重手动预览倒角","Manual bevel preview using bevel weight"
"窗口","Window"
"ABT_OT 菜单","ABT_OT_menu"
