将 FBXs/OBJs/GLTFs 导出到 Unity/UE/Godot,Export FBXs/OBJs/GLTFs to Unity/UE/Godot
, 
,"""\""""
"""",""Export FBXs/OBJs/GLTFs"""
在操作系统中打开导出目录,Open Export Directory in OS
导出工具,Export Tools
导出模式：,Export Mode:
文件格式,File Format:
目标引擎,Target Engine:
应用,Apply:
旋转,Rotation
缩放,Scale
位置,Location
删除所有材质,Delete All Materials
合并所有网格,Combine All Meshes
网格三角化,Triangulate Meshes
自定义文件名,Custom Name for File
文件名：,File Name:
自定义导出选项,Custom Export Options
 平滑, Smoothing
 松散边缘, Loose Edges
 切线空间, Tangent Space
 仅变形骨骼, Only Deform Bones
 添加骨骼叶片, Add Leaf Bones
 VC 色彩空间, VC color space
 自定义道具, Custom Props
 按垫子分离, Separate By Mats
 平滑组, Smooth Groups
 打包图像, Pack Images
 仅变形骨骼, Deform Bones Only
 自定义属性, Custom Properties
 切线, Tangents
 属性, Attributes
自定义导出路径,Custom Export Path
导出路径：,Export Path:
将 FBX 导出到 Unity,Export FBX to Unity
将 FBX 导出到虚幻,Export FBX to Unreal
导出 OBJ,Export OBJ
导出 GLTF,Export GLTF
打开导出目录,Open Export Directory
调色板纹理创建器,Palette Texture Creator
','
调色板_,Palette_
非彩色,Non-Color
调色板_烘焙平面,Palette_Bake_Plane
sRGB,sRGB
在操作系统中打开保存目录,Open Save Directory in OS
在多编辑模式下为某些对象指定材质,Assign Materials for some objects in MultiEdit Mode
为某些对象指定材质,Assign Materials for some objects
清除顶点颜色,Clear Vertex Colors
# 清除顶点颜色,# Clear Vertex Colors
材质颜色到视口颜色,Material Color to Viewport Color
随机材质视口颜色,Random Material Viewport Color
清除视口颜色,Clear Viewport Color
从对象中删除未使用的材质和插槽,Delete from Objects Unused Materials and Slots
删除未使用的材质,Delete Unused Materials
在 UV 编辑器中从活动材质中选择纹理,Select Texture In UV Editor From Active Material
选择纹理,Select Texture
材质没有纹理,Material has not textures
网格没有材质,Mesh has not materials
物体不是网格,Object is not mesh
未找到已打开的 UV 编辑器,Opened UV Editor not found
在 3D 视图中从活动材质选择纹理,Select Texture In 3D View From Active Material
OBJECT_MT_select_texture_menu 菜单,OBJECT_MT_select_texture_menu
材质/纹理工具,Material/Texture Tools
材质 -> 视口颜色,Material -> Viewport Color
PBR_Workflow,PBR_Workflow
自定义保存路径,Custom Save Path
保存路径：,Save Path:
创建调色板纹理,Create Palette Texture
打开保存目录,Open Save Directory
在 UV 编辑器中打开纹理,Open Texture in UV Editor
活动材质 -> 已选择,Active Material -> Selected
原点至最小值 ,Origin To Min 
原点至最小值,Origin To Min
原点至最大值 ,Origin To Max 
原点至最大值,Origin To Max
原点至中间 ,Origin To Mid 
原点至中间,Origin To Mid
原点对齐至光标,Origin Align To Cursor
原点对齐至光标,Origin To Cursor
原点对齐至指定坐标,Origin Align To Spec Coordinate
将原点设置为选区,Set Origin To Selection
原点工具,Origin Tools
原点对齐,Origin Align
几何图形至原点,Geometry To Origin
X,X
Y,Y
Z,Z
最小值,Min
最大值,Max
中间,Middle
光标,Cursor
坐标,Coordinate
将原点设置为所选原点,Set Origin To Selected
清除自定义分割法线,Clear Custom Split Normals
重新计算法线,Recalculate Normals
翻转/计算法线,Flip/Calculate Normals
将对象名称转换为数据名称,Obj Name to Data Name
"将 ""列名 ""改为 ""对象名",Col Name to Obj Name
将选定骨骼合并为活动骨骼,Merge Selected Bones to Active
重量画笔子抽象模式,Weight Paint Brush Substract Mode
其他工具,Other Tools
对象名称 -> 数据名称,Obj Name -> Data Name
 方法, Method
 放置 , Place 
 类型样式 , Style of Type 
集合名称 -> 对象名称,Collection Name -> Obj Name
清除自定义法线,Clear Custom Normals
重新计算法线,Recalc Normals
内部,Inside
