, 
"""\""""
"""", ""生成 AO 遮罩组""","""\""""
"""",""Generate AO Group Mask"""
在选定对象上生成 AO 遮罩组,Generates an AO mask group on the selected object
导入曲面效果,Import Surface Effect
导入并添加选定的曲面效果。,Imports and adds the selected surface effect.
应用（顶点绘制）,Apply (Vertex Paint)
导入效果并将其设置为顶点绘制。,Imports the effect and sets it up for vertex painting.
刷新效果属性,Refresh Effect Properties
刷新效果属性,Refreshes the effect properties
曲面效果,Surface Effects
应用到所选效果,Apply to Selected
应用（重量绘制）,Apply (Weight Paint)
辅助工具,Helper Tools
顶点组操作,Vertex Group Operations
从选定顶点组,Vertex Group from Selected
顶点组遮罩,Vertex Group Masks
环境遮蔽,Ambient Occlusion
网格效果,Mesh Effects
修改器样式,Modifier Styles
修改模式,Modify Mode
位移类型,Displacement Type
分解折叠,Decimate Collapse
分解角度,Decimate Angle
镜像,Mirror
三角化,Triangulate
创建发射矩阵,Create Emissive Mat
导入参数网格效果,Import Parametric Mesh Effect
导入并添加选定的参数网格效果,Imports and adds the selected parametric mesh effect
导入参数网格模板,Import Parametric Mesh Template
导入并添加选定的参数网格效果模板,Imports and adds the selected parametric mesh effect template
参数,Parametric
导入模板,Import Template
导入结构网格效果,Import Structural Mesh Effect
导入并添加选定的结构网格效果,Imports and adds the selected structural mesh effect
导入结构网格效果模板,Import Structural Mesh Template
导入并添加选定的结构网格效果模板,Imports and adds the selected structural mesh effect template
结构,Structural
导入网格位移,Import Mesh Displacement
导入并添加选定的网格位移效果,Imports and adds the selected mesh displacement effect
位移,Displacement
需要较高的几何体密度。,Requires high geometry density.
打开深度工具文件夹,Open Depth Tool Folder
创建顶点对象,Create Vertex Object
在 3D 光标上创建具有单个顶点的对象,Creates an object with a single vertex on the 3D Cursor
添加蒙皮和子曲面,Add Skin and Subsurf
添加蒙皮和子曲面修改器,Adds the Skin and Subsurf modifiers
打开深度工具,Open Depth Tool
打开深度工具文件,Opens the depth tool file
导入体积效果,Import Volume Effect
导入并添加所选的体积效果。,Imports and adds the selected volume effect.
音量效果,Volume Effects
文件夹路径,Folder Path
超级秘密男孩乐队,Super secret boy band.
我不,I don
','
允许镜像,Allow Mirror
允许添加镜像修饰符,Allow the addition of a mirror modifier
生成类型,Generation Type
要执行的生成类型,The type of generation to perform
生成位移类型,Generation Displacement Type
生成的位移类型,The displacement type for the generation
衰减修改器的折叠率,Collapse ratio for the Decimation modifier
细化修改器的平面角度,Planar angle for the Decimation modifier
允许旧修改,Allow Old Mods
修改器存在时允许修改,Allow modification when modifiers are present
允许添加三角测量修改器,Allow the addition of a triangulate modifier
创建发射材料,Create Emissive Material
允许创建发射材质,Allows for the creation of an emissive material
修改类型,Modify Type
要应用的样式类型,The type of style to apply
输入源,Input Source
解释器的输入源,Input source for the interpreter
输出源,Output Source
解释器的输出源,Output source for the interpreter
移除预存,Remove Pre-Existing
在读取输入之前移除所选对象上的修改器,Remove modifiers on selected object before reading input
使集合唯一,Make Collection Unique
使导入的集合唯一,Make the imported collection unique
新建对象,New Object
复制 ,Copy of 
纹理,Texture
图像,Image
修改器,Modifier
数据传输,DataTransfer
网格缓存,MeshCache
网格序列缓存,MeshSequenceCache
法线编辑,NormalEdit
加权法线,WeightedNormal
UV 工程,UVProject
翘曲,Warp
顶点权重编辑,VertexWeightEdit
顶点重量混合,VertexWeightMix
顶点权重邻近度,VertexWeightProximity
阵列,Array
斜面,Bevel
布尔值,Boolean
构建,Build
十进制,Decimate
边缘分割,EdgeSplit
蒙版,Mask
多重网格,Multires
重网格,Remesh
螺钉,Screw
皮肤,Skin
固化,Solidify
下表面处理,Subsurf
焊接,Weld
线框,Wireframe
电枢,Armature
铸造,Cast
曲线,Curve
位移,Displace
钩,Hook
拉普拉斯变形,LaplacianDeform
网格,Lattice
变形,Deform
收缩包装,Shrinkwrap
简单变形,SimpleDeform
平滑,Smooth
矫正平滑,CorrectiveSmooth
拉普拉斯平滑,LaplacianSmooth
表面变形,SurfaceDeform
波浪,Wave
布,Cloth
碰撞,Collision
动态绘制,DynamicPaint
爆炸,Explode
流体,Fluid
海洋,Ocean
粒子实例,ParticleInstance
粒子系统,ParticleSystem
软体,SoftBody
摄像机,Cameras
灯光,Lights
清空,Empties
物体,Objects
曲线,Curves
曲面,Surfaces
元,Metas
文本,Text
体积,Volumes
纟,Armatures
网格,Lattices
油脂铅笔,Grease Pencils
光线探针,Light Probes
