, 
,"""\""""
"""",""BW_Post_Col"""
BW_Post_,BW_Post_
对象复制,Object Copy
应用修改器的复制,Copy with modifiers applied
对象剥离,Object Stripped
删除修改器的副本,Copy with modifiers stripped
对象 VCol 复制,Object VCol Copy
保留修改器的副本,Copy with modifiers intact
笼子,Cage
烘烤牧马人自动生成的笼子,Bake Wrangler auto generated cage
','
非彩色,Non-Color
线性,Linear
烘烤,bake_
Mat_plane_,mat_plane_
%s.%s,%s.%s
bw_basic_,bw_basic_
bw_bent_,bw_bent_
bw_mask_,bw_mask_
BW_Combined,BW_Combined
在状态栏中显示烘干图标,Show BW Icon in Status Bar
显示一个根据烘焙状态改变颜色的图标，点击该图标可以调出日志,Shows an icon that changes color based on baking state and can be clicked on to bring up the log
信息到文本编辑器,Messages to Text editor
除控制台外，还可将信息写入文本块,Write messages to a text block in addition to the console
清除旧信息,Clear Old Messages
在每次新的烘焙之前清除文本块,Clear the text block before each new bake
在新窗口中打开文本,Open Text in new Window
每次开始新的烘焙时，都会打开一个新窗口显示文本块,A new window will be opened displaying the text block each time a new bake is started
自动关闭文本窗口,Auto Close Text Window
在成功完成烘焙后关闭文本窗口,Close the text window on successful bake completion
节点默认值,Node Defaults
默认的一般节点选项,Default general node options
网格,Meshes
显示网格类型对象,Show mesh type objects
曲线,Curves
显示曲线类型对象,Show curve type objects
曲面,Surfaces
显示曲面类型对象,Show surface type objects
元,Metas
显示元类型对象,Show meta type objects
字体,Fonts
显示字体类型对象,Show font type objects
灯光,Lights
显示灯光类型对象,Show light type objects
集合,Collections
仅切换集合,Toggle only collections
展开高级设置,Expand Advanced Settings
在创建节点时展开高级设置，而不是一开始就折叠设置,Expand advanced settings on node creation instead of starting with them collapsed
反转烘焙修改器中的选择,Invert Selected in Bake Modifiers
将烘焙修改器选项使用的选择方法从忽略视口隐藏修改器反转为烘焙修改器,Inverts the selection method used by the Bake Modifiers option from ignoring viewport hidden modifiers to baking them
渲染默认值,Render Defaults
渲染选项的默认设置,Default settings for rendering options
默认烘焙样本,Default Bake Samples
创建新传递节点时设置的每个像素的采样数目,The number of samples per pixel that new Pass nodes will be set to when created
默认烘焙 X 分辨率,Default Bake X Resolution
创建新传递节点时设置的 X 分辨率,The X resolution new Pass nodes will be set to when created
默认烘焙 Y 分辨率,Default Bake Y Resolution
创建新通过节点时将设置的 Y 分辨率,The Y resolution new Pass nodes will be set to when created
默认设备,Default Device
创建新传递节点时将设置的渲染设备,The render device new Pass nodes will be set to when created
默认光线距离,Default Ray Distance
创建新网格节点时使用的射线距离,The ray distance that new Mesh nodes will use when created
默认最大光线距离,Default Max Ray Dist
创建新网格节点时将使用的最大光线距离,The max ray distance that new Mesh nodes will use when created
默认边距,Default Margin
创建新网格节点时使用的边距,The margin that new Mesh nodes will use when created
默认遮罩边距,Default Mask Margin
创建新网格节点时将使用的遮罩边距,The mask margin that new Mesh nodes will use when created
对象始终可见,Objects Always Visible
启用此选项可在烘焙时忽略所选对象的可见性，使其无论在搅拌器中如何设置都可见,"Enable to ignore the visibility of selected objects when baking, making them visible regardless of settings in blender"
输出默认值,Output Defaults
输出选项的默认设置,Default settings for output options
默认输出格式,Default Output Format
创建新的输出节点时将使用的格式,The format new Output nodes will use when created
默认输出 X 分辨率,Default Output X Resolution
创建新输出节点时将设置的 X 分辨率,The X resolution new Output nodes will be set to when created
默认输出 Y 分辨率,Default Output Y Resolution
创建新输出节点时将设置的 Y 分辨率,The Y resolution new Output nodes will be set to when created
默认输出路径,Default Output Path
创建新输出节点时将使用的路径,The path new Output nodes will use when created
默认输出名称,Default Output Name
创建新输出节点时将使用的名称,The name new Output nodes will use when created
创建路径,Create Paths
如果所选路径没有,If selected path doesn
自动打开烘焙图像,Auto open bakes
自动打开已烘焙的图像（如果没有的话,Automatically open the baked image in blender if it isn
保存打包的图像,Save packed images
在烘焙之前，保存任何已打包的更改图像，否则这些更改将无法在烘焙过程中应用,"Prior to baking, save any packed images with changes or they will not apply during the bake"
保存未打包的图像,Save unpacked images
在烘焙之前，保存任何未打包的已更改图像，否则它们将不会在烘焙过程中应用,"Prior to baking, save any unpacked images with changes or they will not apply during the bake"
禁用附加组件,Disable Add-ons
在后台烘焙实例中禁用附加组件（加载时间更快，某些第三方附加组件会导致进程崩溃）,Disable add-ons in the background baking instance (faster load times and some 3rd party add-ons can crash the process)
调试,Debug
启用额外的调试输出,Enable additional debugging output
过滤器,Filter:
样本,Samples
X,X
Y,Y
设备,Device
边距,Margin
掩膜边距,Mask Margin
射线距离,Ray Distance
最大射线距离,Max Ray Dist
格式,Format
图像路径,Image Path
图像名称,Image Name
烘焙处理器状态,Bake Wrangler Status
烘焙漫游日志,Bake Wangler Log
烘焙旺格温度混合,Bake Wangler Temp Blend
FBX 预置,FBX Presets
添加 FBX 预置,Add FBX preset
包括,Include
变形,Transform
几何体,Geometry
纟,Armature
烘焙动画,Bake Animation
输出导出网格,Output Export Mesh
输出路径,Output Path
保存网格的路径,Path to save mesh in
输出文件,Output File
保存网格的文件前缀,File prefix to save mesh as
输出文件格式,Export file format
烘焙配方,Bake Recipe
烘焙配方.%03d,Bake Recipe.%03d
配方信息,Recipe Info
区域,area
未加载配方,No recipe loaded
食谱版本： ,Recipe version: 
插件版本： ,Add-on version: 
节点： ,Nodes: 
状态： 附加元件需要更新,Status: Add-on requires update
状态： 需要更新 配方需要更新,Status: Recipe requires update
更新配方,Update Recipe
更新不可用,Update Unavailable
自动笼,Auto Cages
显示日志,Show Log
生成笼子,Generate Cages
更新笼子,Update Cages
删除笼子,Remove Cages
添加选定,Add Selected
丢弃数据,Discard Data
应用数据,Apply Data
取消烘烤,Cancel Bake
烘烤通过,Bake Pass
!!! 验证失败：,!!! Validation FAILED:
详情请查看控制台,See console for details
!!! 材料警告：,!!! Material Warnings:
烘焙节点编辑器,Bake Node Editor
已初始化,Initialized
树版本,Tree Version
最后日志,Last Log
对象,Object
以某种方式用于烘焙传递的对象,Object to be used in some way in a bake pass
类型,Type
值类型的 ID 字符串,ID String of value type
递归选择,Recursive Selection
启用后，将使用所选集合中的所有集合,When enabled all collections within the selected collection will be used
选择 UV 贴图,Pick UV Map
可选择使用哪个 UV 贴图，而不是当前使用的贴图,Enables selecting which UV map to use instead of the active one
UV 贴图,UV Map
如果值是网格，则使用 UV 贴图代替当前贴图,UV Map to use instead of active if value is a mesh
使用笼子,Use Cage
启用保持架和选择保持架网格,Enables cage usage and selection of cage mesh
使用保持架的网格,Mesh to use a cage
材质,Material
在烘焙时使用的材质,Material to be used in a bake pass
网格,Mesh
颜色,Color
后缀,Suffix
附加到此输出文件名的后缀,Suffix appended to filename for this output
名称,Name
通道图,Channel Map
输入通道,Input Channel
要取值的输入颜色数据的通道,Channel of input color data to take values from
从,From
浮动,Float
面,Fac
数值,Value
基数,Base
指数,Exponent
烘烤,Bake
网格设置,Mesh Settings
通过设置,Pass Settings
采样设置,Sample Settings
输出设置,Output Settings
对象名称,Object Names
分割输出,Split Output
保存图像的路径,Path to save image in
保存图像的文件前缀,File prefix to save image as
路径 ,Path: 
名称 ,Name: 
停止...,Stopping...
设置,Settings
固定,Pin
固定时，在节点树中全局使用设置,"When pinned, use settings globally in node tree"
从选定对象到活动对象烘烤时向内光线投射的距离,Distance to use for inward ray cast when using a selected to active bake
活动对象和选定对象之间匹配点的最大射线距离。如果为零，则没有限制,"The maximum ray distance for matching points between the active and selected objects. If zero, there is no limit"
作为后处理滤镜扩展烘焙结果,Extends the baked result as a post process filter
扩展,Extend
边距向外扩展边界像素（而不是从相邻面取值）,Margin extends border pixels outward (instead of taking values from adjacent faces)
为蒙版烘焙添加额外的填充。如果启用遮罩时边缘细节被剪切掉，则使用此功能,Adds extra padding to the mask bake. Use if edge details are being cut off when masking is enabled
自动笼罩,Auto Cage
自动为不需要遮罩的对象生成遮罩。,Automatically generate a cage for objects that don
笼子扩展,Cage Expansion
从原始对象扩展自动生成的笼状几何体的距离,Distance to expand automatically generated cage geometry from original object
保持架平滑角度,Cage Smoothing Angle
应用自动法线平滑的角度范围,Angle range that automatic normal smoothing will be applied to
材质覆盖,Material Override
用指定的材质替换所选对象上的所有材质（没有材质的对象将添加新材质）,Replace all materials on selected objects with the specified material (objects without a material will have it added)
覆盖材质,Override Material
用于替代所有其他材质的材质,Material that will be used in place of all other materials
OSL,OSL
材质使用 OSL 着色器节点,Material uses an OSL shader node
将修改烘焙为未修改,Bake Mods to Unmodded
