, 
"""\""""
"""", ""BlenRig 修复错位骨骼","""\""""
"""",""BlenRig Fix Misaligned Bones"""
修复烘焙后错位的骨骼,Fixes misaligned bones after baking
BlenRig 自动计算滚动角度,BlenRig Auto Calulate Roll Angles
将滚动角度设置为预定义值,Set roll angles to their predefined values
BlenRig 用户定义滚动角度,BlenRig User Defined Roll Angles
计算用户定义的滚动角度和对齐方式,Calulate roll angles and aligns defined by user
BlenRig 存储滚动角度,BlenRig Store Roll Angles
存储每个骨骼的当前滚动角度,Store current roll angles for each bone
BlenRig 恢复滚动角度,BlenRig restore Roll Angles
将滚动角度还原为保存在每个骨骼中的角度,Retore roll angles to the ones saved in each bone
BlenRig 重置动态塑形,BlenRig Reset Dynamic Shaping
重置动态塑形值,Reset Dynamic Shaping values
BlenRig 镜像体量保持约束 L 至 R,BlenRig Mirror Volume Preservation Constraints L to R
镜像左至右的体量保持约束,Mirror Volume Preservation Constraints L to R
BlenRig 镜像真实关节约束 L 至 R,BlenRig Mirror Realistic Joints Constraints L to R
镜像真实关节约束 L 至 R,Mirror Realistic Joints Constraints L to R
BlenRig 计算 IK 杆角度,BlenRig Calculate IK Pole Angles
计算 IK 杆角度,Calculate IK Pole Angles
BlenRig 计算地板偏移,BlenRig Calculate Floor Offsets
计算地板偏移,Calculate Floor Offsets
BlenRig 6 网格烘焙,BlenRig 6 Mesh Baker
将当前姿势烘焙到网格,Bake current pose to mesh
','
基础,Basis
烘焙形状,Baked_shape
BlenRig 6 重置挂钩,BlenRig 6 Reset Hooks
重置网格和曲线上的钩点,Reset Hooks on Lattices and Curves
BlenRig 6 禁用钩子修改器,BlenRig 6 Disable Hooks modifier
禁用钩子修改器,Disable Hooks modifier
BlenRig 6 重置变形器,BlenRig 6 Reset Deformers
重置电枢相关的网格和曲线,Reset Armature related Lattices and Curves
BlenRig 6 电枢烘焙,BlenRig 6 Armature Baker
将当前姿势烘焙到衔铁,Bake current pose to armature
BlenRig 6 重置约束,BlenRig 6 Reset Constraints
重置所有姿势约束,Reset all posebone constraints
缩放至所选,BlenRig Zoom to Selected
缩放至选定 / 查看全部,Zoom to selected / View All
BlenRig 插入关键帧到主动画属性,BlenRig Insert Keyframes To Main Animation Properties
为主要动画属性插入关键帧,Insert Keyframes to main animation properties
BlenRig 选择头部拉伸,BlenRig Select head_stretch
头部拉伸,head_stretch
BlenRig 选择头部卡通,BlenRig Select head_toon
头部,head_toon
,BlenRig Select head_top_ctrl
,head_top_ctrl
,BlenRigSelect head_mid_ctrl
,head_mid_ctrl
,BlenRig Select head_mid_curve
,head_mid_curve
,BlenRig Select mouth_str_ctrl
,mouth_str_ctrl
,BlenRIg Select look_L
,look_L
,BlenRIg Select look_R
,look_R
,BlenRIg Select look
,look
,BlenRIg Select head_fk
,head_fk
,BlenRIg Select head_ik_ctrl
,head_ik_ctrl
,BlenRig Select neck_4_toon
,neck_4_toon
,BlenRig Select face_toon_up
,face_toon_up
,BlenRig Select face_toon_mid
,face_toon_mid
,BlenRig Select face_toon_low
,face_toon_low
,BlenRig Select neck_3
,neck_3_ik_ctrl / neck_3_fk
,BlenRig Select neck_2
,neck_2_ik_ctrl / neck_2_fk
,BlenRig Select neck_1
,neck_1_fk
,neck_2_fk
,neck_3_fk
,BlenRig Select neck_fk_ctrl
,neck_fk_ctrl
,BlenRig Select neck_3_toon
,neck_3_toon
,BlenRig Select neck_2_toon
,neck_2_toon
,BlenRig Select neck_ctrl
,neck_ik_ctrl / neck_fk_ctrl
,BlenRig Select clavi_toon_R
,clavi_toon_R
,BlenRig Select shoulder_rot_R
,shoulder_rot_R
,BlenRig Select shoulder_R
,shoulder_R
,BlenRig Select head_scale
,head_scale
,BlenRig Select shoulder_L
,shoulder_L
,BlenRig Select shoulder_rot_L
,shoulder_rot_L
,BlenRig Select clavi_toon_L
,clavi_toon_L
,BlenRig Select arm_toon_R
,arm_toon_R
,BlenRig Select elbow_pole_R
,elbow_pole_R
,BlenRig Select forearm_toon_R
,forearm_toon_R
,BlenRig Select arm_scale_R
,arm_scale_R
,BlenRig Select arm_fk_R
,arm_fk_R
,arm_fk_ctrl_R
,BlenRig Select arm_ik_R
,arm_ik_R
,BlenRig Select elbow_toon_R
,elbow_toon_R
,BlenRig Select forearm_fk_R
,forearm_fk_R
,BlenRig Select forearm_ik_R
,forearm_ik_R
,BlenRig Select hand_toon_R
,hand_toon_R
,BlenRig Select arm_toon_L
,arm_toon_L
,BlenRig Select elbow_pole_L
,elbow_pole_L
,BlenRig Select forearm_toon_L
,forearm_toon_L
,BlenRig Select arm_scale_L
,arm_scale_L
,BlenRig Select arm_fk_L
,arm_fk_L
,arm_fk_ctrl_L
,BlenRig Select arm_ik_L
,arm_ik_L
,BlenRig Select elbow_toon_L
,elbow_toon_L
,BlenRig Select forearm_fk_L
,forearm_fk_L
,BlenRig Select forearm_ik_L
,forearm_ik_L
,BlenRig Select hand_toon_L
,hand_toon_L
,BlenRig Select torso_ctrl
,torso_ik_ctrl / torso_fk_ctrl / torso_inv_ctrl
,BlenRig Select spine_3
,spine_3_ik_ctrl / spine_3_fk / spine_3_inv
,BlenRig Select spine_2
,spine_2_ik_ctrl / spine_2_fk / spine_2_inv
,BlenRig Select spine_1
,spine_1_ik_ctrl / spine_1_fk / spine_1_inv
,spine_1_fk
,spine_2_fk
,spine_3_fk
,BlenRig Select torso_fk_ctrl
,torso_fk_ctrl
,BlenRig Select spine_2_fk_inv
,spine_2_fk_inv
,BlenRig Select spine_3_fk_inv
,spine_3_fk_inv
,BlenRig Select torso_fk_ctrl_inv
,torso_fk_ctrl_inv
,BlenRig Select spine_4_toon
,spine_4_toon
,BlenRig Select spine_3_toon
,spine_3_toon
,BlenRig Select spine_2_toon
,spine_2_toon
,BlenRig Select spine_1_toon
,spine_1_toon
,BlenRig Select spine_3_inv_ctrl
,spine_3_inv_ctrl
,BlenRig Select pelvis_toon
,pelvis_toon
,BlenRig Select pelvis_ctrl
,pelvis_ctrl
,pelvis_ctrl / pelvis_inv
,BlenRig Select master_torso_pivot_point
,master_torso_pivot_point
,BlenRig Select master_torso
,master_torso
,BlenRig Select hand_roll_R
,palm_bend_ik_ctrl_R / palm_bend_fk_ctrl_R
,BlenRig Select hand_ik_pivot_point_R
,hand_ik_pivot_point_R
,BlenRig Select hand_ik_ctrl_R
,hand_ik_ctrl_R
,BlenRig Select hand_fk_R
,hand_fk_R
