将位置转换为 Blender 坐标,Convert location to Blender coordinates
围绕局部 x、y、z 旋转对象,"rotates an object around a local x,y,z rotation"
围绕本地单轴旋转对象,rotates an object around a local single axis
用名称和类型创建一个空,create an empty with a name and type
 , 
"""\""""
"""", ""BlenderAe_AeLayers.json""(中文)","""\""""
"""",""BlenderAe_AeLayers.json"""
BlenderAe_AeLayers.jsxbin,BlenderAe_AeLayers.jsxbin
BlenderAe_AeLayers.jsx,BlenderAe_AeLayers.jsx
从父对象中获取实体尺寸，以偏移对象的位置,Get the solid dimensions from the parent to offset the obj position
检查对象是否为平面（平面）,check if an object is planar (flat)
返回面的全局位置、旋转角度及相关顶点位置,"Returns a face global location and rotation, and associated vertex locations"
检查一组嵌套列表是否相同，如果值相同则返回 True,"Check whether a set of nested lists are the same, returns True if the values are identical"
','
AfterFX.exe,AfterFX.exe
已连接,Connected
----,----
连接到 After Effects,Connect to Ae
连接到 After Effects 的活动实例,Connect to active instance of After Effects
断开连接,Disconnect
从活动的 After Effects 实例断开连接,Disconnect from active instance of After Effects
将数据导出为 After Effects 的 json 格式,Export data to json for After Effects
导出到 Ae,Export to Ae
将选定数据导出到 After Effects,Export selected to After Effects
从 After Effects 导入 json 数据,Import json data from After Effects
导入图层,Import Layers
导入选定的 After Effects 图层。目前支持 3D 相机轨迹、实体和空值,"Import selected After Effects layers. 3D Camera tracks, solids, nulls currently supported"
将选定对象导入或导出至 After Effects,Export and import selected objects to and from After Effects
BlenderAe,BlenderAe
中心偏移,Center Offset
相机传感器设置,Camera Sensor Settings
尺寸,Size
宽度,Width
高度,Height
电枢选项,Armature Options
电枢路径,Ae Path
Ae 连接,Ae Connected
Ae 连接图标,Ae Connected Icon
导出比例,Export Scale
更改导出数据的导出场景比例,Change the export scene scale for the exported data
导入比例,Import Scale
调整导入的比例。在 Blender 和 Ae 之间循环使用摄像机时，请使用 10.0。,Adjust the imported scale. Use 10.0 for roundtripping a camera between Blender and Ae.
使用 Ae 合成中心,Use Ae Comp Center
