,"""\""""
"""",""Preview Folder"""
导出路径,Exports path
缓存文件夹,Cache Folder
用于烘焙 Dinamic Paint Canvas 的缓存文件夹,Cache Folder for Bakes of Dinamic Paint Canvas
预览渲染,Preview Rendering
预览输出,Preview Output
翻页书启动时关闭叠加效果,Overlays Off when Flipbook Start
使用子文件夹,Use subfolders
仅用于图像序列,Only for img sequences
导出/导入,Export/Import
导出路径,Exports Path
动态绘制,Dynamic Paint
缓存路径,Cache Path
 删除列表中对象的数据路径指示中的特定帧 frame_target ," Elimina el frame especifico frame_target de la curva, del data path indicado a los objetos del listado "
开始 | 持续时间,Start | Duration
增加 减少,Increase Decrease
增加 | 减少,Increase | Decrease
从 | 到,From | To
切换,Switch
帧,Frame
添加,Add
更新,Update
删除,Remove
 上下文覆盖 Blender 4.0 , Context Override Blender 4.0 
边框,BoundingBox
" 使用示例：hide_unhide_collection(context, coll.name, 'hide_viewport', visibility=self.visible) "," Example of use: hide_unhide_collection(context, coll.name, 'hide_viewport', visibility=self.visible) "
输入：,Inputs:
 对象类别，以更简便实用的方式（按需）获取附加组件中最常用的路线/年份/条目。," Clase del Objeto para obtener (ondemand) las rutas/y/o items más utilizadas en el addon, de una manera más fácil y práctica "
 将激活对象的白名单中的修改器复制到选择中 , copiamos los modificadores de la lista blanca del objeto activo a la seleccion 
 要使用的素材白名单，与包含 .blend 的素材无关 ," White List de los materiales que se van a usar, independientemente de los que contenga el .blend "
 这样，我们就可以选择缩略图的名称、名称的参数。                        ," De esta manera se cual es cual, mat: thumbnail_name, name_para_el_append                         "
 , 
','
安装枕头,Install Pillow
.\n,.\n
PIL,PIL
 为以后注册准备元组中的类 , PREPARING THE CLASSES IN TUPLES FOR LATER REGISTRATION 
烘焙当前缓存,Bake Current Cache
磁盘缓存,Disk Cache
使用 ,To use 
 在其他对象中使用粒子修改器，以避免被缓存。," Apagamos en el resto de objetos, el modifier de particulas para evitar ser cacheados "
刷新缓存,Refresh Cache
当前缓存 要烘焙,Current Cache To Bake
 此操作可执行 Blender 的操作，但不允许在灰度环境下将其安装到我的计算机中。, Este ejecuta el de blender pero no permite ponerlo en mi ui sin estar en gris 
烘焙模拟缓存,Bake Simulation Cache
在几何节点修改器中烘焙模拟,Bake simulations in geometry nodes modifiers
删除缓存的模拟,Delete Cached Simulation
删除几何节点修改器中的缓存/烘焙模拟,Delete cached/baked simulations in geometry nodes modifiers
全部烘焙,Bake All
免费全部烘焙,Free Bake All
按钮,Button
动画按钮,Animation Button
添加画笔,Add Brush
添加画布,Add Canvas
模糊图像,Blur images
用枕头模糊图像,Blur images with pillow
添加材质,Add Material
添加到材质图像序列,Add to material Image sequence
新材质,NuevoMaterial
常用输出,Common Exports
常用输出代码,Common Exports code
未保存的场景,unsaved_scene
导出 Alembic,Export Alembic
将选定网格导出到 Alembic,Export selected meshes to Alembic
导出美元,Export USD
将所选网格导出为美元,Export selected meshes to USD
导出 OBJ,Export OBJ
将选定的网格布导出为 OBJ,Export selected meshes to OBJ
设置流体预置,Set Fluid Presets
设置流体预置,Fluid Presets set
删除流体预置,Remove Fluid Preset
保存预设,Save Preset
保存流体预置,Save Fluid Presets
新建预置,New Preset
新流体预置,New Fluid Preset
名称,Name
新预设名称,New Preset Name
 软启动 y 软结束 应用 , Soft Start y Soft End  APPLY 
 软启动 y 软结束 删除 , Soft Start y Soft End  REMOVE 
软启动,Soft Start
为软启动添加关键帧,Add keyframes for Soft Start
 软启动应用 , Soft Start Apply 
删除软启动的关键帧,Remove keyframes for Soft Start
 软启动删除 , Soft Start Remove 
软结束,Soft End
为软结束添加关键帧,Add keyframes for Soft End
 软结束应用 , Soft End Apply 
移除软结束的关键帧,Remove keyframes for Soft End
 移除柔化结束 , Soft End Remove 
在此处停止作用力,Stop Force Here
添加力,Add Force
添加对撞机力,Add Collider Force
移除力,Remove Force
添加碰撞力,Remove Collider Force
添加网格力,Add Mesh Force
移除网格力,Remove Mesh Force
基础类 添加新组/力,Base Class Add New Group/Force
基础类 添加组/力,Base Class Add Group/Force
 下拉列表 实用工具   , Dropdowns lists Utilities   
移动项目,Move Item
在列表中移动项目,Move Item in List
 在列表中移动项目的基类 , Base Class for Move items in lists 
 有必要在 target_list 中加入 .list 和 .list_index , Es necesario que el target_list teng dentro un .list y un .list_index 
 下拉列表操作符  , Dropdowns lists Operators  
列表复制,List Duplication
 常用复制方法的基类 , Base Class for common methods of duplication 
材料,Material
复制组,Duplicate Group
重复群组,Duplicate Group Iten
复制发射器,Duplicate Emitter
复制发射器,Duplicate Emitter Iten
 下拉列表 UI  , Dropdowns lists UI  
组列表子菜单,Group List Submenu
发射器列表子菜单,Emitters List Submenu
复制组,Duplicate Groups
新名称,New Name
重复部队,Duplicate Forces
部队组列表子菜单,Force Groups List Submenu
作用力列表子菜单,Forces List Submenu
添加新对撞机,Add New Colliders
