, 
"""\""""
"""", ""新对象""","""\""""
"""",""New Object"""
复制 ,Copy of 
纹理,Texture
','
图像,Image
修改器,Modifier
数据传输,DataTransfer
网格缓存,MeshCache
网格序列缓存,MeshSequenceCache
法线编辑,NormalEdit
加权法线,WeightedNormal
UV Project,UVProject
翘曲,Warp
顶点权重编辑,VertexWeightEdit
顶点重量混合,VertexWeightMix
顶点权重邻近度,VertexWeightProximity
阵列,Array
斜面,Bevel
布尔值,Boolean
构建,Build
十进制,Decimate
边缘分割,EdgeSplit
遮罩,Mask
镜像,Mirror
多重网格,Multires
重网格,Remesh
螺钉,Screw
皮肤,Skin
固化,Solidify
子曲面,Subsurf
三角化,Triangulate
焊接,Weld
线框,Wireframe
电枢,Armature
铸造,Cast
曲线,Curve
位移,Displace
钩,Hook
拉普拉斯变形,LaplacianDeform
网格,Lattice
变形,Deform
收缩包装,Shrinkwrap
简单变形,SimpleDeform
平滑,Smooth
矫正平滑,CorrectiveSmooth
拉普拉斯平滑,LaplacianSmooth
表面变形,SurfaceDeform
波浪,Wave
布,Cloth
碰撞,Collision
动态油漆,DynamicPaint
爆炸,Explode
流体,Fluid
海洋,Ocean
粒子实例,ParticleInstance
粒子系统,ParticleSystem
软体,SoftBody
摄像机,Cameras
灯光,Lights
清空,Empties
物体,Objects
曲线,Curves
曲面,Surfaces
元,Metas
文本,Text
体积,Volumes
纟,Armatures
网格,Lattices
油脂铅笔,Grease Pencils
光线探针,Light Probes
清理模式,Cleanup Mode
清理模式,The mode of cleanup
自动平滑角度,Autosmooth Angle
自动平滑的角度,The angle for autosmoothing
材料名称,Material Name
要执行清理操作的材质,The material to perform cleanup operations on
选择模式,Selection Mode
选择模式,The mode of selection
选择相似字符串,Select Similar String
用于查找名称中包含该字符串的对象,Used for finding objects that include this in their name
仅限场景,Is Scene Only
切换是否只在活动场景中搜索,Toggles whether to only search in the active scene
是否区分大小写,Is Case Sensitive
切换在比较名称时是否考虑大小写,Toggles whether to consider case when comparing names
