,"""\""""
"""",""Your InstaLOD cloud account."""
您的 InstaLOD 云许可证序列号或密码。,Your InstaLOD cloud license serial number or password.
选择包含 InstaLODCmd 可执行文件的文件夹。,Select the folder containing the InstaLODCmd executable.
选择要执行的外部配置文件。,Select the external profile for execution.
文件格式,File Formats
文件类型,Type
自动质量,Automatic Quality
自动质量模式使 InstaLOD 能够动态调整优化参数，从而使各种输入几何体获得相似的质量。,"The automatic quality mode enables InstaLOD to dynamically adjust the optimization parameters, to achieve a similar quality for a wide range of input geometry."
目标网格的绝对多边形数量。,The absolute amount of polygons for the target mesh.
以像素为单位的优化目标画面尺寸。,The target screen size for the optimization in pixels.
控制允许的最大网格误差。优化程序会在超过此值时停止。,Controls the maximum allowed mesh error. The optimizer stops before exceeding this value.
输出网格的多边形数量与输入网格多边形数量的百分比。,The amount of polygons in percent of the output mesh in relation to the input mesh polygon count.
重新计算输出网格的法线。,Recalculate normals of the output mesh.
重新计算法线时：平滑法线会根据各种几何属性进行加权。,When recalculating normals: smoothed normals are weighted by various geometric properties.
法线愈合模式,Normal Healing Mode
InstaLOD 可以自动修复优化过程中出现的无效法线。,Invalid normals that can occur during optimization can automatically be fixed by InstaLOD.
重新计算法线时：如果法线角度低于此值（单位：度），则平滑面。,When recalculating normals: smooth faces if the normal angle is below this value (in degrees).
焊接距离阈值。,Welding distance threshold.
防止焊接不在同一 UV 壳中的 UV。,Prevents welding of UVs that are not in the same UV shell.
如果焊接的法线与楔形法线之间的角度大于指定值（单位：度），则会阻止焊接法线。,Prevents welding of normals if the angle between the welded normal and the wedge normal is above the specified value in degrees.
如果设置的值大于 0，则会在顶点-边缘距离小于指定阈值时自动修复 T 型结点。,"If set to a value > 0, automatically heals T-Junctions if the vertex-edge distance is below the specified threshold."
防止优化分割顶点。如果 UV 和法线分割需要保持原样，这将非常有用。,Prevents optimization of split vertices. This is useful if UV and normal splits need to be preserved as is.
防止优化网格边界上的顶点。如果网格中包含需要按原样保留的孔洞，这将非常有用。,Prevents optimization of vertices on the mesh boundary. This is useful if the mesh contains holes that need to be preserved as is.
启用优化顶点位置以减少网格误差。如果禁用，顶点将始终沿边缘移动。,Enable optimal placement of vertices to reduce mesh error. If disabled vertices will always move along edges.
防止网格边界上的顶点移动到曲面上。,Prevents vertices on mesh boundaries from moving into the surface.
防止拓扑违规。禁用该功能可能会造成孔洞，但可以更好地优化低多边形模型。,"Prevents topological violations. Disabling can cause holes, but can enable a better optimization for low poly models."
颜色集名称,Color Set Name
禁用全局优化将指示 InstaLOD 以孤立的方式优化每个选定的网格。\建议继续启用全局优化。,Disabling global optimization will instruct InstaLOD to optimize each selected mesh in an isolated manner. \nIndividual meshes will not influence the optimization of other meshes in the selection.\nIt is recommended to keep global optimization enabled.
重要性,Importance
