,"""\""""
"""",""Tabs"""
设置,Settings:
自动删除,Auto Delete
警告，删除菜单仍在对象模式 (X) 中启用,"Warning, Delete Menu is still enabled in Object Mode (X)"
修复,Fix
重置为默认值，弹出菜单,"Reset to Default, popup menu"
切换重拓扑,Toggle Retopology
未安装 Poly Quilt,Poly Quilt is not installed
下载,Download
边缘宽度,Edge Width:
玛雅透视,Maya Pivot
快速合并,Fast Merge
"警告 ""添加对象 ""饼状菜单当前为 (Shift Alt A)",Warning Add Objects Pie Menu is Currently (Shift Alt A)
修复重新绑定到 (Shift A)？,Fix Rebind to (Shift A)?
添加对象饼,Add Objects Pie
添加菜单当前为（Shift Alt A）,Add Menu is currently (Shift Alt A)
将添加菜单重置为（Shift A）？,Reset Add Menu back to (Shift A)?
查看相机派警告，当前被（空格）播放阻止,"View Camera Pie Warning, Currently Blocked by (Space) Play"
修复：播放到（Shift 空格）,Fix: Play to (Shift Space)
查看相机派,View Camera Pie
播放动画当前（空格移位）,Play Animation Currently (Shift Space)
播放回（空格）？,Play back to (Space)?
UV 工具,UV Tools
面板名称（需要重新启动）,panel name (restart required)
操作,Operations
饼形菜单,Pie Menus
这里还没有......将来会添加一些很酷的东西,Nothing here yet... will add somthing cool in the future
在 Blender 中重新绑定快捷键,Rebind Shortcuts in Blender
WIP. 警告：即使删除插件，在保存预览时也会覆盖当前快捷方式。,"WIP. Warning this will overwrite your current shortcuts when prefrences are saved, even if you remove the addon"
将上下文菜单重新绑定为 W（操作符）,Rebind Context Menu to W (Operator)
将上下文菜单重新绑定到默认右键（操作员）,Rebind Context Menu to Default RightClick (Operator)
将上下文菜单重新绑定到空格键（操作员）,Rebind Context Menu to Shift Space (Operator)
空格查看相机派移位,Space To View Camera Pie Shift
将上下文菜单重新绑定到空格（操作员）,Rebind Context Menu to Space (Operator)
将上下文菜单重新绑定到 A 档（操作员）,Rebind Context Menu to Shift A (Operator)
将上下文菜单重新绑定到 Shift Alt A（操作员）,Rebind Context Menu to Shift Alt A (Operator)
饼状菜单设置（操作员）,Pie Menu Settings (Operator)
无延迟馅饼菜单设置,No Lag Pie Menu Settings
 , 
重置为默认饼状菜单设置,Reset to Defualt Pie Menu Settings
玛雅导航,Maya Navigation
添加类似 Maya 中的导航功能,Adds Navigation that works like in Maya
双击选择岛,Double Click Select Island
双击选择网格岛，效果与 Maya 相同,Double Click to Select Mesh Island like in Maya
UV 饼,UV Pies
实用工具饼,Utility Pie
添加修改器饼,Add Modifier Pie
传统快捷方式,Legacy Shortcuts
工作区馅饼,Workspace Pie
光标饼,Cursor Pie
修改器键,Modifier Key
CAD 降维,CAD Decimate
自动 LOD,Auto LOD
快速烘焙名称,Quick Bake Name
多边形数量列表,Polycount List
实用工具面板,Utilities Panel
快速导出,Quick Export
属性操作,Atributes Operations
材质实用工具,Material Utilities
溶解边缘,Dissolve Edge
工具,Tool
自定义工具,Custom Tool
颜色,Color
面 Alpha,Face Alpha
边缘宽度,Edge Width
行为,Behavior
显示小工具,Show Gizmo
选项,Options
限制,Limit
顶点,Verts
相对缩放比例,Relative Scale
默认相对比例值,Default Relative Scale Value
屏幕尺寸,Screen Size
屏幕尺寸,Size
默认常规比例尺寸值,Default Regular Scale Size Value
最小尺寸,Min Size
相对缩放最小尺寸值,Relative Scale Min Size Value
添加空而不是猴子,Add Empty Instead of Monkey
添加网格派,Add Mesh Pie
UV 球体,UV Sphere
立方体,Cube
圆柱体,Cylinder
平面,Plane
圆柱体模型,Mod Cylinder
空,Empty
猴形,Monkey
四面体,Quad Sphere
圆形,Circle
阵列,Array
固化,Solidify
斜面,Bevel
加权法线,Weighted Normal
网格,Lattice
焊接,Weld
三角化,Triangulate
收缩包装,Shrinkwrap
切换工作区,Switch Workspace
布局,Layout
建模,Modeling
着色,Shading
UV 编辑器,UV Editor
UV 编辑,UV Editing
脚本,Scripting
纹理绘制,Texture Paint
几何节点,Geometry Nodes
雕刻,Sculpting
原点到 3D 光标,Origin to 3D Cursor
原点至选区,Origin to Selection
光标至选区,Cursor to Selection
选区至光标,Selection to Cursor
选择至网格,Selection to Grid
光标至网格,Cursor to Grid
光标至世界原点,Cursor to World Origin
光标至活动,Cursor to Active
UV 空间派,UV Space Pie
拉直四边形,Straighten Quads
隔离岛屿（切换）,Isolate Island (Toggle)
打包母版,Pack Master
快速打包,Quick Pack
就地解包,Unwrap Inplace
解开并打包,Unwrap and Pack
选定的拆包,Unwrap Selected
边缘矫直,Straighten after Edge
查看所选,View Selected
实时展开,Live Unwrap
UV 贴图菜单,UV Mapping Menu
VIEW3D_MT_uv_map,VIEW3D_MT_uv_map
按角度接缝,Seam by Angle
展开并打包,Unfold and Pack
拼接工具,Seam Tool
mesh_tool.poly_quilt_seam,mesh_tool.poly_quilt_seam
修正面属性g,Correct Face Attributesg
在边缘后对岛屿进行四边形化,Quadrify Island after edge
制作单个用户,Make Single User
自动合并,Auto Merge
通过锐边平滑,Smooth by Sharp Edge
UV Q 派,UV Q Pie
选择重叠,Select Overlapping
将岛屿定向到边缘,Orient Island to Edge
堆叠相似的岛,Stack Similar Islands
来自 UV 岛的锐边,Sharp Edges from UV Islands
岛屿的接缝,Seams from Islands
镜像接缝,Mirror Seams
镜像所选接缝,Mirror Selected Seams
取消堆叠岛屿,Unstack Islands
选择相似的岛,Select Similar Islands
对象,Object
数据,Data
材质,Materials
对象动画,Object Animation
对象动画数据,Object Animation Data
UV 贴图,UV Mapping
解除包裹,Unwrap
智能项目,Smart Project
光贴图包,Lightmap Pack
跟随活动四边形,Follow Active Quads
立方体项目,Cube Project
圆柱体项目,Cylinder Project
球体项目,Sphere Project
从视图查看项目,Project From View
项目自视图边界,Project From View Bounds
重置,Reset
解包操作符,Unwraping Operator
解包类型,Unwrap Types
解包选项,Unwrap Options
打包岛屿,Pack Islands
拉直所选,Streighten Selected
针岛,Pin Island
边缘后拉直,Streighten After Edge
相对浮动缩放,scale_relative_float
添加网格,Add a mesh
添加网格,Add Mesh
网格类型,Mesh Type
网格的绝对缩放比例,Absolute scale of the mesh
使用相对缩放比例,Use Relative Scale
相对比例,Scale Relative
网格的相对比例,Relative scale of the mesh
分段,Segments
圆柱体的分段数,Amount of segments the cylinder has
下潜量,Subdive Amount
使用修改器,Use Modifiers
顶点,Vertices
圆的顶点数量,Amount of vertices the circle has
环,Rings
球体的环数,Amount of rings the sphere has
添加修改器,Add a modifier
添加修改器,Add Modifier
修改器类型,Modifier Type
保持标准,Keep Normals
保持锐利,Keep Sharp
合并阈值,Merge Threshold
模式,Mode
已修改,Modified
使用最终几何体。仅限编辑模式,Use final geometry. Edit mode only
单个,Individual
为每个对象指定单独的网格,Assign individual lattice per object
网格样式,Lattice Style
细分,Subdivisions
','
指定,Assign
删除,Remove
选择,Select
浮点数值,Float Value
顶点组,Vertex Group
边缘组,Edge Group
面组,Face Group
关键操作：属性操作,KeyOps: Atri OP
属性操作,Atributte Operations
顶点组,Vertex_Group
边缘组,Edge_Group
面组,Face_Group
浮点颜色值,Float Color Value
关键操作：自动删除,KeyOps: Auto Delete
删除小面,Delete Small Faces
删除松散边缘,Delete Loose Edges
生成 LOD,Generate LODs
EDGE_SPLIT,EDGE_SPLIT
