"添加节点设置","Add Node Setup"
"添加设置","Add Setup"
"漫画材质","Komikaze 3.1 Addon"
"仅支持 Cycles/Eevee","Only Cycles / Eevee supported"
"选择对象","Select Object"
"添加材料","Add Material"
"启用节点","Enable Nodes"
"添加着色器","Add Shader"
"透明度","Alpha"
"水绿色 Aqua","Aqua"
"ASCII 码","ASCII"
"基本卡通","Basic Toon"
"蓝图","Blueprint"
"饱和度","Chroma"
"宇宙","Cosmos"
"抖动","Dither"
"余烬","Ember"
"重金属","Heavy Metal"
"全息图","Hologram"
"希望","Hope"
"地狱","Inferno"
"胶片颗粒","Jaipur Noire"
"天运","Kismet"
"莫莉","Molly"
"记事本+","Notepad+"
"轮廓","Outlines"
"圆点图案","Polka Dots"
"棱镜","Prism"
"洛基","Rocky"
"涂鸦","Scribbles"
"木刻阴影 3","Shaderverse 3 Tones"
"木刻阴影","Shaderverse"
"雪","Snow"
"风之杖","Wind Waker"
"着色器","Shader"

"波角度","Wave Angle"

"宽高比 X","Aspect Ratio X"
"宽高比 Y","Aspect Ratio Y"
"映射：摄像机 I 窗口","Mapping : Camera | Window"

"网格透明度","Grid Opacity"

"空间颜色","Space Color"
"星云颜色","Nebula Color"
"星云比例","Nebula Scale"
"星云速度","Nebula Speed"
"星云强度","Nebula Intensity"
"菲涅尔颜色","Fresnel Color"
"菲涅尔系数","Fresnel Factor"
"菲涅尔透明度","Fresnel Opacity"
"菲涅尔强度","Fresnel Intensity"
"星体颜色","Star Color"
"随机星体颜色","Random Star Color"
"星体密度","Star Density"
"星体比例","Star Scale"
"星体强度","Star Intensity"
"速度 X","Speed X"
"速度 Y","Speed Y"
"速度 Z","Speed Z"
"背面剔除","Backface Cull"
"自定义矢量","Custom Vector"

"粗糙度强度","Roughness Strength"

"频带 1","Band 1"
"频带 2","Band 2"
"频带 3","Band 3"
"纹理细节","Texture Detail"
"纹理失真","Texture Distortion"

"耀斑强度","Flare Intensity"

"前颜色","Pre Color"
"燃烧系数","Burn Factor"
"燃烧颜色","Burn Color"
"燃烧厚度","Burn Thickness"
"后颜色","Post Color"
"后颜色透明度","Post Color Opacity"

"映射：摄像机/窗口/对象","Mapping : Camera / Window / Object"

"软/硬法线","Soft / Hard Normals"

"线性 I 常量","Linear | Constant"

"裂纹宽度","Crackle Width"
"次裂纹","Sub Crackle"
"随机色调","Random Hue"
"随机饱和度","Random Saturation"

"雪亮面","Snow Light"
"雪暗面","Snow Dark"
"基础亮面","Base Light"
"基础暗面","Base Dark"
"雪亮面阈值","Snow Threshold Light"
"雪暗面阈值","Snow Threshold Dark"
"基础阈值","Base Threshold"
"高光强度","Highlight Strength"

"正面颜色","Color Front"
"背面颜色","Color Back"
"映射：对象 | UV","Mapping : Object | UV"
"背面外壳","Backface Hull"
