"","Show in Object Mode Context Menu"
"","Show in Edit Mode Context Menu"
"","Show LoopTools Wrappers"
"","Show Mesh Split tool"
"","Show Delete Menu"
"","HUD Scale"
"","HUD Font Color"
"","Show Hints"
"","Follow Mouse"
"","Timeout"
"","Factor to speed up or slow down time based modal operators like Create Stash, Boolean, Symmetrize drawing, etc"
"","Stashes HUD offset"
"","Flick Distance"
"","Normal Transfer Matcap"
"","Experimental Features"
"","Plug Libraries"
"","New Library Name"
"","Reverse Plug Sorting (requires library reload or Blender restart)"
"","Size of Plug Libary Icons"
"","Size of Icons in Plug Libaries"
"","Show Plug Count next to Library Name"
"","Show Plug Buttons below Libraries"
"","Show Plug Name on Insert Button"
"","Show Plug Names in Plug Libraries"
"","Auto-X-Ray the plug and its subsets, when inserting Plug into scene"
"","Fading wire frames (experimental)"
"","Plug Creator"
"","Use Legacy Line Smoothing"
"","Legacy Line Smoothing using the depreciated bgl module\nIf this is disabled, lines drawn by MESHmachine won"
"","'"
"","Tabs"
"","Plug Mode"
"","Remove Plugs"
"","Update is available"
"","Plug Settings"
"","MACHIN3"
"","Get More Plugs"
"","Menu"
"","show in Context Menus"
"","in Edit Mode"
"","in Object Mode"
"","Tools"
"","Normal Transfer"
"","Matcap used for Surface Check."
"","Leave empty, to disable"
"","HUD"
"","True"
"","HUD Color"
"","Stashes HUD Offset"
"","Symmetrize"
"","View 3D"
"","Experimental"
"","Use Experimental Features, at your own risk"
"","Not covered by Product Support!"
"","Keymaps"
"","Location"
"","Libraries"
"","Asset Loaders"
"","Size of Plug Library Icons"
"","Size of Icons in Plug Libraries"
"","Reverse Plug Sorting"
"","reqiures library reload or Blender restart"
"","Show Plug Names in Decal Libraries"
"","Show Plug Name on Insert Buttons"
"","Show Plugs "
"","Change this, so Plugs created by you, are tagged with your info!"
"","Blender Addons"
"","MESHmachine"
"","Web"
"","Gumroad"
"","Blender Market"
"","DECALmachine"
"","MACHIN3tools"
"","MESHmachine Documentation"
"","Docs"
"","Youtube"
"","FAQ"
"","Get Support"
"","MESHmachine Discussion"
"","Blender Artists"
"","polycount"
"","Follow my work"
"","Twitter @machin3io"
"","Twitter #MESHmachine"
"","Artstation"
"","Show in MESHmachine Menu"
"","Prevent Plug Creation. Requires Library Reload"
"","Scale"
""," "
"","stash version"
"","stash uuid"
"","Stash Object"
"","Self Stash"
"","Flipped Normals"
"","Align Mode"
"","Insert Plug at Mouse or Cursor position"
"","Draw Active Stash in 3D View"
"","Draw Active Stash in X-Ray"
"","is stash object"
"","Delta Matrix"
"","Orphan Matrix"
"","stash name"
"","Stash Matrix"
"","Target Matrix"
"","plug uuid"
"","is plug"
"","is plug handle"
"","is plug deformer"
"","is plug subset"
"","is plug occluder"
"","has fillet"
"","Deformer Precision"
"","Use Deformer"
"","Force Subset Deform"
"","Mouse Position for Plug Insertion"
"","Add Boolean"
"","Finish"
"","Finish and select Cutters"
"","Viewport"
"","Cancel"
"","MACHIN3: Boolean"
"","Add Boolean Modifier"
"","Method"
"","Solver"
"","Auto-Smooth"
"","Angle"
"","Time (s"
"","%s"
"","MACHIN3: Boolean Apply"
"","Apply all Boolean Modifiers, and stash the Cutters"
"","Stash Original"
"","Stash Operants"
"","Apply All Modifiers"
"","Boolean"
"","MACHIN3: Boolean Cleanup"
"","Merge verts on cyclic selections resulting from Boolean operations"
"","Side"
"","Flip Red to Green"
"","Threshold"
"","Triangulate"
"","Flip"
"","MACHIN3: Boolean Duplicate"
"","Duplicate Boolean Objects with their Cutters\nALT: Instance the Object and Cutter Meshes"
"","Instance"
"","MACHIN3: Chamfer"
"","Chamfer cyclic selections resulting from Boolean Operations"
"圆滑","Smooth"
"","Side A"
"","Side B"
"","Merge"
"","Reach"
"","Create Vertex Groups"
"","Side Select"
"","Loop Slide"
"","chamfer"
"","FACES"
"","MACHIN3: Change Width"
"","Change the width of Chamfers(flat Bevels)"
"","Width"
"","Reverse"
"","Taper"
"","Taper Flip"
"","Single"
"","Cyclic"
"","MACHIN3: Conform"
"","Conform selection to Stash surface"
"","X-Ray"
"","Alpha"
"","Apply Shrink Wrap"
"","Remove Vertex Group"
"","MACHIN3: Create Plug"
"","Create Plug from mesh object(s)"
"","conform"
"","%s_handle"
"","MACHIN3: Add Plug To Library"
"","Add selected Plug to Plug Library"
"","Add Mode"
"","Name (optional)"
"","Show Indicators"
"","FILLET or EDGE"
"","HOOK or ARRAY"
"","DEFORMER"
"","Library"
"","Name (optiona)"
"","Path Preview"
"","%s_%s.blend"
"","%s_%s.png"
"","%s_%s"
"","%s.blend"
"","%s.png"
"","View Layer"
"","Plug Asset"
"","MACHIN3: Set Plug Props"
"","Set/Change Plug properties"
"","Property"
"","Has Fillet"
"","Careful, values above 4 are increasingly slow"
"","MACHIN3: Clear Plug Properties"
"","Clear Plug properties"
"","Also Clear Vertex Groups"
"","MACHIN3: Debug Whatever"
"","MACHIN3: Debug MESHmachine"
"","MACHIN3: Get Angle"
"","MACHIN3: Get Length"
"","MACHIN3: Draw Debug"
"","MACHIN3: Debug HUD"
"","Unchamfer Method"
"","Segments"
"弧度","Tension"
"","Tension Presets"
"","平均张力"
"","Force Projected Loop"
"","Width (experimental)"
"","MACHIN3: Get Sides"
"","Draw Timer"
"","Countdown (s)"
"","MACHIN3: Draw Stash"
"","MACHIN3: Vertex Info"
"","Raycast"
"","MACHIN3: Loops or Handles"
"","Create rounded Bevels from Chamfers"
"","Get Loops or Handles"
"","Force Projected Loops"
"","MACHIN3: Get Faces Linked to Verts"
"","MACHIN3: Flatten"
"","Flatten Polygon(s) along Edges or Normal"
"","Mode"
"","Dissolve"
"","Face Mode"
"","MACHIN3: Fuse"
"","Cap"
"","融并角度"
"","Shade Smooth"
"","Insert Plug"
"","Remove Plug"
"","This removes the plug "
"","Removing a plug deletes it from the hard drive, this cannot be undone!"
"","MACHIN3: Make Unique"
"","Make Instanced Mesh Objects Unique incl. any Instanced Boolean Operators"
"","MACHIN3: Mark Loop"
"","Mark/Unmark edges for preferential treatement by Fuse/Refuse"
"","Clear"
"","MACHIN3: Normal Flatten"
"","Flatten uneven shading on (mostly) ngons"
"","Angle Threshold"
"","Angle Threshold Presets"
"","Clear Existing Normals"
"","MACHIN3: Normal Straighten"
"","Straighten uneven shading on straight fuse surface sections"
"","MACHIN3: Normal Transfer"
"","Transfer Normals from Stash"
"","Apply Normal Transfer"
"","Limit by Sharps"
"","MatCap Switch"
"","MACHIN3: Normal Clear"
"","Reset normals of the selected geometry, keep unselected geo as is"
"","Limit to Selection"
"","MACHIN3: Offset"
"","Offset cyclic edgeloops resulting from Boolean Operations to create a perimeter loop"
"","Loop Slide "
"","Face Method"
"","Create Vertex Group"
"","offset"
"","MACHIN3: Offset Cut"
"","description"
"","Resample"
"","Factor"
"","Iterations"
"","Optimize"
"","Extend"
"","Spread"
"","Precision"
"","Wiggle"
"","Shift"
"","pipe%d"
"","MACHIN3: Plug"
"","Embed Plug into mesh surface"
"","Contain"
"","Amount"
"","Fillet or Edge"
"","Offset"
"","Rotation"
"","Deformation"
"","Deform Plug"
"","Deform Subsets"
"","Interpolation Falloff (Surface Deform)"
"","Mesh Deform"
"","Plug Precision"
"","Subset Precision"
"","Initial Run"
"","Integration"
"","Transformation"
"","Plug"
"","Subsets"
"","Appereance"
"","MACHIN3: Delete Plug"
"","MACHIN3: Quad Corner"
"","Convert a triangular Bevel Corner to Quad Corner"
"","Turn"
"","Corner"
"","Quick Patch"
"","MACHIN3: Quick Patch"
"","Create a surface confirming polygon patch by drawing 4 corner points."
"","Subdivisions"
"","QuickPatch"
"","MACHIN3: Real Mirror"
"","Convert Mirrod Modifiers into real geometry with proper origins and properly mirrored custom normals"
"","U"
"","V"
"","Mirror Custom Normals"
"","Create RealMirror Collections"
"","Apply Data Transfers"
"","UV Offset"
"","MACHIN3: Refuse"
