,"""\""""
"""",""Render Output"""
将该文件夹输入结果的最后路径设置为渲染的输出路径,Set the last path this folder input results in as output path for your renders
文件夹名称,Folder Name
自动设置文件夹。添加子文件夹的格式： 文件夹>>子文件夹>>子文件夹,Automatic Setup Folder. Format for Adding Subfolders: Folder>>Subfolder>>Subsubfolder
此路径当前是否可访问,Whether this path is currently reachable
该路径是否保存在书签中，或由操作系统生成,"Whether this path is saved in bookmarks, or generated from OS"
活动项目,Active Project
文件浏览器面板中应显示哪个项目。,Which project should be displayed in the Filebrowser panel.
自定义属性,Custom Property
用户界面部分,UI Section
显示超级项目管理器首选项的不同 UI 元素。,Display the different UI Elements of the Super Project Manager preferences.
文件夹结构集,Folder Structure Set
所有可用文件夹集的列表。,A list of all available folder sets.
项目名称前缀,Project Name Prefix
如果启用，则使用项目名称作为所有文件夹的前缀,"If enabled, use the project name as prefix for all folders"
自动设置渲染输出路径,Auto Set Render Output Path
如果启用，可使用自动设置渲染输出路径功能,"If enabled, the feature to automatically set the Render Output path can be used"
默认项目位置,Default Project Location
保存到,Save to
预览已编译的子文件夹,Preview compiled Subfolders
在首选项中显示已编译的子文件夹字符串,Show the compiled subfolder-strings in the preferences
Pidgeon 工具袋 (PTB) 偏好设置,Pidgeon Tool Bag (PTB) Preferences
依赖关系,Dependencies
保存设置,Save Settings
文件夹结构集： ,Folder Structure Set: 
预览,Preview
cv2,cv2
numpy,numpy
matplotlib,matplotlib
 用于抑制标准输出的上下文管理器。, A context manager to suppress standard output. 
 将当前场景渲染到指定文件路径，并返回渲染时间。, Render the current scene to the specified file path and return the render time. 
检查依赖项,Check Dependencies
检查插件所需的 Python 依赖项,Checks for the Python dependencies required by the addon
安装依赖项,Install Dependencies
安装插件所需的 Python 依赖项,Install the Python dependencies required by the addon
打开插件首选项,Open Addon Prefs
打开附加组件首选项,Open the addon preferences
Pidgeon 工具包,Pidgeon Tool Bag
渲染,render
信息,Info
Pidgeon Tool Bag：,Pidgeon Tool Bag:
v1.0.0,v1.0.0
超级项目管理器,Super Project Manager:
v1.5.0,v1.5.0
超级快速渲染,Super Fast Render:
v4.0.0,v4.0.0
超级高级相机,Super Advanced Camera:
v2.0.0,v2.0.0
超级真实音效：,Super Real Sound:
v0.0.0,v0.0.0
超级图像去噪器,Super Image Denoiser:
v5.0.0,v5.0.0
超级分辨率渲染,Super Resolution Render:
超级渲染农场,Super Render Farm:
v0.2.0,v0.2.0
我们的社交,Our Socials
加入我们的 Discord！,Join our Discord!
视频,YouTube
BlenderMarket,BlenderMarket
社交网络,Instagram
微博,Twitter
支持与反馈！,Support and Feedback!
可用预览的动态列表。,Dynamic list of available previews.
.SAC 点阵屏幕,.SAC Dot Screen
最后使用的 ID,Last Used ID
sac_effect_list 索引,Index for sac_effect_list
名称,Name
图标,Icon
警告,Warn
此效果与视口不兼容\n它将在最终渲染中起作用。\n\n这是 Blender 的限制。\n禁用此效果可以查看视口。,This effect is not viewport compatible.\nIt will work in the final render.\n\nThis is a limitation of Blender.\nDisable this effect to see the viewport.
静音,Mute
在视口和最终渲染中禁用此特效。,Disable this effect for viewport and final render.
效果组,Effect Group
ID,ID
初始化超级高级摄像机,Initialize Super Advanced Camera
将上一个滤镜设置为活动滤镜,Sets the previous filter as the active filter
将下一个滤镜设置为活动滤镜,Set the next filter as the active filter
应用滤镜,Apply Filter
将当前滤镜设置为活动滤镜,Sets the current filter as the active filter
在列表中添加新效果,Add a new effect to the list
从列表中移除所选效果,Remove the selected effect from the list
将所选效果在列表中上移,Move the selected effect up in the list
将所选效果在列表中向下移动,Move the selected effect down in the list
将选定的虚化效果应用到效果,Apply selected Bokeh to the effect
应用虚化效果,Apply Bokeh
SAC 相机_虚化_旋转,SAC Camera_Bokeh_Rotate
SAC 相机_虚化_缩放,SAC Camera_Bokeh_Scale
SAC 相机_虚化_图像,SAC Camera_Bokeh_Image
SAC 相机_虚化_切换,SAC Camera_Bokeh_Switch
SAC 相机_虚化_自定义纹理,SAC Camera_Bokeh_Custom_Texture
SAC 相机_波克曲线,SAC Camera_Bokeh_Curves
设置起始帧,Set Start Frame
设置当前帧为起始帧,Sets the current frame as the start frame
设置结束帧,Set End Frame
将当前帧设置为结束帧,Sets the current frame as the end frame
应用渐变,Apply Gradient
超级高级摄像机,Super Advanced Camera
场景中未发现摄像机。,No camera found in scene.
请为场景添加一个摄像机。,Please add a camera to the scene.
摄像机,Camera
分辨率,Resolution
宽度,Width
高度,Height
比例,Scale
帧数,Frames
开始,Start
结束,End
步骤,Step
使用预览范围,Use Preview Range
显示子帧,Show Subframes
当前,Current
帧速率： ,Frame Rate: 
基本,Base
时间拉伸,Time Stretching
原始持续时间,Original duration
新持续时间,New duration
垂直倾斜移动,Vertical Tilt Shift
水平倾斜移动,Horizontal Tilt Shift
倾斜移动,Tilt Shift
垂直镜头位移,Vertical Lens Shift
水平镜头位移,Horizontal Lens Shift
镜头位移,Lens Shift
最小 可见距离,Min. Visible Distance
最大可视距离 可见距离,Max. Visible Distance
使用虚化,Use Bokeh
未找到虚化平面。,No Bokeh Plane found.
请先应用虚化。,Please apply Bokeh first.
虚化类型,Bokeh Type
制造商：,Manufacturer:
型号,Model:
光圈,Aperture:
特别感谢 Matt Gunn 博士教授提供虚化纹理。,Special thanks to Prof. Dr. Matt Gunn for the Bokeh textures.
您需要初始化 SAC 才能使用此功能！,You need to initialize SAC to use this feature!
滤镜名称：,Filter Name:
RGB 曲线,RGB Curves
HSV 曲线,HSV Curves
阴影,Shadows
亮度,Brightness
强度,Intensity
中间调,Midtones
高光,Highlights
未选择效果。,No effect selected.
此效果与视口不兼容。,This effect is not viewport compatible.
渐变名称：,Gradient Name:
哎呀，那个,"Oops, that"
','
请向我们报告。,Please report this to us.
