,"""\""""
"""",""Not Found"""
名称,name
 , 
材料库,Material Library
搜索材料库面板,Search Materials Library Panel
无互联网,No Internet
AmbientCG,AmbientCG
上一页,Previous
下一页,Next
下载,Download
','
材料,Materials
下载材料,Downloaded-Materials
搜索,Search
按钮,Button
Append This Object/Collection/Material\n 按住 CTRL 键使用现有材料,Append This Object/Collection/Material\nHold CTRL to use existing Material
添加对象面板,Append Object Panel
添加与此名称匹配的对象,Append Object matching this name
添加对象,Append Object
用于附加与此名称匹配的文件,Used to Append file matching this Name
独特,Unique
对象,Objects
集合,Collections
节点组,Node Groups
RT_PT_Append_Panel,RT_PT_Append_Panel
路径,path
类型,type
创建资产,Create Asset
将选定对象添加到集合并创建资产,Add Selected Object To A Collection And Create an Asset
导入资产,Import Asset
创建资产面板,Create Assets Panel
导入资产面板,Import Assets Panel
搜索资产,Search Assets
刷新缩略图,Refresh Thumbnails
添加背投,Add BackDrop
添加背投,Add a BackDrop
BD_,BD_
BackDrops_temp,BackDrops_temp
更改斜面属性,Change Bevel Properties
斜面属性,Bevel Properties
斜面,Bevel
刷新备份列表,Refresh Backups List
刷新,Refresh
删除备份/nCTRL+LMB: 删除对象,Remove Backup\nCTRL+LMB: Delete Object
删除,Delete
从该备份传输正常值 （nALT+LMB: 使用任何其他对象进行正常值传输,Transfer Normals From This Backup\nALT+LMB: Use any other object for normal transfer
正常传输,Normal Transfers
应用修改器,Apply Modifier
映射方法,Mapping Method
翻转,Flipped
翻转源法线,Flip source normals
RT_Normal_Transfer,RT_Normal_Transfer
RT_Data_Transfer,RT_Data_Transfer
从该备份传输法线,Transfer Normals From This Backup
查看备份,View Backup
查看,View
隐藏备份,Hide Backup
隐藏,Hide
Add Selected Backup\nCTRL+LMB: 添加副本,Add Selected Backup\nCTRL+LMB: Add A Copy
添加,Add
用选中的备份替换当前对象 （nCTRL+LMB: 保留副本,Replace Current Object with Selected Backup\nCTRL+LMB: Retain A Copy
交换,Swap
创建备份,Create Backup
创建新备份,Create New Backup
RT_Edge_Mask,RT_Edge_Mask
RT_Worn_Edge_Mask,RT_Worn_Edge_Mask
RT_EdgeMask_Output,RT_EdgeMask_Output
RT_EdgeDetection,RT_EdgeDetection
RT_EdgeMask,RT_EdgeMask
烘焙斜角,Bake Bevels
Bake Bevels For Eevee\nSHIFT+LMB:Bake Edge Mask\nALT+LMB:Bake Worn Edge Mask\nCTRL+SHIFT+LMB:Bake Bevels And Edge Mask\nCTRL+ALT+LMB:Bake Bevels And Worn Edge Mask,Bake Bevels For Eevee\nSHIFT+LMB:Bake Edge Mask\nALT+LMB:Bake Worn Edge Mask\nCTRL+SHIFT+LMB:Bake Bevels And Edge Mask\nCTRL+ALT+LMB:Bake Bevels And Worn Edge Mask
RT_Edge_From_NormalMap,RT_Edge_From_NormalMap
RT_Bevel_Output,RT_Bevel_Output
RT_PRINCIPLED,RT_PRINCIPLED
RT_BEVEL,RT_BEVEL
RT_Bevel_Map,RT_Bevel_Map
RT_EdgeDetectGroup,RT_EdgeDetectGroup
RT_Overlay,RT_Overlay
RT_NormalMap,RT_NormalMap
乘法,Multiply
分辨率乘以 2 （nCTRL+LMB:分辨率除以 2,Multiply Resolution by 2\nCTRL+LMB:Divide Resolution by 2
_,_
非彩色,Non-Color
通用数据,Generic Data
烘焙纹理节点,RT_Texture_Bake_Node
烘焙纹理,Bake Textures
RT_HeightMap_Output,RT_HeightMap_Output
RT_TextCoord,RT_TextCoord
RT_SepXYZ,RT_SepXYZ
RT_AO_Output,RT_AO_Output
RT_AO,RT_AO
RT_IDMap_Output,RT_IDMap_Output
RT_ID_Color,RT_ID_Color
创建顶点蒙版,Create Vertex Mask
在活动对象周围创建镜像,Mirror around active object
RT_Mask,RT_Mask
布尔清理,Boolean CleanUp
快速合并布尔剪切周围的顶点,Quickly merge vertices around boolean cuts
布尔清理,Clean Booleans
使用合并和滑动清理布尔剪切,Clean Booleans Cuts using merging and sliding
合并阈值,Merge Threshold
附近合并阈值,Nearby Merge Threshold
幻灯片选择阈值,Slide Selection Threshold
幻灯片距离,Slide Distance
使用与边缘长度成比例的距离,Use Distance Proportional to edge length
连接顶点,Connect Vertices
循环选择,Loop Select
选择循环,Select Loop
边缘阈值,Edge Threshold
面阈值,Face Threshold
切割器列表,Cutters List
切割器,Cutters
INVOKE_DEFAULT,INVOKE_DEFAULT
调用切割器,Recall Cutter
P-Cutter 中使用的调用切割器,Recall Cutter used in P-Cutter
绘制布尔值,Draw Booleans
额外 1,Extra 1
额外 2,Extra 2
RT_Cutters,RT_Cutters
计数,Count
RT_Intersect_Bool,RT_Intersect_Bool
RT_Slice_Bool_Solidify,RT_Slice_Bool_Solidify
RT_Difference_Boolean 布尔值,RT_Difference_Boolean
RT_Inset_Bool_Solidify,RT_Inset_Bool_Solidify
RT_Inset_Bool_Solidify,RT_Inset_Boolean
RT_Union_ 布尔值,RT_Union_Boolean
RT_Intersect_ 布尔值,RT_Intersect_Boolean
RT_SCREW,RT_SCREW
RT_SOLIDIFY,RT_SOLIDIFY
RT_WELD,RT_WELD
RT_DECIMATE,RT_DECIMATE
RT_BOOLAN_DISPLACE,RT_BOOLEAN_DISPLACE
RT_ARRAY,RT_ARRAY
线性数组,RT_LINEAR_ARRAY
rt_boolean_mirror,RT_BOOLEAN_MIRROR
绘制布尔值/nCTRL+LMB：快速剪切模式,Draw Booleans\nCTRL+LMB: Fast Cutter Mode
剪切,CUTTER
子曲面,subsurf
创建缆线,Create Cable
在两点之间创建缆线,Create Cable Between 2 Points
内置选择,builtin.select
将边缘转换为曲线,Edge To Curve
将选中的边缘转换为曲线,Convert Selected Edges To Curves
深度,Depth
分辨率,Resolution
偏移,Offset
宽度,Width
分段,Segments
编辑子曲线,Edit Child Curve
使子曲线可见并进入编辑模式,Make child curve visible and enter edit mode
绘制曲线/电缆,Draw Curves/Cables
在物体表面绘制曲线,Draw Curves on Surface Of Objects
内置绘制,builtin.draw
我的类名,My Class Name
在搅拌器工具提示中显示的说明,Description that shows in blender tooltips
多导线,Multiple Wires
将曲线转换为多条导线,Convert Curve To Multiple Wires
RT_Temp,RT_Temp
RT_Wire,RT_Wire
RT_CurveDisplace,RT_CurveDisplace
RT_POC_Curve,RT_POC_Curve
曲线调整,Curve Adjust
在模态操作器中操纵曲线,Manipulate curve in a modal operator
在曲线上添加盖帽,Add Caps on Curve
在选定的曲线上放置活动对象,Put Active object on selected curves
方法,Method
缩放,Scale
在曲线上重新定位盖帽,Reposition Caps on Curve
在曲线上重新定位盖帽,Reposition caps on the curve
放在曲线上,Put on Curve
将选中的对象放在活动曲线上 object\nCTRL+LMB : 设置数组长度以适应曲线,Put selected object on active curve object\nCTRL+LMB : Set Array length to Fit Curve
RT_POC_ARRAY,RT_POC_ARRAY
模拟导线,Simulate Wire
钉住,Pinned
RT_Cloth,RT_Cloth
QC_Collision,QC_Collision
子曲面,RT_Subsurf
RT_Skin,RT_Skin
RT_Deform,RT_Deform
RT_Smooth,RT_Smooth
RT_Corrective_Smooth,RT_Corrective_Smooth
使发射,Make Emissive
使选定的面孔具有发射效果,Make Selected Faces Emissive
调用烘焙工具弹出窗口,Call Bake Tools Popup
要烘焙的纹理：,Textures To Bake:
漫反射,Diffuse
粗糙度,Roughness
金属质感,Metallic
光泽,Glossy
正常,Normal
高度,Height
ID 地图,ID Maps
AO,AO
发射,Emission
不透明度,Opacity
紫外线,UV
环境,Environment
组合,Combined
确保所有选中的对象都在单一的 UV,Make sure all selected objects are properly UV
