均衡二维点尺寸的长宽比,Equalize aspect ratio of 2D point dimensions
不进行共线性测试的三角形定位,Triangle orientation without colinearity test
解除对象与所有集合的链接,Unlink object from all collections
角度（弧度），轴为 X、Y 或 Z,"Angle in radians, axis is X, Y or Z"
轴为 X、Y 或 Z,"Axis is X, Y or Z"
, 
"""\""""
"""", ""颜色""","""\""""
"""",""Colors"""
STEP_,STEP_
角度偏转、线性偏转,"Angular defflection, Linear deflection"
tt_,tt_
跳过有问题的实体,Skip faulty solids
跳过库挂起和无法加载的某些形状,Skip some shapes the library hangs on and fails to load
艺术家友好参数,Artist friendly parameters
不使用线性挠度和角度挠度值，只使用细节设置,"Instead of linear and angle deflection values, use only detail setting"
网格细节,Mesh detail
您希望网格的详细程度,How detailed you want the mesh to be
线性偏转,Linear deflection
数值越小，多边形数量越多。数值越大，多边形数量越少。,Smaller values increase polygon count. Higher values lower polygon count.
角度偏转,Angular deflection
文件,File
有问题的 STEP 文件的路径,Path to problematic STEP file
导入 STEP,Import STEP
导入 STEP 文件,Import a STEP file
向前,Forward
导入模型的正向轴,Forward axis of the imported model
向上,Up
导入模型的向上轴,Up axis of the imported model
树状层次结构,Tree hierarchy
对象的组织样式,Organization styles of objects
比例,Scale
设置对象比例,Set object scale
自定义比例,Custom scale
手动确定单位信息，而不是从文件中加载单位信息,"Instead of loading the unit information from the file, determine it manually"
STEPper 输入选项：,STEPper import options:
层次结构,Hierarchy
清除 STEP 缓存,Clear STEP cache
清除 STEP 缓存，重新加载文件,"Clear STEP cache, enabling the reload of a file"
尝试 STEP ASCII 修正,Attempt STEP ASCII fix
重新加载 STEP,Reload STEP
重新加载 STEP 文件,Reload STEP file
重建 STEP 文件中的选定对象,Rebuild selected objects from the STEP file
试验性的： 在某些形状上引起问题,Experimental: Causes issues on some shapes\n
STEPper： 构建,STEPper: Build
已使用内存： {},Used memory: {}
已选择重建,Rebuild selected
STEPper： 文件,STEPper: File
STEPper： 调试,STEPper: Debug
执行 ASCII,Enforce ASCII
尝试修复 STEP 字符集,Attempt fix STEP charset
错误信息：,Error messages:
报告问题：,Reported problems:
跳过的图形：,Skipped shapes:
没有跳过的图形,No skipped shapes
选择活动 STEP 对象,Select active STEP object
确保 PIP,Ensure PIP
升级 PIP,Upgrade PIP
列表,List
STEP (.step),STEP (.step)
用于编写在 Python 2 和 3 上运行的代码的实用工具,Utilities for writing code that runs on Python 2 and 3
为函数添加文档。,Add documentation to a function.
导入模块，返回最后一个点后的模块。,"Import module, returning the module after the last dot."
懒加载移动对象,Lazy loading of moved objects
在 six.moves.urllib_parse 文件中懒散加载被移动的对象,Lazy loading of moved objects in six.moves.urllib_parse
懒加载 six.moves.urllib_error 中的移动对象,Lazy loading of moved objects in six.moves.urllib_error
在 six.moves.urllib_request 文件中懒散加载已移动的对象,Lazy loading of moved objects in six.moves.urllib_request
在 six.moves.urllib_response 文件中缓慢加载被移动的对象,Lazy loading of moved objects in six.moves.urllib_response
在 six.moves.urllib_robotparser 文件中懒散加载被移动的对象,Lazy loading of moved objects in six.moves.urllib_robotparser
创建一个与 Python 3 命名空间相似的 six.moves.urllib 命名空间,Create a six.moves.urllib namespace that resembles the Python 3 namespace
向 six.moves.urllib_robotparser 添加一个项目,Add an item to six.moves.
从 six.moves.urllib_robotparser 中删除项目,Remove item from six.moves.
从可能未绑定的函数中获取函数,Get the function out of a possibly unbound function
字节字面,Byte literal
文本字面,Text literal
在命名空间中执行代码。,Execute code in a namespace.
"exec _code_ in _globs_, _locs_","exec _code_ in _globs_, _locs_"
