"路径","Paths"
"贴图名称","Map Name"
"贴图的名称，用于烘焙和导出工作流","Name of the map, used in the baking and exporting workflow"
"示例","Samples"
"烘焙此特定贴图时使用的采样数","Sample count used when baking this specific map"
"已启用","Enabled"
"禁用后，贴图将不会在下一批中烘焙","When disabed, the map will not be baked in the next batch"
"定制","Custom"
"分辨率","Resolution"
"自动边距","Auto Margin"
"基于纹理的分辨率设置烘焙边距","Set the baking margin based on the resolution of the texture"
"覆盖纹理","Override Textures"
"将烘焙结果存储在现有纹理中（如果可用）","Store bake result in existing textures if available"
"贴花贴图类型","Decal Map Types"
"贴花贴图烘焙的选择","Selection of Decal map bakes"
"烘焙中…","Baking..."
"清除队列","Clear Queue"
"烘焙上下文","Baking Context"
"从接口新建映射","New Maps From Sockets"
"图像","Image"
"删除烘焙结果。按住[Shift]还可以从混合文件中删除烘焙图像","Remove Bake Result. Hold [Shift] to also remove the baked image from the Blend File"
"纹理","Textures"
"烘焙集","Bake Sets"
"反向排序","Reverse Sort"
"分类","Sort"
"正在烘焙","Is Baking"
"扩大","Expand"
"发动机","Engine"
"复杂性：","Complexity:"
"过滤置换","Filter Displacement:"
"仅置换","Only Displacement"
"无置换","No Displacement"
"过滤 UV","Filter UVs:"
"需要 UV","UVs Required"
"不需要 UV","No UVs required"
"我的收藏夹","My Favorites"
"在选定的 Sanctus 库项上设置元数据","Set Meta Data on the selected Sanctus Library Item"
"GN 类型","GN Type"
"使用置换","Use Displacement"
"需要UV","Require UVs"
"描述","Description"
"文档","Documentation"
"使用现有的","Use Existing"
"重新导入资产","Reimport Asset"
"将材质资源从库导入文件","Imports Material asset from library into file"
"添加资产","Add Asset"
"将新资源添加到场景","Add a New asset to Scene"
"将资源应用于对象","Apply Asset to Object"
"将选定资源应用于活动对象","Apply the selected asset to the active object"
"添加组节点","Add Group Node"
"将组节点添加到活动节点树","Add group node to the active node tree"
"添加贴花","Add Decal"
"将贴花添加到场景","Add decal to the scene"
"添加自定义","Add Custom"
"使用自定义图像将贴花添加到场景中","Add decal to the scene with a custom image"
"选择图像作为自定义贴花。","Select an image as a custom decal."
"交换图像","Swap Image"
"交换当前贴花上的图像","Swap out the image on the current decal"
"在给定方向上切换给定库的枚举","Switches the enum for a given library in the given direction"
"将当前库项目设置为收藏夹。收藏夹将被排序到前面","Set the current library item as favorite. Favorites will get sorted to the front"
"打开指向当前项目的文档页的Web链接","Open a weblink to the documentation page of the current item"
"在库中搜索资产","Search the library for assets"
"搜索","Search"
"在 材质面板 中选择资源作为当前元素","Select the asset as the current element in the Material panel"
"文档和教程","Documentation and Tutorials"
"打开官方 Sanctus Library 文档的网络链接","Open a weblink to the official Sanctus Library Documentation"
"打开官方 Sanctus Library 视频指南的网络链接","Open a weblink to the official Sanctus Library Video Guide"
"加入 Sanctus Library Discord","Join Sanctus Library Discord"
"打开官方 Sanctus Library Discord 服务器的网络链接","Open a weblink to the official Sanctus Library Discord Server"
"支持 Sanctus Library","Support Sanctus Library"
"打开官方 Sanctus Library Patreon 页面的网络链接","Open a weblink to the official Sanctus Library Patreon Page"
"重新加载整个库","Reload the entire library"
"打开 Sanctus Library 插件的首选项","Open the preferences for the Sanctus Library addon"
"将烘焙纹理保存到磁盘","Save the baked texture to the disk"
"全部保存","Save All"
"保存集合中的所有烘焙纹理","Save all baked textures from the set"
"批量文件名","Bulk Filename"
"插座选择","Socket Selection"
"将活动节点的输出选择添加到当前映射","Add a selection of outputs from the active node to the current map"
"根据活动节点的输出选择创建新映射","Create new maps from a selection of outputs from the active node"
"烘焙","Bake"
"将活动对象上的贴花烘焙到一组纹理中","Bake decals on the active object into a set of textures"
"显示图像","Show Image"
"在新的 Blender 窗口中打开图像","Open the image in a new Blender Window"
"将图像添加为活动着色器节点树中的节点","Add images as nodes in active shader node tree"
"从烘焙队列中删除所有当前烘焙接口","Remove all the current bake sockets from the baking queue"
"安装 Pillow python 库。使加载插件的速度更快","Install the Pillow python library. Makes loading the addon much faster"
"安装 Pillow 以提高加载项的加载时间","Install Pillow to improve addon loading times"
"搅拌机市场","Blender Market"
"视口面板","Viewport Panel"
"Sanctus 烘焙","Sanctus Baking"
"Sanctus 库的烘焙设置","Bake Settings for the Sanctus Library"
"材质完整列表","Full list of Materials"
"资产的完整列表","Full list of Assets"
"手表贴花工具演示","Watch Decal Tool Demo"
"活动材质属性：","Active Material Properties:"
"活动材质属性：","Active Material Properties..."
"展开活动材质属性","Active Material Properties Expanded"
"展开属性","Properties Expanded"
"材质槽：","Material Slots:"
"材质槽：","Material Slots..."
"展开材质槽","Material Slots Expanded"
"上下文切换","Sanctus Context Switch"
"属性以更改 Sanctus 资产的上下文","Property to change the context for Sanctus Assets"
"默认烘焙导出格式","Default Baking Export Format"
"烘焙图像的默认导出格式","Default Export format for baked images"
"显示 N 面板","Display N-Panel"
"切换三维视图右侧的面板","Toggle the panel on the right side of the 3D View"
"开发人员模式","Developer Mode"
"启用开发人员选项。住手！","Enables Developer Options. Do not touch!"
"收藏夹","Favorites"
"显示筛选器","Display Filters"
"使用过滤器组织 Sanctus  资产","Use Filters for organizing Sanctus Assets"
"Diploy 材质槽","Diplay Material Slots"
"在 材质面板 中显示活动对象的活动材质的 UI 元素","Display a UI element for the active material of the active object in the Material Panel"
"浮动面板快捷方式","Floating Panel Shortcut"
"未实施","Not Implemented"
"准备","prepend"
"安装枕头","Install Pillow"
"应用材质","Apply Material"
"导入材质","Import Material"
"置换方法：","Displacement Method:"
"GN 资产","GNAssets"
"过滤...","Filters..."
"单色 / 棋盘格","Plain / Checkers"
"颜色 2 (棋盘格)","Color 2 (checkers)"
"倾斜瓷砖","Tilted Tiles"
"瓷砖破损","Damaged Tiles"
"部分缺失","Missing Pieces"
"--灰浆--","--MORTAR--"
"灰浆","Mortar"
"--污渍--","--DIRT--"
"--尘垢--","--GRIME--"
"水分","Moisture"
"大污点","Big Stains"
"大污点颜色 1","Big Stains Color 1"
"大污点颜色 2","Big Stains Color 2"
"大污点随机种","Big Stains Seed"
"大污点糙度","Big Stains Roughness"
"小污点","Small Stains"
"小污点随机种","Small  Stains Seed"
"小污点糙度","Small Stains Roughness"
"粗糙度变化 / 瓷砖","Roughness Variation / Tile"
"粗糙度 Grunge","Roughness Grunge"
"--其它--","--OTHERS--"
"替换矢量","Replace Vector"
"瓷砖","TILES"
"灰浆","MORTAR"
"污渍","DIRT"
"尘垢","GRIME"
"其它","OTHERS"
"--总体--","--GENERAL--"
"--基本项--","--BASIC--"
"--磨损--","--WORN--"
"磨损","Worn"
"磨损","WORN"
"磨损颜色","Worn Color"
"磨损粗糙度","Worn Roughness"
"形状","--SHAPE--"
"形状","SHAPE"
"--污点--","--STAINS--"
"污点","STAINS"
"污点","Stains"
"污点颜色 1","Stains Color 1"
"污点颜色 2","Stains Color 2"
"污点颜色 3","Stains Color 3"
"--沥青--","--ASPHALT--"
"沥青","ASPHALT"
"雨水","RAIN"
"--雨水--","--RAIN--"
"开关","off / on"
"水坑纹理比例","Puddles Texture Scale"
"水坑大小","Puddles Size"
"水坑随机种","Puddles Seed"
"雨水缩放","Rain Scale"
"雨水密度","Rain Density"
