,Download and install updated version of SimpleBake
, 
,"""\""""
"""",""Update"""
SimpleBake_Curent4.zip,SimpleBake_Curent4.zip
下载并安装前一版本的 SimpleBake,Download and install previous version of SimpleBake
回滚,Rollback
SimpleBake_Previous4.zip,SimpleBake_Previous4.zip
无标题,Untitled
从后台导入烘焙纹理和对象,Import baked textures and objects from the background
导入,Import
SimpleBake_Bakes_Background,SimpleBake_Bakes_Background
简单烘焙,SimpleBake_Bakes
删除排队的背景烘焙,Delete a queued background bake
删除,Delete
丢弃已完成的背景烘焙,Discard a completed background bake
丢弃,Discard
杀死正在进行的后台烘焙,Kill an active background bake
删除,Kill
执行通道打包,Perform channel packing
打包,Pack
SBC 合成_1to1,SBCompositing_1to1
SBC 合成_3to1,SBCompositing_3to1
sRGB,sRGB
非彩色,Non-Color
角色数据,role_data
打包（旧方法）,Pack (Old Method)
将烘焙纹理应用于原始对象,Apply the baked textures to the original objects
将烘焙纹理应用到原始对象,Apply bakes to original
复制烘焙对象并应用烘焙纹理,Copy the baked objects and apply baked textures
复制烘焙对象并应用烘焙效果,Copy baked objects and apply bakes
复制并应用,Copy and apply
SB_cyclesbake_e,SB_cyclesbake_e
SB_cyclesbake_b,SB_cyclesbake_b
SB_cyclesbake_p,SB_cyclesbake_p
SB_pbr_directx_and_glossy_decals,SB_pbr_directx_and_glossy_decals
SB_pbr_glossy_decals,SB_pbr_glossy_decals
SB_pbr_directx_decals,SB_pbr_directx_decals
SB_standard_pbr_decals,SB_standard_pbr_decals
SB_pbr_directx_and_glossy,SB_pbr_directx_and_glossy
SB_pbr_glossy,SB_pbr_glossy
SB_pbr_directx,SB_pbr_directx
SB_standard_pbr,SB_standard_pbr
从外部保存烘焙图像,Saved baked images externally
从外部保存烘焙图像,Save baked images externally
保存,Save
从外部保存烘焙对象,Saved baked objects externally
从外部保存烘焙对象,Save baked objects externally
根据需要生成要烘焙的图像,Generate image to be baked to if needed
生成需要烘焙的图像,Generates image to be baked to if needed
生成图像,GenImage
备份对象材质,Backup object materials
备份和还原对象的材质,Backup and restore materials on an object
备份/还原,Backup/Restore
为 PBR 渲染准备对象,Prepare an object for PBR baking
为 PBR 渲染准备对象,Prepare object for PBR bake
准备,Prepare
将当前 SimpleBake 设置保存到预设中,Save current SimpleBake settings to preset
加载选定的 SimpleBake 预置,Load selected SimpleBake preset
加载,Load
代表列表中一个项目的属性组。,Group of properties representing an item in the list.
烘焙对象,Bake Object
场景中要烘焙的对象,An object in the scene to be baked
名称,Name
该项目的名称,A name for this item
目标,Target
进行 S2A 烤制时的目标,Target when we are doing an S2A bake
代表简单烘焙预设的属性组。,Group of properties representing a SimpleBake preset.
代表 SimpleBake CP 纹理的一组属性。,Group of properties representing a SimpleBake CP Texture.
R,R
R 通道的烘焙类型,Bake type for R channel
G,G
G 通道的烘焙类型,Bake type for G channel
B,B
B 通道的烘烤类型,Bake type for B channel
A,A
A 通道的烘焙类型,Bake type for A channel
文件格式,File Format
CP 纹理的文件格式,File format for CP texture
全局烘焙模式,Global Baking Mode
烘焙模式,Bake Mode
从目标对象到选定对象的光线投射距离,Distance to cast rays from target object to selected object(s)
射线距离,Ray Distance
Blender 挤出自动生成的笼子以烘焙到目标对象的距离。请参阅工具提示,The distance for Blender to extrude the automatically generated cage for baking to target. See the tooltip for the \
挤出笼,Cage Extrusion
选择烘焙纹理的色彩空间,Select the colour space for the baked texture
色彩空间,Colour Space
将每个物体单独烘焙，隐藏其他物体，使其不被烘焙。,"Bake each object on its own, hiding the others so they don"
','
在烘焙过程中将物体相互隔离,Isolate objects from each other during baking
"将一个或多个源对象（通常为高多边形）的贴图烘焙到单个目标对象（通常为低多边形）上。源对象和目标对象必须位于同一位置（重叠）。更多详细信息，请参阅 Blender 文档 ""从选定对象到活动对象的烘焙""。",Bake maps from one or more  source objects (usually high poly) to a single target object (usually low poly). Source and target objects must be in the same location (overlapping). See Blender documentation on selected to active baking for more details
将选定对象烘焙到目标对象,Bake selected objects to target object
指定烘焙的目标对象。请注意，它不必是视口中选区的一部分（当然也可以是）。,"Specify the target object for the baking. Note, this need not be part of your selection in the viewport (though it can be)"
目标对象,Target Object
自动匹配模式,Auto match mode
"如果您没有使用自定义的笼子对象，那么在烘焙到目标对象时，Blender 会自动从目标对象中挤出一个笼子。自动挤出的笼子可以是光滑的，也可以是坚硬的。注意：如果您正在名称模式下自动匹配高多边形与低多边形对象，那么只有在低多边形对象未检测到笼子对象时，此设置才会起作用。只要存在笼子，该设置就会被忽略。请参阅 ""猴子 ""提示。","If you are not using a custom cage object, Blender will automatically extrude a cage from your target object when baking to target. That automatically extruded cage can be either smooth or hard. NOTE: If you are auto-matching high poly to low poly objects in name mode, this setting will only be relevant where a cage object is not detected for that low object. It will be ignored whenever a cage is present. See the Monkey Tip."
自动挤出保持架类型,Auto extruded cage type
将多个对象烘焙到一组纹理上。不适用于 ,Bake multiple objects to one set of textures. Not available with 
将多个对象添加到一个纹理集,Multiple objects to one texture set
一次烘焙一个对象时，对象,"When baking one object at a time, the object"
多重烘焙的纹理名称,Texture name for multiple bake
"使用 ""选定为活动的循环 ""选项进行烘焙",Bake using the Cycles selected to active option
选定为活动,Selected to Active
指定要烘焙到的目标对象（这将是使用 vanilla Blender 进行烘焙时的活动对象）,Specify the target object to bake to (this would be the active object with vanilla Blender baking)
SimpleBake 提供了不同的烘焙到目标对象的方法,SimpleBake offers different ways of baking to a target object
烘焙到目标模式,Bake to target mode
烘焙至现有图像，覆盖所有其他纹理相关设置,"Bake to an existing image, override all other texture related settings"
覆盖并烘焙至现有图像,Override and bake to existing image
烘焙到现有图像,Existing image to bake to
现有图像：,Existing Image:
设置将生成的烘焙图像的高度,Set the height of the baked image that will be produced
烘焙高度,Bake height
设置将生成的烘焙图像的宽度,Set the width of the baked image that will be produced
烘焙宽度,Bake width
设置将要输出的烘焙图像的高度,Set the height of the baked image that will be ouput
输出高度,Output Height
设置将输出的烘焙图像的宽度,Set the width of the baked image that will be output
输出宽度,Output Width
法线贴图总是创建为 32 位浮点图像，但该选项会使所有图像都创建为 32 位浮点图像。理论上图像质量会有所提高，但通常并不明显。,"Normal maps are always created as 32bit float images, but this option causes all images to be created as 32bit float. Image quality is theoretically increased, but often it will not be noticable."
所有内部 32 位浮点图像,All internal 32bit float
烘焙图像具有透明背景（否则为黑色）,Baked images have a transparent background (else Black)
透明背景,Transparent background
