解压缩下载的文件并验证内容,"Unzip the downloaded file, and validate contents"
"将文件夹 ""merger ""合并到文件夹 ""base ""中，不删除现有内容",Merge folder 'merger' into folder 'base' without deleting existing
指定要更新的标签名称和网址,Assign the tag name and url to update to
为更新状态加载或初始化 JSON 字典数据,Load or initialize JSON dictionary data for updater state
启动后台线程检查更新,Start a background thread which will check for updates
执行更新检查，作为后台线程的目标运行,"Perform update check, run as target of background thread"
与 Bitbucket API 集成，用于 git 格式的版本库,Integration to Bitbucket API for git-formatted repositories
 , 
"""\""""
"""", ""比特巴克尔","""\""""
"""",""bitbucket"""
与 Github API 集成,Integration to Github API
github,github
与 GitLab API 集成,Integration to GitLab API
gitlab,gitlab
为类字段添加注解属性以避免 Blender 2.8 警告,Add annotation attribute to class fields to avoid Blender 2.8 warnings
Blender 2.8 之前和之后拆分 UI 功能的中间方法,Intermediate method for pre and post blender 2.8 split UI function
Blender 2.8 前后抓取偏好设置的中间方法,Intermediate method for pre and post blender 2.8 grabbing preferences
检查并安装可用更新,Check and install update if available
更新 {x} 附加组件,Update {x} addon
检查并显示当前可用更新的弹出菜单,Popup menu to check and display current updates available
清除安装,Clean install
如果启用，则完全清除附加组件,"If enabled, completely clear the addon"
','
处理更新,Process update
决定安装、忽略或推迟新的附加组件更新,"Decide to install, ignore, or defer new addon update"
更新模块错误,Updater module error
更新 {} 已准备就绪！,Update {} ready!
选择 ,Choose 
或点击窗口外的 推迟,or click outside window to defer
无可用更新,No updates available
"按 ""确定 ""以退出对话框",Press okay to dismiss dialog
现在检查更新？,Check for update now?
立即检查 ,Check now for 
立即检查更新 {x} 附加组件,Check now for an update to the {x} addon
更新 ,Update 
更新至 {x} 附加组件的最新版本,Update to the latest version of the {x} addon
安装目标版本的 {x} 附加组件,Install a targeted version of the {x} addon
要安装的目标版本,Target version to install
选择要安装的版本,Select the version to install
更新程序错误,Updater error
选择安装版本,Select install version
作为备用方案，引导用户手动下载插件,"As a fallback, direct the user to download the addon manually"
手动安装更新,Install update manually
继续手动安装更新,Proceed to manually install update
发生错误,Error Occurred
尝试自动安装时出现问题,There was an issue trying to auto-install
按下面的下载按钮，像安装普通附加组件一样安装,Press the download button below and install
像安装普通插件一样安装压缩文件。,the zip file like a normal addon.
手动安装插件,Install the addon manually
