"从源节点移除超级纹理","Remove Super-Texture from source node"
"移除","Remove"
"应用超级纹理","Apply Super Texture"
"应用","Apply"
"超级纹理_","Super-Texture_"
"超级纹理","Texture-Tools"
"","st nor"
"","st par"
"超级纹理","Super Texture"
"仅支持 Cycles/Eevee","Only Cycles / Eevee supported"
"选择对象","Select Object"
"添加材质","Add Material"
"启用节点","Enable Nodes"
"默认值","Default Values"
"使用视差","Use Parallax"
"消除阴影","Remove Shadows"
"反射量","Specular Amount"
"粗糙度强度","Roughness Intensity"
"高度等级","Height Level"
"高度对比度","Height Contrast"
"高度模糊","Height Blur"
"视差平滑","Parallax Smoothing"
"视差偏移","Parallax Offset"
