,'
, 
,"""\""""
"""",""Collection Analyzer"""
颜色阈值,Color threshold:
非常重,Very Heavy
重度,Heavy
中等,Medium
轻度,Light
非常轻,Very Light
收集分析器 - 错误的版本,Collection Analyzer - Wrong Version
此功能仅在Blender 2.91或以上版本中工作,This Feature Works Only In Blender 2.91 or Above
3D视图分析器,3D View Analyzer
场景分析器,Scene Analyzer
简单链接,Easy Link
执行。,Execute: 
场景基准,Scene Benchmark
材料基准,Material Benchmark
tot.matbenchmarkmenu,tot.matbenchmarkmenu
运行基准,Run Benchmark
清除基准,Clear Benchmark
最后一次基准测试结果。,Last Benchmark Results:
物体基准,Objects Benchmark
图像数据分析器,Image Data Analyzer
图像调整器,Image Resizer
选择至少1张图片来调整大小,Select at least 1 image to resize
没有选择图像,No images selected
选择图像,Select Images
缩小到,Downsize to
自定义尺寸,Custom Size
如有必要，请复制图像,Duplicate images if necessary
图像列表是空的，请更新它。,"The image list is empty, please update it."
在场景中查找,Find in Scene
选择。,Select: 
 自动选择, Auto Select
额外工具,Extra Tools
搜索词,Search Term
倒置,Invert
按名称排序,Sort By Name
按大小排序,By Size
缺少,Missing
???,???
更新集合分析器,Update Collection Analyzer
更新,Update
清除分析结果,Clear analyses result
清除信息,Clear Information
删除空的集合,Delete Empty Collections
清洁3D视图分析器的颜色。,Clean 3D View Analyzer Colors.
清洁的三维视图分析器,Clean 3D View Analyzer
简易链接工具，轻松地将选定的对象转换为链接的对象,"Easy Link Tool, Easily convert selected objects to linked"
转换为链接,Convert to Linked
简易链接工具，恢复选定的对象（取消链接）,"Easy Link Tool, Restore selected object (unlink)"
恢复链接对象,Restore Linked Object
清除所有对象中未使用的材料,Clean Unused Materials From All Objects
清理未使用的材质,Clean Unused Materials
从场景中移除所有细分修改器,Remove All Subdivision Modifiers From Scene
删除所有细分修改器,Remove All Subdivision Modifiers
选择有更多顶点的物体,Select Object With More Vertices
拥有更多顶点的物体,Object With More Vertices
选择带有细分修改器的对象,Select Objects With Subdivision Modifier
具有细分修改器的物体,Objects With Subdivision Modifier
选择拥有超过X个顶点的对象,Select Objects With More than X Vertices
拥有超过X个顶点的对象,Objects With More than X Vertices
顶点,Vertices
在列表中选择对象,Select Objects in the list
选择对象,Select Objects
更新图像列表,Update Image List
调整所选图像的大小,Resize Selected Images
调整图像大小,Resize Images
重复的图像没有被清理!,Duplicate images was not cleaned!
唐,Don
自动保存已激活! 此文件将被保存,Auto Save is Active! This file will be saved
属性B,Property B
清除重复的图像,Clear Duplicate Images
清除图像列表中的所有项目,Clear all items in the Image List
清除图像列表,Clear Image List
选择/取消选择所有图像,Select/Deselect All images
切换选择全部,Toggle Select All
显示所选图像信息,Show Selected Image Information
图像信息,Image Information
显示列表,Show List
未找到图像,Image Not Found
显示所有使用此图像的材料,Show all materials that uses this image
材料列表,Material List
图像没有被载入任何材料中,Image is not loaded in any material
将材料设置为活动，你就可以看到它了。,"Set Material as active, and you will be able to see it"
选择材料,Select Material
从选定的对象中运行材料的基准,Run benchmark in materials from selected objects
这个过程可能需要一些时间,This process may take a while
清除材料基准数据,Clear Material Benchmark Data
清除数据,Clear Data
