, 
,'
线性,Linear
sRGB,sRGB
文件输出 ORM,File Output ORM
在网络浏览器中打开在线文档（https://sapwoodstudio.github.io/transmogrifier）,Open online documentation in a web browser\n(https://sapwoodstudio.github.io/transmogrifier)
在网络浏览器中打开在线文档（https://sapwoodstudio.github.io/transmogrifier）,Open online documentation in a web browser\n(https://sapwoodstudio.github.io/transmogrifier)
在网络浏览器中打开在线文档（https://sapwoodstudio.github.io/transmogrifier）,Open online documentation in a web browser\n(https://sapwoodstudio.github.io/transmogrifier)
在网络浏览器中打开在线文档（https://sapwoodstudio.github.io/transmogrifier）,Open online documentation in a web browser\n(https://sapwoodstudio.github.io/transmogrifier)
将 3D 文件和相关纹理批量转换为其他格式,Batch converts 3D files and associated textures into other formats
批量转换,Batch Convert
计算批量转换并显示预测信息,Calculate batch conversion and display info message of the forecast
转换预测,Conversion Forecast
将 Transmogrifier 附带的示例预置复制到用户偏好设置中,Copy example presets shipped with Transmogrifier to User Preferences
安装预置示例,Install Example Presets
根据当前设置创建 Transmogrifier 预置,Creates a Transmogrifier preset from current settings
添加转换预置,Add Transmogrifier Preset
名称,Name
移除当前选择的预置,Removes currently selected Transmogrifier preset
删除预置,Remove Transmogrifier Preset
从 JSON 文件加载 Transmogrifier 预置,Load a Transmogrifier preset from a JSON file
加载预置,Load Preset
添加导入,Add Import
在用户界面中添加新导入,Add new import to UI
移除导入,Remove Import
从用户界面移除导入,Remove import from UI
要移除的索引,Index to remove
要移除的导入的索引,Index of the import to remove
添加导出,Add Export
在用户界面中添加新的导出,Add new export to UI
移除导出,Remove Export
从用户界面移除导出,Remove export from UI
要移除的导出的索引,Index of the export to remove
根据当前设置创建编辑纹理预设,Creates an Edit Textures preset from current settings
添加 ,Add 
删除 ,Remove 
从 JSON 文件加载编辑纹理预设,Load an Edit Textures preset from a JSON file
加载 ,Load 
添加编辑纹理,Add Texture Edit
添加要编辑的纹理贴图,Add a texture map to edit
移除贴图,Remove Map
从编辑中移除纹理贴图,Remove texture map from editing
要删除的纹理的索引,Index of the texture to remove
添加脚本,Add Script
为用户界面添加新的自定义脚本,Add new custom script to UI
移除自定义脚本,Remove Custom Script
从用户界面中移除自定义脚本,Remove custom script from UI
要删除的自定义脚本的索引,Index of the custom script to remove
高级用户界面,Advanced UI
切换简单/高级用户界面选项,Toggle simple/advanced user interface options
"使用预设的批量转换设置（点击 ""创建""）。",Use batch conversion settings from a preset.\n(Create by clicking 
链接目录,Link Directories
在所有导入文件格式之间同步导入目录,Synchronize import directories between all import file formats
目录,Directory
搜索和导入文件的父目录（默认为 // 将从与 blend 文件相同的目录导入（仅在 blend 文件已保存的情况下有效）,Parent directory to search through and import files\nDefault of // will import from the same directory as the blend file (only works if the blend file is saved)
链接导出设置,Link Export Settings
在所有导出文件格式之间同步某些导出设置,Synchronize some export settings between all export file formats
对象数据名称,Data Names from Objects
根据相应的对象名称重命名对象数据名称,Rename object data names according to their corresponding object names
相邻导出,Export Adjacent
导出与各自导入相邻的模型,Export models adjacent to their respective imports
覆盖文件,Overwrite Files
覆盖可能已经存在的给定导出格式的文件,Overwrite files of the given export format(s) that may already exist
