,"""\""""
"""",""Tags"""
品质,Qualities
Is Ta Dummy,Is Ta Dummy
AmbientCG.blend,AmbientCG.blend
','
摄像机,Camera
TA_SUBSURF,TA_SUBSURF
TA_Track_To,TA_Track_To
缩略图世界,TA_Thumbnail_World
TA_Node_Group_Render_Setup,TA_Node_Group_Render_Setup
 , 
True-BSDF,True-BSDF
节点组,NodeGroup
未找到,Not Found
过滤器,Filters
集合,Collections
对象,Objects
材料,Materials
世界,Worlds
网格,Meshes
曲线,Curves
元球,Meta Balls
曲面,Surfaces
灯光,Lights
摄像头,Cameras
文字,Texts
体积,Volumes
油笔,Grease pencil
节点组,Node Groups
最少节点数,Minimum Nodes
材质至少应有这么多节点,Materials should have atleast this many nodes
缩略图着色,Thumbnail Shading
节点组渲染引擎,NodeGroup Render Engine
如果文件已经存在,If File Already Exists
保存什么,What to save:
实验选项,Experimental Options
显示实验设置,Show Experimental settings
Blender 3.5 崩溃修复,Blender 3.5 Crash Fix
修复使用自定义纯色着色模式批量创建 fbx/obj/usd 资产时的崩溃问题,Fix crashing when using batch fbx/obj/usd asset creation by using Custom Solid shading mode
自动清除搜索,Auto Clear Search
切换库时自动清除搜索栏,Auto clear the search field when switching libraries
真实资产目录,True Assets Directory
对象目录,Objects Directory
世界目录,Worlds Directory
材料目录,Materials Directory
节点组目录,Node Groups Directory
环境目录,Ambient Directory
下载资产,Downloaded Assets
添加为库,Add as library
在资产浏览器中将下载目录添加为库，以访问下载的资产,Add downloads directory as a library in the asset browser to access downloaded assets
混合目录,Blends Directory
对象库名称,Object Library Name
材料库名称,Material Library Name
世界库名称,World Library Name
节点组库名称,Node Group Library Name
AmbientCG 库名称,AmbientCG Library Name
混合文件库名称,Blend Files Library Name
为任务使用独立线程（无阻塞）,Use Separate threads for tasks (Non-Blocking)
添加地平面,Add Ground Plane
为缩略图添加地平面,Add ground plane for thumbnails
世界强度（用于渲染缩略图）,World Strength (For Rendered Thumbnails)
使用的导入器,Importer to use
库名称,Library Names
性能,Performance:
Windows 上下文菜单：,Windows Context Menu:
帮助,Help
文档,Documentation
聊天支持,Chat Support
教程,Tutorials
真实资产,True Assets
库：,Libraries:
标记此文件中的资产,Mark assets from this file
显示高级设置,Show Advanced Settings
确保 True-Asset 素材处于活动状态！,Make sure True-Asset material is active!
世界中没有任何 True-HDRI 节点！,World does not have any True-HDRI node!
标记资产并退出,Mark Assets and Quit
从该文件创建资产,Create Assets from this File
"在写入 ""对象 ""之前清除 ""材质 ""和 ""节点组 ""资产数据",Clear Materials and Node Groups asset data before writing Objects
退出,Quit
强制重新生成预览,Force Regenerate Previews
目录,Catalog
目录名称,Catalog Name
打包外部数据,Pack External Data
将原点移至底部,Move Origin To Bottom
可能会比较慢,Might be slow!
摄像机角度,Camera Angle
从目录创建资产,Create Assets From Directory
从目录创建资产,Create Assets from Directory
文件路径,File Path
每个文件的最长时间,Maximum Time Per File
工具包资产,Kitbash Assets
应用旋转,Apply Rotation
更改位移类型,Change Displacement Type
将材质的位移类型更改为 ,Change Displacement type on materials to 
移除次表面修改器,Remove Subsurf Modifiers
移除对象的次表面修改器。,Remove subsurface modifiers from objects.
清除父对象,Clear Parent
是否将外部数据（如图像、字体等）打包到混合文件中,"Whether to pack external(like images,fonts etc) data into the blend files"
保存为单一混合文件,Save as Single Blend File
缩略图渲染引擎,Render Engine for Thumbnail
如何处理现有文件,What to do for existing files
从美元文件创建资产,Create Assets From USD Files
是否将外部数据（如图像和字体）打包到混合文件中,Whether to pack the External data (like Images and Fonts) into the blend files
缩放,Scale
设置帧范围,Set frame range
细分,Subdivision
导入实例代理,Import Instance Proxies
仅可见基元,Visible Primitives Only
创建集合,Create collection
UV 坐标,UV Coordinates
颜色属性,Color Attributes
路径掩码,Path mask
指南,Guide
代理,Proxy
渲染,Render
相对路径,Relative Path
导入美元预览,Import USD Preview
设置材质混合,Set material blend
光强比例,Light intensity scale
材质名称碰撞,Material name collision
导入所有材质,Import All Materials
导入材质,Import Textures
纹理目录,Textures Directory
文件名碰撞,File name collision
导入设置：,Importer Settings:
数据类型：,Data Types:
网格数据：,Mesh Data:
包含,Include:
选项,Options:
从 FBX 文件创建资产,Create Assets From FBX Files
将资产保存到一个文件中,Save assets into one file
自动骨骼方向,Automatic Bone Orientation
自动排序骨骼方向，如果要保留原始纟，请禁用该选项,"Automatically sort bones orientations, if you want to preserve the original armature, please disable the option"
计算滚动,Calculate Roll
