将组输入重命名为从组外输入的插座名称,renames group inputs to names of sockets feeding them from outside the group
 , 
"""\""""
"""", ""从信号源重命名编组输入""","""\""""
"""",""Rename group inputs from source"""
渲染音频...,Render Audio...
查看渲染,View Render
查看动画,View Animation
锁定界面,Lock Interface
渲染图像,Render Image
渲染动画,Render Animation
','
文件输出节点工具,File Output Node Tools
创建和连接文件输出,create and wire file output
重新保存当前帧,resave current frame
重新保存所有帧,resave all frames
性能工具,Performance Tools
插入播放质量节点,insert playback quality node
重放质量,playback quality
缓存工具,Cache Tools
缓存/解缓存所选节点,Cache/Uncache the selected nodes
刷新所有,refresh all
刷新所选节点和上游节点,refresh selected and upstream
清除所选缓存,clear cache of selected
新缓存分辨率,new_cache_resolution
群组工具,Group Tools
发布,Publishing
发布,Publish
发布当前帧,publish current frame
发布动画,publish animation
消除时间闪烁,temporal flicker removal
包含文件输出节点,include file output nodes
快速发布,quick publish
查看已发布图像,View published image
查看发布的动画,View published animation
涡轮工具,Turbo Tools
渲染前检查（渲染前使用）,pre-render check (use before rendering)
INVOKE_DEFAULT,INVOKE_DEFAULT
设置涡轮渲染,setup turbo render
刷新所选,refresh selected
重新保存选定的文件输出节点,resave selected file output nodes
渲染静态,render still
渲染动画,render animation
测试,tests shit
上下文信息,context info
转移顶点权重,transfer vertex weights
清除订阅,clear subscriptions
测试,test
模态线程,modal thread
固化,Solidify
刷新所有标准缓存节点,refreshes all standard cache nodes
将 mute_upstream 或 mute_downstream 设置为 True 也会使这些节点静音。,"mutes everything apart from upstreams, downstream, composite nodes, and the selected nodes.  setting either mute_upstream or mute_downstream to True will also mute those nodes"
在处理大文件时，下面的步骤太慢,below is too slow with large files
返回路径，但会更改路径分隔符以匹配操作系统,returns the path with the path seperators changed to match the OS
"return hash_without_prefix_frame_and_extension, full_without_frame_and_extension","return  hash_without_prefix_frame_and_extension, full_without_frame_and_extension"
返回散列下游节点时无需检查的属性列表,returns a list of attributes that don't need to be checked when hashing downstream nodes
传递从堆栈末尾开始打印的行数,pass in the number of line to print from the end of the stack
更新所有缓存节点，并对标准缓存节点执行额外检查，以确保下游节点未发生变化，如果发生变化，则重新缓存并删除旧的缓存文件,"updates all cache nodes, and performs additional checks on standard cache nodes to make sure the downstream nodes havent changed, and if they have it recaches them and deletes the old cache file"
.Turbo_data_Group,.Turbo_data_Group
.Turbo_world_data_group,.Turbo_world_data_group
.Turbo_world,.Turbo_world
.Turbo_Diff,.Turbo_Diff
.Turbo_Diff_2,.Turbo_Diff_2
.Turbo_Diff_3,.Turbo_Diff_3
.Turbo_surface_rec_z,.Turbo_surface_rec_z
.Turbo_z_vector_group,.Turbo_z_vector_group
.Turbo_z_single_channel,.Turbo_z_single_channel
.Turbo_Min,.Turbo_Min
最小值,Min
.Turbo_Max,.Turbo_Max
最大值,Max
图像,Image
for_turbo_render true 将把节点添加到 global_vars.turob_render_nodes_to_delete 中。 Pass_node_a_name 将用于新节点的第一部分，以避免冲突（可能没有必要）,for_turbo_render true will add the node to global_vars.turob_render_nodes_to_delete.  Pass_node_a_name will be used for the first part of the new node to avoid conflicts (probably not necessary)
固化,solidify
