 禅宗搅拌器实用工具 , Zen Blender Utils 
 , 
','
面板,Panel
"""\""""
"""", ""窗口栏移动事件""","""\""""
"""",""Window Bar Move Event"""
窗口栏事件处理程序,Window Bar Event Handler
窗口栏事件的模态操作符,Modal operator for window bar events
显示区域设置,Show Area Settings
显示包含区域设置的弹出式菜单,Display popup menu with area settings
invoke_region_win,INVOKE_REGION_WIN
在区域中隐藏： ,Hide in Area: 
从......撤消 ,Undo From: 
显示切换按钮设置,Show Toggle Button Settings
显示带有切换按钮设置的弹出式菜单,Display popup menu with toggle button settings
按钮名称,Button Name
切换按钮名称,Toggle button name
显示最小化按钮设置,Show Minimized Button Settings
显示带有最小化按钮设置的弹出式菜单,Display popup menu with minimized button settings
最小化按钮名称,Minimized button name
在活动设置中显示还原,Show Restore in Active Settings
显示饼形菜单，以还原活动区域,Display pie menu to restore in active area
INVOKE_DEFAULT,INVOKE_DEFAULT
左侧,Left
顶部,Top
右边,Right
底部,Bottom
EXEC_DEFAULT,EXEC_DEFAULT
最左,Most Left
最顶部,Most Top
最右,Most Right
最底部,Most Bottom
设置： ,Set: 
在活动状态下还原,Restore in Active
还原模式,Restore Mode
对齐,Align
切换区域,Toggle Area
通过插件设置切换区域,Toggle area by addon settings
按钮模式,Button Mode
覆盖附加组件按钮模式,Overrides addon button mode
在新窗口中打开,Open in New Window
在新窗口中打开区域,Open area in new window
保存区域/空间属性,Save Area/Space Properties
将区域和空间属性保存到附加组件设置中,Area and space properties will be saved into addon settings
移除最小化按钮,Remove Min Button
最小化按钮将被移除，与区域相关的所有数据将被清除,Minimized button will be removed and all associated data with area will be cleared
切换按钮,Make Toggle Button
恢复工作区,Restore Workspace
将备份工作区载入活动工作区,Load backup workspace into active workspace
您将还原不同的工作区：,You are about to restore different workspaces:
按 ,Press 
添加切换按钮,Add Toggle Button
添加可切换区域可见性的按钮,Add button that can toggle area visibility
方向,Direction
切换新区域的方向,Direction where to toggle new area
删除切换按钮,Remove Toggle Button
删除选定的切换按钮,Remove selected toggle button
保存和恢复,Save & Restore
编辑区域属性,Edit Area Properties
编辑空间属性,Edit Space Properties
页眉,Header
水平分割,Horizontal Split
垂直分割,Vertical Split
切换全屏区域,Toggle Fullscreen Area
高级,Advanced
操作,Actions
取消隐藏,Unhide
取消隐藏所有区域,Unhide All Areas
取消隐藏所有工作区,Unhide All Workspaces
窗口,Window
 Zen Dock 附加组件属性模块 , Zen Dock Addon Properties module 
区域,Area
屏幕区域类型,Type of screen area
将区域对齐至窗口侧面,Align area to the side of the window
允许复制,Allow Duplicate
尺寸系数,Size Factor
尺寸占宽度或高度的百分比，取决于方向,Size percentage of width or height depending on direction
自动,Auto
颜色遵循当前 Blender 主题,Color follows current Blender theme
面板颜色,Panel Color
面板背景颜色,Background panel color
最小化按钮图标,Minimize Button Icon
最小化按钮图标的背景颜色,Background color of minimize button icon
工具提示颜色,Tooltip Color
工具提示的背景颜色,Background color of tooltip
工具提示文本颜色,Tooltip Text Color
工具提示文本颜色,Text color of tooltip
按钮颜色,Button Color
按钮背景颜色,Button background color
按钮悬停颜色,Button Hover Color
鼠标进入时的按钮背景颜色,Button background color when mouse is entered
