,'
,"""\""""
"""",""Key Manager"""
动画偏移,Anim Offset
改变工具模式的工作方式,Changes how the tools modal work
参考帧使用标记,use markers for the reference frames
打开动画偏移,Anim Offset on
按键管理器开启,Key Manager on
鼠标释放时激活,Activate on mouse release
使用标记,Use markers
快速计算,Fast calculation
面板,Panel
 , 
动画辅助,AnimAide
帧上曲线工具,On Frame Curve Tools
饼状动画偏移,Pie AnimOffset
ANIMAIDE_MT_pie_anim_offset,ANIMAIDE_MT_pie_anim_offset
滑块操作符预设,Slider Operators Preset
测试,Test
激活无 maks 的动画偏移,Activates Anim Offset without maks
动画偏移,AnimOffset
停用动画偏移,Deactivates Anim Offset
关闭动画偏移,AnimOffset off
添加或修改动画偏移遮罩并激活它,Adds or modifies Anim Offset mask and activates it
动画偏移遮罩,AnimOffset Mask
删除并停用动画偏移掩码,Deletes Anim Offset mask and deactivates it
关闭动画偏移遮罩,AnimOffset Mask off
显示动画偏移的全局选项,Shows global options for Anim Offset
动画偏移设置,Anim Offset Settings
设置,Settings
鼠标释放时遮罩结束,masking ends on mouse release
快速偏移计算,Fast offset calculation
自动按键外边距,Auto Key outside margins
蒙版混合插值,Mask blend interpolation
使用标记,Use Markers
蒙版混合插值,Mask Blend Interpolation
蒙版混合缓和,Mask Blend Easing
由 anim_offset 处理程序运行的函数,Function to be run by the anim_offset Handler
确定用户对当前对象所做的变换改变,Determine the transformation change by the user of the current object
"在名为 ""animaide ""的动作中添加一条带有 4 个控制点的曲线，作为 anim_offset 的遮罩",Add a curve with 4 control pints to an action called 'animaide' that would act as a mask for anim_offset
删除用作 anim_offset 遮罩的 fcurve 和动作,Removes the fcurve and action that are been used as a mask for anim_offset
修改用作 anim_offset 遮罩的 fcurve 4 个控制点的位置 ,Modify the position of the fcurve 4 control points that is been used as mask to anim_offset 
使用时间线回放和预览范围来表示遮罩,Use the timeline playback and preview ranges to represent the mask
将时间线重放和预览范围重置为用户所设定的范围,Resets the timeline playback and preview ranges to what the user had it as
存储时间线重放和预览范围,Stores the timeline playback and preview ranges
轮询所有与 anim_offset 相关的操作符,Poll for all the anim_offset related operators
获取动画偏移的全局值,Get global values for the anim_offset
现在动画偏移按钮,Now Anim Offset buttons
在时间线,are in the timeline
标题中的,header next to Animaide
菜单,menu
停用,Deactivate
激活,Activate
停用遮罩,Deactivate Mask
屏蔽,Mask
修改遮罩,Modify Mask
遮罩混合插值：,Mask blend interpolation:
打开,On
关闭,Off
动画偏移蒙版,Anim Offset Mask
添加/修改,Add/Modify
删除,Delete
无遮罩的动画偏移,AnimOffset Without Mask
添加动画偏移遮罩,Add AnimOffset Mask
删除动画偏移遮罩,Delete AnimOffset Mask
停用动画偏移,Deactivate AnimOffset
影响,Influence
获取使用曲线工具所需的所有全局值,Gets all the global values needed to work with the curve_tools
曲线雕刻器,Curve Sculptor
模式,Mode
"将选定的或当前的按键从 ""邻近的",Transition selected or current keys from the neighboring\n
"以 ""S ""形的方式（同时缓入和缓出）转换选中的或当前的按键。","""ones in a \""S\"" shape manner (ease-in and ease-out simultaneously).\n"""
它不考虑当前的键值。,It doesn't take into consideration the current key values.\n
Ease To Ease,Ease To Ease
"""以 ""C ""形方式（ease-in 或 ease-out）执行。它不","""ones in a \""C\"" shape manner (ease-in or ease-out). It doesn't\n"""
考虑当前键值。,take into consideration the current key values.
缓和,Ease
使用邻近的按键将选定的或当前的按键混合到缓入或缓出曲线中。,Blend selected or current keys to the ease-in or ease-out\n
曲线。,curve using the neighboring keys.
混合缓和,Blend Ease
将选中或当前按键与相邻左键或右键的值混合。,Blend selected or current keys to the value of the neighboring\n
左键或右键的值。,left or right keys.
混合邻近键,Blend Neighbor
