,'
动画频道,Animation Channels
帧,Frames
返回 AddonPreferences 类型,Returns AddonPreferences type
更改活动关键帧集,Changes active KeyingSet
函数将返回所选关键帧的索引,Function will return an index of selected keyframes
返回所选关键帧最左和最右的帧范围的 [最小，最大] 值,"Returns [min, max] of frame range of leftmost and rightmost selected keys"
"返回指定曲线中键的 [x,y] 坐标","Returns [x,y] coordinates of key from specified curve"
"返回 [x1, y1, x2, y2] 左/右键柄的坐标","Returns [x1, y1, x2, y2] coordinates of left/right key handles"
返回 [x1、y1、x2、y2] 控制柄与按键的距离,"Returns [x1, y1, x2, y2] distance of handles from key"
返回两个键柄的 [斜边，斜边,"Returns [hypotenuse, hypotenuse] of both key handles"
按相对于按键的角度设置手柄。,Sets the handle by angle relative to the key.
返回键在给定帧上的索引。,Return the index of the key at the given frame.
返回指定曲线索引上的键，非选定索引,"Returns the key on specified curve index, NOT SELECTED INDEX"
返回指定选中索引上的键,Returns the key on specified selected index
Returns the left neighbour of a key selection. 基本上，这是左侧第一个未被选中的键。如果选择不包含邻键，则返回 None。,Returns the left neighbour of a key selection. Essentially this is the first key to the left that is not selected. Returns None if selection contains no neighbour.
返回选中键的右邻键。基本上是右边第一个未被选中的按键。如果选中的键不包含邻键，则返回 None（无）。,Returns the right neighbour of a key selection. Essentially this is the first key to the right that is not selected. Returns None if selection contains no neighbour.
返回按键的左邻。,Returns the left neighbour of a key.
返回按键的右邻。,Returns the right neighbour of a key.
从活动对象的选择集中选择骨骼。,Selects bones from selection set of active object.
选择位于播放头的关键帧。请注意，此功能保留通道选择，只影响关键帧选择。,Selects keyframes that lie on the playhead. Do note that this function preserves channel selections and only affects keyframe selection.
创建新的选择集，并将选中的骨骼分配给它,Creates a new selection set and assign selected bones to it
在指定的关键帧数组中插入一个关键帧,Inserts a key on specified key array
返回所选骨骼总数的 int。如果用户未处于姿势模式，则返回 0,"Returns int of total bones selected. If user is not in pose mode, 0 is returned"
返回 bool。检查插件是否已安装并启用。用于第三方功能。,"""Returns bool. Checks if addon \""name\"" is installed and enabled. Used for third-party functions."""
返回 [bool，bool]。运行活动屏幕中所有基于时间的区域并查找 OSS。如果关闭，则立即中断并返回 false，用于密钥管理。,"Returns [bool, bool]. Runs through all time-based areas in the active screen and look for OSS. If it's off, immediately break and return false to use for key management."
返回 Bool。确定骨骼是否通过活动骨骼层可见。,Returns Bool. Determines if the bone is visible via active bone layers.
 , 
"""\""""
"""", ""按键选择曲线""","""\""""
"""",""Key Selected Curves"""
为所有选中的 F 曲线在播放头上插入一个键,Inserts a key on the playhead for all selected F-Curves
键入可见曲线,Key Visible Curves
在所有可见 F 曲线的播放头上插入一个键,Inserts a key on the playhead on all visible F-Curves
复制关键帧,Copy Keys
将播放头上任何可见的关键帧复制到剪贴板。请注意，这将覆盖当前剪贴板和未在播放头上的任何选定关键帧。,Copies any visible keyframes on playhead to a clipboard. Note that this will overwrite your current clipboard and any selected keyframes not on the playhead
粘贴关键帧,Paste Keys
