"","AM_root"
"清理节点编辑器"," Clean the node editor "
""," "
"","AM_IBL_WORLD"
"导入","Import"
"位置","Location"
"导入的位置或","Location where to import or "
"将对象导入为","Import object as"
"导入/链接选定面上的活动资产"," Import/Link the active asset on the selected faces"
"替换资产","Replace asset"
"确认","Confirm"
"导入/链接选定面上的材质"," Import/Link the material on selected faces"
"打开活动资产的 Blend 文件"," Open blendfile of the active asset"
"打开 Blender 文件","Open Blendfile"
"添加 IBL","Add IBL"
"文件路径","File path"
"IBL 选项","IBL OPTIONS"
"保存 IBL","Save IBL:"
"缩略图分辨率","Thumbnail resolution:"
"创建新环境"," Create a new environment "
"设置环境","Setup environment"
"文件路径","Filepath"
"要追加或链接的资产的文件路径","Filepath of the asset to append or link"
"关联","Link"
"如果启用，关联资产而不是","If enabled, links the asset instead of "
"使用现有集合","Use existing collection"
"使用相同名称的集合（如果该集合已","Uses the collection of the same name if it already "
"用活动资产替换每个选定对象","Replace each selected object by the active asset. "
"复制缩放","Copy scale"
"复制要替换对象的缩放","Copy the scale of the object to be replaced"
"使用现有材质","Use existing material"
"使用同名材质（如果已存在）","Uses the material of the same name if it already "
"图像文件选择","Image file select"
"显示面板","Display panel"
"缩略图编辑器","Thumbnailer"
"用于创建缩略图的渲染引擎","Render engine using to creating the thumbnail"
"缩略图来源","Thumbnail source"
"渲染图像","Rendered image"
"缩略图路径","Thumb path"
"纹理路径重新映射：","Texture path remapping:"
"缩略图编辑器：","Thumbnailer:"
"预览类型：","Preview type:"
"缩略图来源：","Thumbnail source:"
"物体来自","Objects from"
"包括完整的层次结构","Include complete hierarchy"
"自动包括完整的层次结构","Automatically include the complete hierarchy"
"包括父级","Include parents"
"自动包含父级链","Automatically include the chain of parents"
"包括子级","Include children"
"自动包括子级链","Automatically include the chain of children"
"文件名","Filename"
"文件资产名称","Name of the file asset"
"替换现有文件","Replace existing"
"使用此选项替换现有文件","Use this option to replace the existing file "
"使用现有缩略图","Use existing Thumb"
"如果替换文件，则使用此选项以","If you replace the file, use this option to use the"
"无标题","Untitled"
"保存对象自：","Save objects from:"
"文件名","Filename:"
"如果替换文件，则使用此选项以","If you replace the file, use this option to use the "
"材质","Materials from"
"材质预览","Material previews"
"保存材质自：","Save materials from:"
"导入类型","Import type"
"定义导入类型","Define the type of import"
"函数调用","Function call "
"添加","Add "
"自动创建类型","Create automatically the type "
"选择默认创建类型：","Select default type to create:"
"调用浏览器目录","Call a browser directory"
"浏览器目录","Browser directory"
"允许加载 2.79 版 AM 的旧库","Allows to load old libraries from 2.79 version of AM"
"加载 Blender 2.79 版本的库","Load Blender 2.79 libraries"
"添加新库或加载资产库中的现有库","Add a new library or load an existing one in your database"
"加载/创建库","Load/Create library"
"添加库","Add library"
"库已在资产库中注册","Library already registred in database"
"你可以","You can"
"文件夹，因为它是一个","folder because it is part of a"
"库已在资产库中注册","library already registered in database"
"删除活动库","Remove the active library"
"删除库","Remove library"
"从硬盘","from Hard Drive"
"如果启用，从硬盘驱动器移除库","If enabled, remove the library from the hard drive"
"硬盘","HD"
"重命名活动库","Rename the active library"
"重命名库","Rename library"
"输入新的库名称：","Enter the new library name:"
"此名称已存在。","This name already exists."
"如果您按原样验证，它将被","If you validate it as it is, it will be "
"将活动库移动到目标位置","Move the active library in targeted location"
"移动库","Move library"
"递增名称","Increment the name"
"如果启用，库名称将递增","If enabled, the library name will incremented"
"已在库中","in a library already"
"已在资产库中注册","registered in database"
