"通过定义眼睑的边界来改进眼睑蒙皮。\选择围绕眼睑的顶点循环，然后单击此按钮。如果未自动选择循环（alt单击），则顶点选择顺序很重要","Improves eyelids skinning by defining their borders.\nSelect the vertices loop around the eyelids, then click this button. If the loop is not selected automatically (alt-click), the vertex selection order matters"
"","set_eyelids_borders"
"","Get the selected object"
"","smart_pick_object"
"","Pick"
"","Lines FX"
"","lines_fx"
""," Report a message in a popup window"
"","'"
"","Info"
"","Create mirorred shape keys for opposite side, with drivers.\nShape keys names must end with side suffix such as .l or _L for left"
"","Mirror Shape Keys"
"","Setup a corrective bone for the selected deforming bone(s) at the current rotation.\nIf 1 bone is selected, it must be an arm or leg bone.\nIf 2 bones are selected, can be any bone (the first bone selected must be the rotated bone)"
"","Add Corrective Bone"
"","Add the driver for the selected shape key.\nThe mesh and the shape key must be selected"
"","Add Corrective Driver"
"","Cancel the corrective driver creation"
"","Cancel Corrective Driver"
"","Pose the character into a predefined pose"
"","Set Pose"
"","Apply the current pose as rest pose: apply armature modifiers and align reference bones with controller bones (like an inverted 'Match to Rig')\nClick Match to Rig afterward to complete "
"","Apply pose as rest"
"","Warning, some meshes are instanced (multiple users):"
"","- "
"","Applying the rest pose on these objects won"
"","Please make them single user first."
"","Continue anyway?"
"","Set the character name in collections and objects names"
"","Set Character Name"
"","Show the selected limb parameters"
"","Limb Options"
"","Set the number of ear bones"
"","Set the number of neck bones"
"","Add neck twist bones"
"","Use bendy bones soft deformations for the neck bone if greater than 1"
"","Add 3 skull bones to deform the mouth, eyes and head top areas"
"","Facial controllers (mouth, eyes, eyelids...)"
"","Eye target controllers distance from the head"
"","Align the c_eyelid bones rotation when Match to Rig"
"","Factor to adjust the eyelid rotation speed when moving the eyelid controller"
"","Align the c_skull bones when Match to Rig"
"","The lips controllers will move automatically along the jaw and lips corner"
"","The Soft Lips effect will be only visual, it won"
"","The upper lips will collide with the lower lips when the jaw is raising, if enabled"
"","The bottom lips collide 100% with the upper lips instead of 50%, but may lead the chin to raise too fast compared to the lips"
"","Offset distance at which the lower lips will collide with the upper lips"
"","Add an offset controller for the lips corners"
"","Eyebrows rig type"
"","Add a lips offset controller to shift all lips bones at once"
"","Add lips master controllers for up and down lips"
"","Use rotation instead of location to open the jaw"
"","Separate the jaw location (the pivot point can be moved when moving the jaw controller)"
"","Enable the mouth controllers"
"","Enable the teeth controllers"
"","Enable the tongue controllers"
"","Enable the chin controllers"
"","Enable the nose controllers"
"","Enable the left eye controllers"
"","Enable the right eye controllers"
"","Enable the left eyebrow controllers"
"","Enable the right eyebrow controllers"
"","Enable cheek bones"
"","Add IK controls for fingers, with IK-FK switch and snap settings"
"","Fingers IK target (tip) default shape"
"","Color"
"","Color of IK controllers (tip)"
"","Fingers IK target (root) default shape"
"","Color of IK (root) controllers"
"","IK target parent bone.\nCan also be user-defined by adding more ChildOf constraints"
"","IK pole parent bone"
"","Fingers IK pole default shape"
"","Color of IK pole controllers"
"","IK pole distance from fingers"
"","IK Pole distance from the elbow"
"","Number of twist bones per bone (arm, forearm).\nDisabled if secondary controllers are Bendy Bones"
"","The Ease Out property of the bendy-bones is driven by secondary controllers if true"
"","Add an Arm Lock setting in FK mode to switch the arm parent space"
"","Arm IK-FK default switch value"
"","IK-FK Default"
"","Enable feather bones"
"","Number of feathers along the arm bone"
"","Number of feathers along the forearm bone"
"","Number of feathers along the hand bone"
"","Add an additional IK offset controller"
"","Number of bones layer, per feather, in case of multiple feathers on top of each other"
"","Number of bones per feather in order to curve the feather"
"","Update existing reference feather bones transforms when clicking the OK button (grid align).\nIf disabled, existing feathers won"
"","Parent feathers layers. If disabled, feather layers move independently."
"","Add a controller to fold the arms and feathers by scaling it.\nRequires an action containing "
"","3 bones leg instead of 2, one bone is added at the root.\n2 or 3 bones can be used in the IK chain,  using the "
"","Add a controller to rotate the IK foot from the toes pivot point"
"","Add an IK offset controller, offering another layer of control"
"","IK Pole distance from the knee"
"","Number of twist bones per bone (thigh, leg).\nDisabled if secondary controllers are Bendy Bones"
"","Distance of the "
"","Speed/factor for the foot_roll_cursor motion"
"","LEG IK-FK default switch value"
"","Soft IK"
"","Enables Soft IK chains for smoother results, to avoid typical IK pop effect\nWarning, leads to slight stretch even when there is no stretch applied"
"","Add bottom controllers"
"","Align the c_root_master bone when Match to Rig, otherwise let it be for manual adjustment"
"","Type of the IK Spline limb"
"","IK Spline Type"
"","Number of bones"
"","Add a spline master controller every Nth bone"
"","Type of weight interpolation for spline vertices in-between master controllers"
"","Interpolation Type"
"","Number of bendy bones per bone for a smoother result.\nNote: Bendy-Bones are not export compliant, keep it to 0 for export"
"","Bone range"
"","Curve smoothness. Decrease this value if the curve shape is too smooth"
"","Parent of the master controllers of the chain"
"","Parent Master"
"","Parent of the last controller of the chain"
"","Parent Last"
"","Parent of c_spline_tip controller of the chain"
"","Parent Master Last"
"","Side"
"","Side of the spline IK limb: left, right or middle"
"","Spline bones names"
"","Enable or disable skinning influence. Disabling may be useful when creating manually extra controllers on top of it"
"","Update reference bones transforms when clicking the OK button.\nIf the bone count has changed, transforms are always updated"
"","Number of bendy-bones"
"","Number of bendy-bones segments per bone"
"","Side of the bendy-bones limb: left, right or middle"
"","Bendy bones name"
"","Size of the controller shapes"
"","Master Controller at Root"
"","Position the tail master controller at the root (first bone)"
"","Tail Count"
"","Number of tail bones"
"","Side of the tail limb: left, right or middle"
"","Update Transforms"
"","Update bones transforms (aligned linearly). Enabled automatically if the tail count changed"
"","Parameter to skip reset to default settings, useful when setting limbs from operators or other means"
"","spline"
"","bbones"
"","Count"
"","Bottom"
"","Align Root Master"
"","Twist Bones"
"","Bendy Bones"
"","Skulls"
"","Align Skulls"
"","Facial"
"","Eyebrow Left"
"","Eyebrow Right"
"","Eye Left"
"","Eye Right"
"","Nose"
"","Cheeks"
"","Mouth"
"","Soft Lips"
"","Soft Lips: Visual Only"
"","Sticky Lips"
"","Sticky Lips Full"
"","Sticky Lips Offset"
"","Teeth"
"","Tongue"
"","Chins"
"","Eye Targets Distance"
"","Align Eyelids"
"","Eyelid Speed Fac"
"","Experimental:"
"","Eyebrows Type"
"","Lips Offset"
"","Lips Masters"
"","Lips Corners Offset"
"","Rotate Jaw"
"","Separate Jaw Location"
"","Arm FK Lock-Free"
"","IK Pole Distance"
"","Drive Bbones Ease Out"
"","IK-FK Default:"
"","Rot. Fingers from Scale:"
"","Rot. Thumb from Scale:"
"","Fingers Shapes:"
"","Fingers:"
"","Thumb"
"","Index"
"","Middle"
"","Ring"
"","Pinky"
"","Fingers IK-FK"
"","  IK Parent:"
"","  Pole Parent:"
"","  IK Root Shape:"
"","  IK Tip Shape:"
"","  Pole Shape:"
"","  IK Pole Distance"
"","Independent Pinky Base (Experimental)"
"","IK Offset Controller"
"","Wings"
"","Arm Feathers"
"","Forearm Feathers"
"","Hand Feathers"
"","Feather Subdivisions"
"","Feather Layers"
"","Update Existing Feathers Transforms"
"","Parent Feathers Layers"
"","Add Wings Fold Controller"
"","  IK-FK Default:"
"","3 Bones Leg"
"","Toes:"
"","Toes Pivot Controller"
"","Roll Cursor Distance"
"","Roll Cursor Factor"
"","Type"
"","IK Spline Count"
"","Controllers Frequency"
