"轻松旋转网格面","Tooltip"
"","Bend Face"
"滑动旋转","Sliding rotation"
"旋转时沿边缘滑动顶点","Slide the vertices along edges when rotate"
"旋转","Rotation"
"定义旋转角度","Define the rotation angle"
"移动","Movement"
"定义移动距离","Define the movement distance"
"旋转挤出","Rotate Extrude"
"使用"旋转挤出"功能","Use rotate extrude function"
"副本数量","Number of copies"
"定义介于两者之间的副本数量","Define the number of copies in-between"
"去除重叠边","Remove double edges"
"检查清理重叠边缘","Check to cleanup overlapping edges"
"轴偏移","Axis offset"
"旋转轴的轴偏移量","Axis offset for rotation axis"
"轴偏移角","Axis offset angle"
"应用于轴偏移的角度","An angle applied to axis offset"
"轴偏移（共线）","Axis offset (colinear)"
"轴沿着轴的偏移","Axis offset along the axis"
"点","VERTS"
"面","FACES"
"连续模式","Continuous Mode"
"留在工具内，直到按 Q 或 Esc 键","Stay inside the tool until pressing Q or Esc key"
