"以 3D 形式绘制网格的表示","Draw in 3D a representaion of the mesh"
"贴合物体渐变组","Conform Object Gradient Group"
"贴合物体混合组","Conform Object Blend Group"
"贴合变形","Conform Deformation"
"保形收缩包装","Conform Shrinkwrap"
"贴合物体法向传输","Conform Object Normal Transfer"
"贴合物体细分","Conform Object Subdivisions"
"贴合晶格","Conform Lattice"
"移动物体时切换 Blender 的表面捕捉设置","Toggle Surface Blender's Snapping settings when moving an object"
"切换表面捕捉","Toggle Surface Snapping"
"挖掘物体","Dig Object"
"厚度 X/Y/Z","Thickness X/Y/Z"
"挖出物体的厚度","Thickness of dug object"
"挖掘布尔值","Dig Boolean"
"将一个物体投影到另一个物体的表面上","Project an Object onto another Object's surface"
"贴合物体","Conform Object"
"包裹方法","Wrap Method"
"用于将物体包裹到表面上的方法","Method used to wrap the object onto the surface"
"制作副本","Make Copy"
"制作源物体的副本）","Make a Copy of the Source Object)"
"折叠修改器","Collapse Modifiers"
"折叠源物体上的修改器（当涉及复杂修改器时很有用）","Collapse the modifiers on the Source Object (Useful for when complex modifiers are involved)"
"变形修改器位置","Deform Modifier Postion"
"修改器","Modifier"
"插值衰减","Interpolation Falloff"
"控制附近多边形对变形的影响程度","Controls how much nearby polygons influence deformation"
"网格垂直细分","Grid Vertical Subdivisions"
"网格垂直细分数","Number of vertical subdivisions for grid"
"网格水平细分","Grid Horizontal Subdivisions"
"网格平滑","Grid Smoothing"
"网格细分表面平滑","Subdivision Surface Smoothing for grid"
"偏移","Offset"
"距目标物体表面的偏移量","Amount of offset from the surface of the Target Object"
"坐标","Location"
"目标物体投影到表面后的相对坐标","Relative location of Target Object once it has been projected onto the surface"
"隐藏网格","Hide Grid"
"隐藏或显示变形网格","Hide or show the deformation grid"
"启用网格","Enable Grid"
"启用或禁用变形网格（参数仍可编辑）","Enable or Disable the deformation grid (parameters will still be editable)"
"网格 X","Grid X"
"变形网格的相对 X 坐标","Relative X location of Deformation Grid"
"网格 Y","Grid Y"
"变形网格的相对 Y 坐标","Relative Y location of Deformation Grid"
"网格Z","Grid Z"
"变形网格的相对 Z 坐标","Relative Z location of Deformation Grid"
"网格比例 X","Grid Scale X"
"变形网格宽度","Width of Deformation Grid"
"网格旋转","Grid Rotation"
"变形网格的 Z 轴旋转","Z Rotation of Deformation Grid"
"网格比例 Y","Grid Scale Y"
"变形网格高度","Height of Deformation Grid"
"父级将网格变形到源","Parent Deform Grid to Source"
"将变形网格设置为原始源物体的父级，如果您希望稍后移动物体，这很有用。","Parent the deformation grid to the original Source Object, useful if you wish to move the object later."
"创建晶格","Create Lattice"
"创建一个晶格来使网格变形","Create a Lattice to deform the grid"
"晶格U","Lattice U"
"U 方向晶格细分数","Number of lattice subdivisions in U direction"
"晶格V","Lattice V"
"V 方向晶格细分数","Number of lattice subdivisions in V direction"
"插值类型","Interpolation Type"
"开始时的变形修改器","Deform Modifier at Start"
"将“表面变形修改器”放置在修改器堆栈的开头","Place the Surface Deform Modifier at the start of the start of the modifier stack"
"渐变效果","Gradient Effect"
"限制效果从下到上","Restrict the effect from the bottom to the top"
"渐变类型","Gradient Type"
"要应用的渐变类型。","Type of gradient to apply."
"渐变方法","Gradient Method"
"用于将源物体的顶点权重添加到表面上的方法","Method used to add vertex weights of the the Source Object onto the surface"
"开始","Start"
"这是效果的下端点（0=物体的底部）","This is the lower end point of the effect (0=bottom of object)"
