,'
导入,Import
导出,Export
附加,Append
 , 
,"""\""""
"""",""INVOKE_DEFAULT"""
可以,Can
相机派菜单,Camera Pie Menu
将相机锁定到视图,Lock Camera To View
从视图中添加相机,Add Camera From View
选择活动相机,Select Active Camera
设置活动,Set Active
将面部对象移至相机,Face Object To Camera
将脸部图像添加到相机,Face Image To Camera
..,..
事实对象移至相机,Fact Object To Camera
事实图像至摄像机,Fact Image To Camera
照相机,Camera
摄像机属性            ,Camera Properties            
有用属性              ,Useful Properties              
EXEC_DEFAULT,EXEC_DEFAULT
渲染引擎,Render Engine
功能集,Feature Set
设备,Device
打开着色语言,Open Shading Language
显示/隐藏时间线属性,Show/Hide Timeline Properties
时间轴                            ,Timeline                            
取样                           ,Sampling                           
视口,Viewport
噪声阈值,Noise Threshold
最大采样,Max Samples
最小采样,Min Samples
去噪,Denoise
渲染,Render
时间限制,Time Limit
光照路径                        ,Light Paths                        
总计,Total
漫反射,Diffuse
光泽,Glossy
透射,Transmission
体积,Volume
透明,Transparent
简化                           ,Simplify                           
最大细分,Max Subdivision
子粒子,Child Particles
纹理限制,Texture Limit
体积分辨率,Volume Resolution
运动模糊                     ,Motion Blur                     
位置,Position
快门,Shutter
滚动快门,Rolling Shutter
快门持续时间,Rolling Shutter Duration
胶片                                   ,Film                                   
透明背景,Transparent Background
曝光,Exposure
自由式                         ,Freestyle                         
线条粗细模式,Line Thickness Mode
线条粗细,Line Thickness
色彩管理           ,Color Management           
使用曲线,Use Curves
时间轴                               ,Timeline                               
取样                             ,Sampling                             
视口去噪,Viewport Denoising
环境遮蔽         ,Ambient Occlusion         
距离,Distance
系数,Factor
跟踪精度,Trace Precision
弯曲法线,Bent Normals
反弹近似,Bounces Approximation
绽放                              ,Bloom                              
阈值,Threshold
膝关节,Knee
半径,Radius
颜色,Color
强度,lntensity
夹钳,Clamp
屏幕空间反射,Screen Space Reflection
折射,Refraction
轨迹分辨率 半,Trace Res Half
最大粗糙度,Max Roughness
厚度,Thickness
边缘褪色,Edge Fading
背景分离,Background Separation
最大模糊,Max Blur
步骤,Steps
最大子粒子数,Max Child Particles
阴影分辨率,Shadow Resolution
胶片                                      ,Film                                      
滤镜尺寸,Filter Size
景深                      ,Depth of Field                      
最大尺寸,Max Size
精灵阈值,Sprite Threshold
邻域剔除,Neighbor Rejection
去噪量,Denoise Amount
高质量轻微散焦,High Quality Slight Defocus
抖动相机,Jitter Camera
过度模糊,Over-blur
色彩管理             ,Color Management             
请输入 Eevee 渲染引擎,Please enter Eevee render engine
分辨率                         ,Resolution                         
分辨率 X,Resolution X
分辨率 Y,Resolution Y
%,%
比例                             ,Aspects                             
输出                               ,Output                               
面板信息,Panel Info
魔术按钮,Magic Button
自定义魔法按钮,Custom Magic Button
点击我,Click Me
噪音阈值（渲染）,Noise threshold (Render)
渲染噪音阈值,Render Noise Threshold
渲染最大样本,Render Max Samples
去噪（渲染）,Denoise (Render)
去噪（视口）,Denoise (Viewport)
噪点阈值（视口）,Noise threshold (Viewport)
简化,Simplify
运动模糊,Motion Blur
光线树,Light Tree
循环                              ,Cycles                              
标签信息,Tab Info
自由风格,Freestyle
实用属性,Useful Properties
专业设置（循环）,Pro Settings (Cycles)
循环,Cycles
好了吗？,Ok?
一个神奇的按钮，可缩短您的重放时间,A magic button that reduce your reder time
魔法按钮组件,Magic Button Component
专业设置信息,Pro Settings Info
关于自定义魔法按钮的信息,Info Avout Custom Magic Button
自定义魔法按钮 ,Custom Magic Button 
expand_collapse.001,expand_collapse.001
警告,Warning
摄像机属性,Camera Properties
方面操作员,Aspects Operator
方面,Aspects
输出操作器,Output Operator
输出,Output
分辨率 操作员,Resolution Operator
分辨率,Resolution
取样运算器 Eevee,Sampling Operator Eevee
采样,Sampling
Bloom 运算器 Eevee,Bloom Operator Eevee
绽放,Bloom
自由式操作员 Eevee,FreestyleOperator Eevee
胶片操作员 Eevee,Film Operator Eevee
胶片,Film
景深操作员 Eevee,Depth of Field Operator Eevee
景深,Depth of Field
环境遮蔽操作员 Eevee,Ambient Occlusion Operator Eevee
环境遮蔽,Ambient Occlusion
运动模糊操作员 Eevee,Motion Blur Operator Eevee
色彩管理 操作员 Eevee,Color Management Operator Eevee
色彩管理,Color Management
简化操作器 Eevee,Simplify Operator Eevee
屏幕空间反射操作器 Eevee,Screen Space Reflection Operator Eevee
时间线操作器 Eevee,Timeline Operator Eevee
时间轴,Timeline
光线路径操作器 循环,Light Paths Operator Cycles
光线路径,Light Paths
自由式操作循环,Freestyle Operator Cycles
电影操作循环,Film Operator Cycles
运动模糊操作程序,Motion Blur Operator Cycles
简化操作程序,Simplify Operator Cycles
色彩管理操作程序,Color Management Operator Cycles
取样操作程序 123,Sampling Operator 123
时间线循环,Timeline Cycles
自定义按钮,Custom Buttons
添加,Add
名称,Name
全部删除,Remove all
操作员.002,Operator.002
操作员,Operator
删除,Delete
索引,index
操作员.001,Operator.001
索引,Index
操作员.003,Operator.003
新面板,New Panel
编辑每个按钮,Edit Each Button
名称 最后按钮,Name Last Button
节点,Nodes
自定义图标库,Custom Icon Gallery
选项卡名称,Tab name
.Blend,.Blend
图片,Images
扩展,Extention
图库比例,Gallery Scale
弹出式缩放,Popup Scale
显示标签,Show label
材质选项卡 1 刷新,Material Tab 1 Refresh
添加选项卡 1 材质,Append tab 1 Materials
材质选项卡 2 刷新,Material Tab 2 Refresh
"添加第 2 个 ""材料 ""选项卡",Append tab 2 Materials
材料选项卡 3 刷新,Material Tab 3 Refresh
"添加第 3 个 ""材料 ""选项卡",Append tab 3 Materials
材料选项卡 4 刷新,Material Tab 4 Refresh
"添加第 4 个 ""材料 ""选项卡",Append tab 4 Materials
材料选项卡 5 刷新,Material Tab 5 Refresh
添加选项卡 5 材料,Append tab 5 Materials
对象选项卡 3 操作员,Object tab 3 operator
附加第 3 个对象选项卡,Append tab 3 objects
对象选项卡 4 操作员,Object tab 4 operator
添加选项卡 4 对象,Append tab 4 objects
对象选项卡 2 操作员,Object tab 2 operator
附加选项卡 2 对象,Append tab 2 objects
对象选项卡 5 操作符,Object tab 5 operator
附加选项卡 5 对象,Append tab 5 objects
对象选项卡 1 操作符,Object tab 1 operator
添加选项卡 1 对象,Append tab 1 objects
几何图形 ,Geometry 
信息,INFO
自定义面板,Custom Panel
自定义饼形菜单,Custom Pie Menu
简易编辑模式,Easy Edit Mode
挤出,Extrude
斜面,Bevel
嵌入,Inset
环形切割,Loop Cut
标记接缝,Mark Seam
清缝,Clear Seam
填充,Fill
戳脸,Poke Face
突出所选对象,Highlight Selected Object
点,Spot
区域,Area
点,Point
太阳,Sun
光属性,Light Properties
添加点,Add Point
添加太阳,Add Sun
添加点,Add Spot
添加区域,Add Area
添加轨迹,Add Track
相机专业版,Camera Pro
材质属性,Material Properties
自定义节点组属性,Custom Node Group Properties
指定,Assign
选择,Select
取消选择,Deselect
不兼容的输出节点,Incompatible output node
无输出节点,No output node
表面,Surface
生成,Generate
数组,Array
布尔,Boolean
生成,Build
十进制,Decimate
边缘分割,Edge Split
几何节点,Geometry Node
镜像,Mirror
多分辨率,MultiResolution
重网格,Remesh
皮肤,Skin
凝固,Solidify
细分曲面,Subdevision Surface
线框,Wireframe
变形,Deform
变形,Armature
曲线,Curve
位移,Displace
网格,Lattice
收缩包裹,Shrink Wrap
简单变形,Simple Deform
平滑,Smooth
波,Wave
物理,Physics
布料,Cloth
碰撞,Collision
动态喷漆,Dynamic Paint
爆炸,Explode
流体,Fluid
海洋,Ocean
软体,Soft Body
选择对象以激活菜单。,Select an object to activate the menu.
阵列.001,Array.001
斜面.001,Bevel.001
布尔值.001,Boolean.001
构建.001,Build.001
十进制.001,Decimate.001
边缘分割.001,Edge Split.001
几何节点.001,Geometry Node.001
镜像.001,Mirror.001
多分辨率.001,MultiResolution.001
重网格.001,Remesh.001
皮肤.001,Skin.001
凝固.001,Solidify.001
细分曲面.001,Subdevision Surface.001
线框,Wireframe.001
曲线.001,Curve.001
位移.001,Displace.001
网格.001,Lattice.001
收缩包裹.001,Shrink Wrap.001
简单变形.001,Simple Deform.001
平滑.001,Smooth.001
