, 
BG同步,BG Sync
Builtin.select,builtin.select
Create (unit or unit+height) box or cylinder primitve based on selection (or not = ground)/n,Creates (unit or unit+height) box or cylinder primitve based on selection (or not = ground)\n
EDGES：循环选择，POLYS：链接选择，VERTS：（链接）边界边缘,"EDGES: loop select, POLYS: Linked select, VERTS: (linked) Border edges"
Fit2Grid,Fit2Grid
ID材料,ID Material
KCM,KCM
Origin to Selected Elements（原点至所选元素,Origin To Selected Elements
Pie-Slot Mouse Offset,Pie-Slot Mouse Offset
Quantization\n,Quantization\n
TripleConnectSpin,TripleConnectSpin
VERTS: Connect Verts/n,VERTS: Connect Verts\n
VERTS：连接顶点，EDGE（s）：旋转，FACE（s）：三角化,"VERTS: Connect Verts, EDGE(s): Spin, FACE(s): Triangulate"
ke_fitprim,ke_fitprim
一键完成所有重要的清理操作。自定义选项。,All the important cleaning operations in one click. Customize options. 
三角形阴影,Triangulate Shading
上下文 挤压,Context Extrude
上下文倒角,Context Bevel
上下文删除,Context Delete
上下文溶解,Context Dissolve
上下文滑动,Context Slide
上下文连接,Context Connect
上下文选择,Context Select
上下文选择减去,Context Select Subtract
上下文选择扩展（Context Select Extend,Context Select Extend
下降时在障碍物上停止（无：Z0）。,Stops on obstructions on the way down (Nothing: Z0)
与每个顶点的距离，以合并链接的顶点。,Distance from each vert to merge linked verts from
中心,Center
为两个对象交换位置（变换）。(应用比例来避免),"Swap places (transforms) for two objects. loc, rot & scale. (apply scale to avoid)"
也可以在编辑模式下制作新的对象,Makes new object also from Edit mode
交换位置,Swap Places
从元素或对象选择中创建 BOX 或 CONVEX HULL 碰撞式对象。,Creates BOX or CONVEX HULL collision-style object from Element or Object selection\n
从对象或编辑模式切换到鼠标指针下的对象（并设置编辑模式）。,Switch to object under mouse pointer (and set Edit Mode) from either Object or Edit Mode
从每个顶点到处理距离的边缘链接的数量。,The # of edge links away from each vert to process distance on
从面的比例,Scale From Faces
位置,Location
偏移,Offset
光标书签,Cursor Bookmarks
光标位置,Cursor Location
光标拟合与对齐,Cursor Fit & Align
光标旋转,Cursor Rotation
光标正交定位,Cursor Otho Snap
全屏+。当切换回来时，恢复原来的设置。,Fullscreen+. Restores original settings when toggled back.
内部BU中最近的网格值（公制）。,Nearest Grid value in internal BU(Metric)
减去上下文选择。适用于Ctrl-双击LMB,Subtracts Context Select. Intended for Ctrl-Double-click LMB
创建一个盒状原形。立方体工具，但有更多的设置。(来自Blender的默认模板) №n,"Creates a Box Primitive. Cube tool, but with more settings. (from Blender Default Template) \n"
制作物体,Make Object
剪切+或复制+面的选择（到临时缓存），然后粘贴+到另一个对象。,Cut+ or Copy+ face selection (to temporary cache) then Paste+ into another object.
匹配活动界线,Match Active Bounding Box
参考风格阴影,Reference Style Shading
反转选择,Invert Selection
取消隐藏或关闭本地,Unhide or Local Off
叠加类型,Overlay Type
只在连接/链接的网格上反转选区。,Inverts selection only on connected/linked mesh geo\n
只渲染当前视口中可见的部分 - 不考虑轮廓器的设置。,Render only what is currently visible in the viewport - Regardless of outliner settings
合并到活动位置,Merge to Active
合并到鼠标,Merge to Mouse
合并选定的附近,Merge Near Selected
名称,Name
四面体,QuadSphere
在一条直线上创建一个数组，实例在起点和终点之间自动间隔。,Creates an array in a line where instances are spaced automatically between start and end 
在大纲视图中找到所选对象（并将父集合设置为活动集合）。,Locate the selected object(s) in the outliner (& set parent Collection as Active)
在射线投射时忽略选中的物体。,Ignore selected Objects when raycasting
在平面和平滑阴影之间切换所选对象。也可在编辑模式下使用。,Toggles selected object(s) between Flat & Smooth shading.\nAlso works in Edit mode.
在编辑模式下获取和设置对象,Get & Set Object in Edit Mode
在选定的点附近合并其他点（在任何元素模式下！）/n,Merges other verts near selected verts to them (in any element mode!)\n
在面或边模式下，从选区创建新的网格。活动面/边（连接的循环）。,Creates new mesh from selection in face or edge mode. Active face/edge(w.connected loop) 
在鼠标下的边上插入边环（或带DIV的顶点）。 不需要选择） （n,Inserts edge loop (or a vert with DIV) on an edge under the mouse. (No selection needed)\n
地面（或中心）,Ground (or Center)
垂直和面部模式。将选定的顶点合并到离鼠标最近的顶点上。,Vert & Face Mode: Merge selected verts to the vert nearest the Mouse 
垂直模式。将选定的顶点合并到活动顶点上（如图）。,Vert Mode: Merge selected verts to the Active vert (as 
复制+,CopyPlus
