# Target Addon : BSurface ver1.8.0
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno

"Bサーフェス","Bsurfaces"
"初期化（BSurfaceメッシュの追加）","Initialize (Add BSurface mesh)"
"ミラーおよびその他の修飾子を追加する","Add Mirror and others modifiers"
"BSurfaceのメッシュ：","Mesh of BSurface:"
"ガイドストローク：","Guide strokes:"
"サーフェスを追加","Add Surface"
"サーフェスを編集","Edit Surface"
"ストロークを追加","Add Strokes"
"ストロークを編集する","Edit Strokes"
"曲線へのストローク","Strokes to curves"
"注釈を追加","Add Annotation"
"曲線への注釈","Annotation to curves"
"曲線を編集する","Edit curve"
"初期設定：","Initial settings:"
"Curve_edit","curve_edit"
"最初のポイントを設定する","Set First Points"
"方向を切り替える","Switch Direction"
"スプラインを並べ替える","Reorder Splines"
"Bサーフェスはサーフェスを追加します","Bsurfaces add surface"
"グリースペンシルストローク、ベジェ曲線、またはルーズエッジからサーフェスを生成します","Generates surfaces from grease pencil strokes, bezier curves or loose edges"
"クロス","Cross"
"ストロークを横切るフェイスループの数","Number of face-loops crossing the strokes"
"従う","Follow"
"ストローク後のフェイスループの数","Number of face-loops following the strokes"
"サイクリッククロス","Cyclic Cross"
"ストロークを横切るフェイスループを周期的にする","Make cyclic the face-loops crossing the strokes"
"サイクリックフォロー","Cyclic Follow"
"ストロークに続いてフェイスループを周期的にします","Make cyclic the face-loops following the strokes"
"ストロークのループ","Loops on strokes"
"ループをストロークのパスと一致させます","Make the loops match the paths of the strokes"
"自動参加","Automatic join"
"生成されたいずれかのサーフェスの頂点を自動的に結合します","Join automatically vertices of either surfaces generated "
"ストレッチ","Stretch"
"許容される伸縮量","Amount of stretching or shrinking allowed for "
"ストロークを維持する","Keep strokes"
"サーフェスを追加した後、スケッチしたストロークまたは曲線を保持します","Keeps the sketched strokes or curves after adding the surface"
"SURFSKIO_NE_STR","SURFSKIO_NE_STR"
"SURFSKIO_CALC_TMP","SURFSKIO_CALC_TMP"
"SURFSKIO_STK_TMP","SURFSKIO_STK_TMP"
"SURFSKIO_surface","SURFSKIO_surface"
"SURFSKIO_ctrl_pts","SURFSKIO_ctrl_pts"
"SURFSKIO_temp_strokes","SURFSKIO_temp_strokes"
"keep_strokes","keep_strokes"
"Bサーフェスが初期化されます","Bsurfaces initialize"
"便利な設定で空のメッシュオブジェクトを追加します","Add an empty mesh object with useful settings"
"builtin_brush.Draw","builtin_brush.Draw"
"builtin.annotate","builtin.annotate"
"モディファイヤを追加：ミラー、シュリンクラップ、サブディビジョン、ソリッド化","Add modifiers: Mirror, Shrinkwrap, Subdivision, Solidify"
"Bサーフェスはサーフェスを編集します","Bsurfaces edit surface"
"サーフェスメッシュを編集する","Edit surface mesh"
"builtin.select","builtin.select"
"Bサーフェスはストロークを追加します","Bsurfaces add strokes"
"グリースペンシルストロークを追加します","Add the grease pencil strokes"
"Bサーフェスはストロークを編集します","Bsurfaces edit strokes"
"グリースペンシルストロークを編集します","Edit the grease pencil strokes"
"注釈を曲線に変換する","Convert annotation to curves"
"編集のために注釈を曲線に変換する","Convert annotation to curves for editing"
"builtin.select_box","builtin.select_box"
"ストロークを曲線に変換する","Convert strokes to curves"
"グリースペンシルストロークを編集用の曲線に変換します","Convert grease pencil strokes to curves for editing"
"Bsurfacesは注釈を追加します","Bsurfaces add annotation"
"注釈を追加","Add annotation"
"Bsurfaces編集曲線","Bsurfaces edit curve"
"Bsurfacesはスプラインを並べ替えます","Bsurfaces reorder splines"
"グリースペンシルストロークを使用してスプラインの順序を定義します","Defines the order of the splines by using grease pencil strokes"
"SURFSKIO_CRV_ORD","SURFSKIO_CRV_ORD"
"Bサーフェスは最初のポイントを設定します","Bsurfaces set first points"
"選択した点を各スプラインの最初の点として設定します","Set the selected points as the first point of each spline"
"タブカテゴリ","Tab Category"
"パネルのカテゴリの名前を選択してください","Choose a name for the category of the panel"
"タブカテゴリ：","Tab Category:"
"ガイド：","Guide:"
"いずれかのサーフェスの頂点を自動的に結合します","Join automatically vertices of either surfaces "
"精度","Precision"
"表面計算の精度レベル","Precision level of the surface calculation"
"BSurfaceのメッシュ","Mesh of BSurface"
"GreasePencilオブジェクト","GreasePencil object"
"カーブオブジェクト","Curve object"
"スムーズなシェード","Shade smooth"
"補間された頂点法線を使用して、面をスムーズにレンダリングおよび表示します","Render and display faces smooth, using interpolated Vertex Normals"
