# Target Addon : LoopTools ver4.7.7
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno

"ブリッジ/ロフト","Bridge / Loft"
"頂点のループを2つ、またはいくつかロフトしてブリッジします","Bridge two, or loft several, loops of vertices"
"力","Strength"
"強度が高いほど、流体曲線が多くなります","Higher strength results in more fluid curves"
"補間モード","Interpolation mode"
"補間モード：作成時に使用されるアルゴリズム","Interpolation mode: algorithm used when creating "
"ロフト","Loft"
"複数のループをロフトします。","Loft multiple loops, instead of considering them as "
"ループ","Loop"
"最初と最後のループを相互に接続します","Connect the first and the last loop with each other"
"最小幅","Minimum width"
"これよりも小さいエッジを持つセグメントがマージされます","Segments with an edge smaller than this are merged "
"モード","Mode"
"ブリッジングに使用されるアルゴリズム","Algorithm used for bridging"
"顔を削除します","Remove faces"
"ブリッジ後に内部の面を削除します","Remove faces that are internal after bridging"
"逆行","Reverse"
"ループの方向を手動でオーバーライドします","Manually override the direction in which the loops "
"セグメント","Segments"
"ギャップを埋めるために使用されるセグメントの数（0 =自動）","Number of segments used to bridge the gap (0=automatic)"
"ねじれ","Twist"
"互いに接続されている頂点をツイストします","Twist what vertices are connected to each other"
"サークル","Circle"
"選択した頂点を円の形に移動します","Move selected vertices into a circle shape"
"半径","Radius"
"カスタム半径を強制する","Force a custom radius"
"方法","Method"
"円を頂点に合わせるために使用される方法","Method used for fitting a circle to the vertices"
"平らにする","Flatten"
"円をメッシュに投影するのではなく、平らにします","Flatten the circle, instead of projecting it on the mesh"
"影響","Influence"
"ツールの力","Force of the tool"
"Xをロックする","Lock X"
"x座標の編集をロックします","Lock editing of the x-coordinate"
"Yをロック","Lock Y"
"y座標の編集をロックします","Lock editing of the y-coordinate"
"Zをロック","Lock Z"
"Z座標の編集をロックする","Lock editing of the z-coordinate"
"円のカスタム半径","Custom radius for circle"
"角度","Angle"
"円をある角度で回転させる","Rotate a circle by an angle"
"通常","Regular"
"円に沿って一定の距離で頂点を分散します","Distribute vertices at constant distances along the circle"
"バツ","X"
"Y","Y"
"Z","Z"
"曲線","Curve"
"ループを滑らかな曲線に変える","Turn a loop into a smooth curve"
"境界","Boundaries"
"選択した頂点の境界内で機能するようにツールを制限します","Limit the tool to work within the boundaries of the selected vertices"
"補間","Interpolation"
"補間に使用されるアルゴリズム","Algorithm used for interpolation"
"曲線に沿って一定の距離で頂点を分散します","Distribute vertices at constant distances along the curve"
"制限","Restriction"
"頂点の移動方法に関する制限","Restrictions on how the vertices can be moved"
"最適な平面上の頂点を平坦化する","Flatten vertices on a best-fitting plane"
"飛行機","Plane"
"頂点が平坦化される平面","Plane on which vertices are flattened"
"注釈を削除する","Remove Annotation"
"すべての注釈ストロークを削除します","Remove all Annotation Strokes"
"GPencilを削除します","Remove GPencil"
"すべてのGPencilストロークを削除します","Remove all GPencil Strokes"
"Gstretch","Gstretch"
"選択した頂点をアクティブなストロークにストレッチします","Stretch selected vertices to active stroke"
"変換","Conversion"
"ストロークがジオメトリに変換される場合、","If strokes are converted to geometry, "
"距離","Distance"
"変換された頂点に沿った頂点間の絶対距離","Absolute distance between vertices along the converted "
"最大頂点","Max Vertices"
"頂点ストロークの最大数は","Maximum number of vertices strokes will "
"最小頂点","Min Vertices"
"頂点ストロークの最小数は","Minimum number of vertices strokes will "
"頂点","Vertices"
"頂点ストロークの数は","Number of vertices strokes will "
"ストロークを削除する","Delete strokes"
"ストロークを使用した場合は削除します。","Remove strokes if they have been used."
"頂点を分散する方法","Method of distributing the vertices over the "
"最小","Min"
"マックス","Max"
"注釈ストロークを削除する","Delete annotation strokes"
"GPencilストロークを削除する","Delete GPencil strokes"
"リラックス","Relax"
"ループをリラックスして、スムーズにします","Relax the loop, so it is smoother"
"入力","Input"
"リラックスしたループ","Loops that are relaxed"
"反復","Iterations"
"ループが緩和された回数","Number of times the loop is relaxed"
"ループに沿って一定の距離で頂点を分散します","Distribute vertices at constant distances along the loop"
"スペース","Space"
"ループ上の規則的な分布で頂点の間隔を空ける","Space the vertices in a regular distribution on the loop"
"間隔を空けたループ","Loops that are spaced"
"LoopTools","LoopTools"
"橋","Bridge"
"mesh_edit","mesh_edit"
"注釈ストロークを削除する","Delete Annotation Strokes"
"GPencilストロークを削除する","Delete GPencil Strokes"
"ブリッジ設定","Bridge settings"
"ブリッジツールの設定を表示する","Display settings of the Bridge tool"
"サークル設定","Circle settings"
"サークルツールの設定を表示する","Display settings of the Circle tool"
"カーブ設定","Curve settings"
"カーブツールの設定を表示します","Display settings of the Curve tool"
"設定をフラット化","Flatten settings"
"Flattenツールの設定を表示します","Display settings of the Flatten tool"
"Gstretch設定","Gstretch settings"
"Gstretchツールの設定を表示する","Display settings of the Gstretch tool"
"ロフト設定","Loft settings"
"ロフトツールの設定を表示する","Display settings of the Loft tool"
"設定をリラックス","Relax settings"
"リラックスツールの設定を表示する","Display settings of the Relax tool"
"スペース設定","Space settings"
"スペースツールの設定を表示します","Display settings of the Space tool"
"補間モード：セグメントの作成時に使用されるアルゴリズム","Interpolation mode: algorithm used when creating segments"
"の境界内で動作するようにツールを制限します","Limit the tool to work within the boundaries of the "
"グリースペンシルストロークが使用されている場合は削除します","Remove Grease Pencil strokes if they have been used "
"グリース上に頂点を分散する方法","Method of distributing the vertices over the Grease "
"ガイドを使用する","Use guides"
"GPencilオブジェクト","GPencil object"
"GPencilオブジェクトを設定します","Set GPencil object"
"タブカテゴリ","Tab Category"
"パネルのカテゴリの名前を選択してください","Choose a name for the category of the panel"
"タブカテゴリ：","Tab Category:"
