用于注册类和属性的实用模块,Utility module for registering classes and properties
"将给定模块放入全局 ""imported_modules ""列表中",Puts the given modules into a global 'imported_modules' list
根据类的层次结构对类排序,Sorts classes based on their hierarchy.
','
三维视图,3D View
属性编辑器,Property Editor
返回包含所有图标的预览集合。,Returns the preview collection containing all icons.
从 json 读取偏好设置,Read preferences from a json
将首选项写入 json,Write preferences into a json
"""\""""
"""", ""侧边栏""","""\""""
"""",""Sidebar"""
启用/禁用侧边栏选项卡,Enable/disable the Sidebar tab
属性编辑器,Properties Editor
启用/禁用属性编辑器内的选项,Enable/disable inside Properties Editor
属性编辑器样式,Properties Editor Style
在属性编辑器中将修改器显示为,Display modifiers inside Properties Editor as
侧边栏样式,Sidebar Style
以,Display modifiers inside the sidebar as
弹出窗口样式,Popup Style
在弹出窗口中将修改器显示为,Display modifiers inside the popup as
保持侧边栏面板可见,Keep Sidebar Panels Visible
保持侧边栏面板始终可见,Keep the sidebar panels always visible
侧边栏类别,Sidebar Category
每行收藏夹,Favourites Per Row
每行收藏夹的数量,The number of favourites per row
从菜单中选择时自动排序收藏夹,Auto Sort Favourites When Choosing From Menu
从菜单中选择时自动排序收藏夹修饰符。,Automatically sort favourite modifiers when choosing from the menu. 
添加收藏修改器,Add a favourite modifier
在收藏夹中使用图标,Use Icons In Favourites
在收藏修改器按钮中使用图标,Use icons in favourite modifier buttons
在激活后插入新修改器,Insert New Modifier After Active
添加新修改器时，将其插入活动修改器之后。\n,"When adding a new modifier, insert it after the active one. \n"
禁止应用隐藏修改器,Disallow Applying Hidden Modifiers
禁止应用修改器,Disallow applying modifier
图标颜色,Icon Color
插件的颜色,Color of the addon
反转列表,Reverse List
持续反转列表顺序（需要重新启动）,Reverse the order of the list persistently (requires restart)
隐藏常规设置区域,Hide General Settings Region
隐藏显示修改器名称和显示设置的区域。,Hide the region which shows modifier name and display settings. 
显示确认弹出窗口,Show Confirmation Popups
"显示 ""应用所有修改器 ""的确认弹出窗口 ",Show confirmation popups for Apply All Modifiers 
使用堆栈样式在主布局中显示批操作符,Show Batch Operators In Main Layout With Stack Style
