,This module provides a class for managing blender classes,
,Add a blender class to be managed,
,This file handles addon preferences.,
,Preferences for MPFB,
,"""\""""
"""",""UI layout with multiple panels""",
,"Use a layout with multiple panels, such as one for targets, one for materials and so on, rather than everything in a single panel.",
,Path to MPFB user data,
,"If you want to store MPFB user data somewhere other than in the default location, you can enter the path to an existing directory here",
,Path to MakeHuman user data,
,"If you want to use assets and models created from or downloaded with MakeHuman, you can specify the path to the data directory here. It is usually ~/Documents/makehuman/v1py3/data or something looking like that",
,Autodiscover path to MakeHuman user data,
,"If the path to the MakeHuman user data directory is not specified, then try to figure it out automatically. If the path is explicitly set, this setting will have no effect",
,Globally log all uncaught exceptions,
,"In order to log unhandled exceptions, MPFB can override the global exception handler. This might cause problems when reloading and/or together with other modules. However, if you run into a crash and need a proper log, you can enable this temporarily",
,Shelf label,
,"If you want to use a different name for the MPFB shelf tab, you can enter any non-empty string here",
,',
,You need to restart blender before changes below come into effect.,
,Remember to save preferences before restarting.,
,Deconstruct all loaded blenderish classes,
,This module contains functionality for serializing/deserializing rigs via JSON.,
,Entity class representing an armature.,
,You might want to use one of the static methods rather than calling init directly.,
,Create an instance of Rig and populate it with information from the json file and from the base mesh.,
,Create an instance of Rig and populate it with information from the armature and related meshes.,
,Use the information in the object to construct an armature and adjust it to fit the base mesh.,
,Create the actual bones in the armature object.,
,Reposition bones to fit the current state of the basemesh.,
,Assign metadata fitting for the edit bones.,
,Assign bone meta data fitting for the pose bones.,
,Select the best bone from each chain connecting two joints.,
,Select the best bone from a chain connecting two joints.,
,Calculates the distance from a point to a Bone.,
,"Find chains of bones connecting two joint cubes, with automatic joint unsplitting.",
,Find chains of bones connecting two joint cubes.,
,Save strategy data in the pose bones for development.,
,Retrieve head or tail strategy settings from a bone.,
,List bones which are still marked as using the DEFAULT positioning strategy.,
,Move basemesh so it has feet on ground and apply this transform.,
, ,
,temporary_fit_rig_key.,
,Extract bone information from the bone data.,
,Extract bone information from the edit bones.,
,Round some float values in definitions to reduce noise on re-save,
,Extract information from the pose bones.,
,Retrieve deform weights associated with the given mesh vertex.,
,Try to find out bone positions matching joint cubes.,
,Check if the saved strategies are better and apply them.,
,This module contains entities used in various places of the plugin.,
,This module provides and information holder for MHCLO files.,
,A representation of the values of a MHCLO file.,
,Create an empty MHCLO object with default values.,
,imported_cloth,
,no description,
,MakeSkinMaterial,
,Group Input,
,Group Output,
,Material Output,
,If there is a defined skeleton that we plan to apply,
,Return the z coordinate for the center of the joint cube representing the ground,
,Setup vertex groups for vertices in the helper geometry.,
,Fetch information about the rig from MH,
,"Create the actual blender object for the basemesh, and apply vertex groups and modifiers for it",
,body,
,"Getter for the importer presets, which is a dict that should have been given in the constructor",
,"Getter for object type. Type is Basemesh, Proxymeshes, Clothes, Eyes and so on and so forth.",
,Convenience call from getting name from object_info,
,Convenience call from getting filename from object_info,
