# Target Addon : Node Wrangler ver3.38
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno

"tmp_viewer","tmp_viewer"
"ベースカラー","Base Color"
"ベースカラーマップのコンポーネントの命名","Naming Components for Base Color maps"
"地下の色","Subsurface Color"
"地下カラーマップのコンポーネントの命名","Naming Components for Subsurface Color maps"
"メタリック","Metallic"
"金属性マップのコンポーネントの命名","Naming Components for metallness maps"
"スペキュラー","Specular"
"鏡面反射マップのコンポーネントの命名","Naming Components for Specular maps"
"普通","Normal"
"法線マップのコンポーネントの命名","Naming Components for Normal maps"
"バンプ","Bump"
"バンプマップのコンポーネントの命名","Naming Components for bump maps"
"粗さ","Roughness"
"粗さマップのコンポーネントの命名","Naming Components for roughness maps"
"グロス","Gloss"
"光沢のあるマップのコンポーネントの命名","Naming Components for glossy maps"
"変位","Displacement"
"ディスプレースメントマップのコンポーネントの命名","Naming Components for displacement maps"
"ミックスノードを非表示にする","Hide Mix nodes"
"Ctrl + Numpad0ホットキー（および同様のもの）を使用してノードをマージする場合、ノードを折りたたむか、オプションを展開してノード全体を表示するかを指定します","When merging nodes with the Ctrl+Numpad0 hotkey (and similar) specify whether to collapse them or show the full node with options expanded"
"混合ノードの位置","Mix Node Position"
"Ctrl + Numpad0ホットキー（および同様のもの）を使用してノードをマージする場合は、新しいノードの位置を指定します","When merging nodes with the Ctrl+Numpad0 hotkey (and similar) specify the position of the new nodes"
"ホットキーリストを表示する","Show Hotkey List"
"このボックスを展開して、このアドオンの関数のすべてのホットキーのリストを表示します","Expand this box into a list of all the hotkeys for functions in this addon"
"        名前でフィルタリング","        Filter by Name"
"名前にこのテキストが含まれているホットキーのみを表示する","Show only hotkeys that have this text in their name"
"原則的な命名タグを表示する","Show Principled naming tags"
"このボックスを展開して、原則的なテクスチャ設定用のすべてのネーミングタグのリストを表示します","Expand this box into a list of all naming tags for principled texture setup"
"PrincipledBSDFセットアップでの自動テクスチャ検出用のタグの編集","Edit tags for auto texture detection in Principled BSDF setup"
"ホットキーリストを非表示","Hide Hotkey List"
