"使相机处于活动状态","Make Camera Active"
"使该相机成为场景中的活动相机","Make this Camera the active camera in the Scene"
"刷新插件设置","Refresh Photographer Settings"
"如果您在 Photographer 插件之外更改了渲染引擎和设置，请重新应用这些设置以确保它们是最新的","If you changed Render engines and settings outside of the Photographer addon, reapply the settings to make sure they are up to date"
"选择活动相机","Select Active Camera"
"选择场景中的活动摄像机","Select the Active Camera in the Scene"
"切换到快门角度","Switch to Shutter Angle"
"切换到快门速度","Switch to Shutter Speed"
"启用运动模糊渲染","Enable Motion Blur render"
"在渲染设置中启用运动模糊","Enable Motion Blur in the Render Settings"
"将相机包含在渲染队列中","Include Camera in Render Queue"
"使用“启用渲染全部”时将渲染相机","The camera will be rendered when using Render All Enabled"
"相机目标","Camera Target"
"相机目标跟踪：将目标放置在物体和相机上","Camera Target Tracking: Place a target on an object and the camera "
"传感器类型","Sensor Type"
"相机传感器尺寸","Camera Sensor Size"
"鱼眼","Fisheye"
"鱼眼焦距","Fisheye Focal Length"
"鱼眼焦距（毫米）","Fisheye Focal Length in mm"
"焦距","Focal Length"
"焦距（毫米）","Focal Length in mm"
"补偿","Compensated"
"镜头移位 V","Lens Shift V"
"在保持取景的同时调整垂直偏移","Adjusts Vertical Shift while maintaining framing"
"镜头平移水平","Lens Shift H"
"调整水平移动，同时保持取景","Adjusts Horizontal Shift while maintaining framing"
"集中呼吸","Focus Breathing"
"改变焦距会轻微影响焦距。","Changing the focus distance will slightly affect the focal length."
"启用曝光控制","Enable Exposure Controls"
"启用运动模糊控制","Enable Motion Blur control"
"运动模糊将由快门速度/快门角度值控制","Motion Blur will be controlled by the Shutter Speed / Shutter Angle values"
"曝光模式","Exposure Mode"
"曝光值","Exposure Value"
"曝光补偿","Exposure Compensation"
"附加曝光值调整","Additive Exposure Value adjustment"
"自动曝光","Auto Exposure"
"自动曝光补偿值","Auto Exposure compensation value"
"中心配重","Center Weight"
"为框架中心而不是整个视口赋予更多权重","Gives more weight to the center of the frame instead of the entire viewport"
"自动曝光速度","AE Speed"
"自动曝光达到亮度目标的速度","Speed at which the Auto Exposure will reach its luminance target"
"动画自动曝光","Animate Auto Exposure"
"使用自动曝光时设置曝光值的关键点","Sets keys on Exposure Value when using Auto Exposure"
"False Color","False Color"
"启用 False Color 视图变换以验证您的曝光","Enable False Color view transform to validate your exposure"
"启用白平衡控制","Enable White Balance controls"
"使用温度和色调值调整颜色","Adjusts colors using Temperature and Tint values"
"快门模式","Shutter Mode"
"在快门速度和快门角度之间切换","Switch between Shutter Speed and Shutter Angle"
"快门速度 1/X 秒","Shutter Speed 1/X second"
"快门速度 - 控制运动模糊量","Shutter Speed - controls the amount of Motion Blur"
"快门速度滑块","Shutter Speed Slider"
"启用快门速度滑块而不是预设列表","Enable Shutter Speed slider instead of preset list"
"快门速度","Shutter Speed"
"相机快门速度","Camera Shutter Speed"
"快门角度","Shutter Angle"
"快门角度（以度为单位）- 控制快门速度和运动模糊量","Shutter Angle in degrees - controls the Shutter Speed and amount of Motion Blur"
"相机快门角度","Camera Shutter Angle"
"光圈 F 制光圈","Aperture F-stop"
"镜头光圈 - 控制景深","Lens aperture - controls the Depth of Field"
"光圈滑块","Aperture Slider"
"启用光圈滑块而不是预设列表","Enable Aperture slider instead of preset list"
"镜头光圈预设","Lens Aperture Presets"
"镜头光圈","Lens Aperture"
"ISO","ISO"
"ISO 设置","ISO setting"
"ISO 滑块","Iso Slider"
"启用 ISO 设置滑块而不是预设列表","Enable ISO setting slider instead of preset list"
