如果设置了 use_print_traces，则打印处理过的异常详细信息,Print handled exception details when use_print_traces is set
如果 verbose 为 true，则打印详细日志信息。,Print out a verbose logging message if verbose is true.
对基础 url 的所有 API 调用。,All API calls to base url.
所有 API 调用的结果，解码为 json 格式。,"Result of all api calls, decoded into json format."
创建工作目录并下载新文件,Create a working directory and download the new files
在更新前保存当前已安装插件的备份。,Save a backup of the current installed addon prior to an update.
恢复上次备份的插件版本，仅限用户启动,"Restore the last backed up addon version, user initiated only"
解压缩下载的文件并验证内容,"Unzip the downloaded file, and validate contents"
"将文件夹 ""merger ""合并到 ""base ""中，而不删除现有文件夹",Merge folder 'merger' into 'base' without deleting existing
自定义 urlretrieve 实现,Custom urlretrieve implementation
调用后台线程运行检查,Called for running check in a background thread
指定要更新的标签名称和网址,Assign the tag name and url to update to
加载或初始化更新器状态的 JSON 字典数据,Load or initialize JSON dictionary data for updater state
触发将当前 json 结构保存到 addon 内的文件中,Trigger save of current json structure into file within addon
启动后台线程检查更新,Start a background thread which will check for updates
执行更新检查，作为后台线程的目标运行,"Perform update check, run as target of background thread"
与 Bitbucket API 集成，用于 git 格式的版本库,Integration to Bitbucket API for git-formatted repositories
 , 
"""\""""
"""", ""比特巴克尔","""\""""
"""",""bitbucket"""
与 Github API 集成,Integration to Github API
github,github
与 GitLab API 集成,Integration to GitLab API
gitlab,gitlab
为更新器对象伪造最基本的字段和函数。,"Fake, bare minimum fields and functions for the updater object."
为字段添加注解属性，以避免 Blender 2.8+ 警告,Add annotation attribute to fields to avoid Blender 2.8+ warnings
Blender 2.8 之前和之后拆分 UI 函数的中间方法,Intermediate method for pre and post blender 2.8 split UI function
Blender 2.8 之前和之后抓取首选项的中间方法,Intermediate method for pre and post blender 2.8 grabbing preferences
检查并安装可用更新,Check and install update if available
{x} 附加组件更新可用,{x} addon update available
弹出窗口检查并显示当前可用的更新,Popup to check and display current updates available
清洁安装,Clean install
处理更新,Process update
决定安装、忽略或推迟新的附加组件更新,"Decide to install, ignore, or defer new addon update"
更新模块错误,Updater module error
更新 {} 已准备就绪！,Update {} ready!
阅读 {} 发行说明,Read {} release notes
在 QuickSnap 附加组件设置中禁用自动更新,Disable auto-update in the QuickSnap add-on settings
选择 ,Choose 
','
或单击窗口外的,or click outside window to defer
无可用更新,No updates available
"按 ""确定 ""退出对话框",Press okay to dismiss dialog
现在检查更新？,Check for update now?
立即检查 ,Check now for 
现在检查更新 {} 附加组件,Check now for an update to the {} addon
更新 ,Update 
更新至 {x} 附加组件的最新版本,Update to the latest version of the {x} addon
安装目标版本的 {x} 附加组件,Install a targeted version of the {x} addon
要安装的目标版本,Target version to install
选择要安装的版本,Select the version to install
更新程序错误,Updater error
选择安装版本,Select install version
作为备用方案，引导用户手动下载插件,"As a fallback, direct the user to download the addon manually"
手动安装更新,Install update manually
继续手动安装更新,Proceed to manually install update
发生错误,Error Occurred
尝试自动安装时出现问题,There was an issue trying to auto-install
按下面的下载按钮，像安装普通附加组件一样安装,Press the download button below and install
像安装普通插件一样安装压缩文件。,the zip file like a normal addon.
手动安装插件,Install the addon manually
直接下载,Direct download
(直接下载失败）,(failed to retrieve direct download)
打开网站,Open website
查看源网站下载更新,See source website to download the update
已安装附加组件，弹出窗口告知用户已完成安装或出错原因,"Addon in place, popup telling user it completed or what went wrong"
安装报告,Installation Report
更新安装响应,Update installation response
出现错误，未安装,"Error occurred, did not install"
点击手动下载。,Click for manual download.
恢复插件,Addon restored
重启搅拌器重新加载,Restart blender to reload
插件已成功安装,Addon successfully installed
考虑重新启动 blender 以完全重新加载。,Consider restarting blender to fully reload.
从备份恢复插件,Restore addon from backup
恢复备份,Restore backup
忽略更新以防止未来弹出窗口,Ignore update to prevent future popups
忽略更新,Ignore update
停止在后台检查更新,Stop checking for update in the background
结束后台检查,End background check
传入更新器，后台线程更新器,"Passed into the updater, background thread updater"
异步线程完成后重绘界面,Redraw the ui once an async thread has completed
可放在其他操作符前面，按下后即可启动,Can be placed in front of other operators to launch when pressed
重启搅拌器,Restart blender
以完成更新,to complete update
更新准备就绪！,Update ready!
忽略,Ignore
更新,Update
手动安装,Install manually
立即获取,Get it now
初始化更新程序代码时出错：,Error initializing updater code:
获取更新程序首选项时出错,Error getting updater preferences
更新程序设置,Updater Settings
重新启动搅拌机以完成更新,Restart blender to complete update
检查间隔,Interval between checks
检查...,Checking...
现在更新为 ,Update now to 
插件已更新,Addon is up to date
安装 {} / 旧版本,Install {} / old version
(重新安装插件版本,(Re)install addon version
恢复插件备份 ({}),Restore addon backup ({})
上次更新检查 ,Last update check: 
上次更新检查 从不,Last update check: Never
上次检查 ,Last check: 
上次检查 从不,Last check: Never
在此模块中注册操作员,Registering the operators in this module
快速捕捉工具,QuickSnap Tool
从/到选定顶点、曲线点、对象原点、边缘中点、面快速捕捉选区,"Quickly snap selection from/to a selected vertex, curve point, object origin, edge midpoint, face"
VIEW3D_MT_PIE_quicksnap,VIEW3D_MT_PIE_quicksnap
绘制橡皮筋,Draw Rubber Band
在编辑模式下使用顶点自动合并,Use vertices Auto-Merge in Edit mode
启用此选项后，QuickSnap 将使用右上角可见的自动合并切换按钮,"With this option enabled, QuickSnap will use the Auto-Merge toggle visible in the top right corner"
从/到对象原点捕捉,Snap from/to objects origins
显示目标对象线框,Display target object wireframe
启用高亮显示目标顶点边缘*。,Enable highlighting of target vertex edges*
高亮宽度,Highlight Width
高亮颜色（选定对象）,Highlight Color (Selected object)
高亮颜色（目标对象）,Highlight Color (Target object)
高亮不透明度,Highlight Opacity
显示边缘中点/面中心附近* 忽略修改器（适用于复杂场景,Display near edge midpoints/face centers*
忽略修改器（适用于复杂场景）,Ignore modifiers (For heavy scenes)
捕捉自,Snap From
捕捉到,Snap To
显示捕捉目标图标,Display Snap Target Icons
自动检查更新,Auto-check for Update
如果启用，将使用一个时间间隔自动检查更新,"If enabled, auto-check for updates using an interval"
月数,Months
检查更新的间隔月数,Number of months between checking for updates
天数,Days
检查更新之间的天数,Number of days between checking for updates
小时数,Hours
两次检查更新之间的小时数,Number of hours between checking for updates
分钟,Minutes
检查更新之间的分钟数,Number of minutes between checking for updates
日志级别,Log Level
目标边缘突出显示*：,Target Edge Highlight*:
*会明显影响性能,*Can noticeably impact performances
键图,Keymap
QuickSnap 热键：,QuickSnap hotkeys:
快速捕捉_派,QuickSnap_Pie
捕捉自,Snap From:
捕捉到,Snap To:
打开插件设置,Open Addon Settings
    包含场景中一个对象的世界空间/屏幕空间/数量。 ,    Contains the world space/screen space/counts of one object in the scene.  
,
通过www.DeepL.com/Translator（免费版）翻译,
