"自动更新文件","Auto Update File"
"更新间隔","Update Interval"
"文件数据","File Data"
"从py文件提取","Extract text from .py file"
"翻译文本的流程","Process for translated text"
"合并源文件和翻译文件以创建文件","Combine source & translation to create file"
"从剪贴板粘贴翻译文本","Paste translated text from clipboard"
"翻译","Translated"
"将自动翻译网站等翻译的剪贴板文本粘贴为翻译文本","Paste the clipboard text translated by an automatic translation site etc. as translated text"
"合并源文本和翻译文本，以 .csv 文件格式保存在 user_files 文件夹中","Combine the source text and the translated text and save it as a .csv file in the user_files folder"
"从插件的 .py 文件中提取所有文本元素（搜索 bl_label、bl_description、name、description、text）\n 如果是文件夹，则搜索 .py 文件到更深的文件夹。","Extract all text elements from the add-on's .py file\n(search for bl_label, bl_description, name, description, text)\nIn the case of a folder, search the .py file to a deeper folder"
"从文件夹中的 .py 中提取文本","Extract text from .py in a folder"
"创建 .csv 文件（覆盖）","Create .csv File(Overwrite)"
"打开文件夹","Open Folder"
"",""
"",""
