# Target Addon : Send to Unreal ver2.0.2
# User Translate : ver1.0.1
# Translate File : ver1.0.0
# Translate File Author : Bookyakuno

"ダイアログなしで、開いているアンリアルエディターインスタンスにアセットをすばやく送信します","Quickly send your assets to an open unreal editor instance without a dialog"
"Unrealに送信","Send to Unreal"
"設定ダイアログを開いて、ツールのプロパティを変更します","Open the settings dialog to modify the tool properties"
"設定ダイアログ","Settings Dialog"
"アンリアルファイルのインポート","Import a file came from unreal"
"アセットのインポート","Import Asset"
"アセットデータを収集するために必要な事前定義されたコレクション「エクスポート」を作成します。","Creates the pre-defined collection 'Export' that is needed to collect asset data."
"事前定義されたコレクションを作成する","Create Pre-defined Collections"
"プロパティの現在の状態を指定されたテンプレートファイルに保存します","Saves the current state of the properties to the specified template file"
"テンプレートを保存","Save Template"
"指定したテンプレートファイルをテンプレートフォルダの場所にロードします","Loads the specified template file into the template folder location"
"テンプレートをロード","Load Template"
"選択した設定テンプレートを削除します","Remove the selected settings template"
"このテンプレートを削除しますか？","Delete this template?"
"拡張ファイルをリロードします","Reload the extensions files"
"拡張機能をリロードする","Reload Extensions"
"アンリアルブートストラップとrpcサーバースレッドとのブレンダーにより、リモート呼び出しの準備が整います。","Bootstraps unreal and blender with rpc server threads, so that they are ready for remote calls."
"RPCサーバーを起動します","Start RPC Servers"
"これは何も変更しない演算子ですが、元に戻るスタックをクリアするために使用されていました","This is an operator that changes nothing, but it used to clear the undo stack"
"ヌル演算子","Null Operator"
"事前定義されたコレクションを自動的に作成します","Automatically create pre-defined collections"
"RPC応答タイムアウト","RPC Response Timeout"
"拡張機能レポパス","Extensions Repo Path"
"ソースアプリケーション","Source Application"
"元のファイルが作成されたアプリケーション","The application the original file was created with"
"進捗","Progress"
"テンプレートバージョン","Template Version"
"テンプレートの設定","Setting Template"
"ロードする設定テンプレートを選択します","Select which settings template you want to load"
"設定のどのセクションを表示するかを選択します","Choose which section of the settings to view"
"パスモード","Path Mode"
"エクスポート先のパスの種類を選択します","Select which type of paths you want to export to"
"直接の親コレクション名を使用する","Use immediate parent collection name"
"コレクションをフォルダーとして使用する","Use collections as folders"
"メッシュフォルダ（Unreal）","Mesh Folder (Unreal)"
"アニメーションフォルダ（Unreal）","Animation Folder (Unreal)"
"スケルトンアセット（Unreal）","Skeleton Asset (Unreal)"
"物理資産（Unreal）","Physics Asset (Unreal)"
"メッシュフォルダー（ディスク）","Mesh Folder (Disk)"
"アニメーションフォルダ（ディスク）","Animation Folder (Disk)"
"ボーンを自動的にスケーリングします","Automatically scale bones"
"すべてのアクションをエクスポートする","Export all actions"
"オブジェクト名をルートボーンとしてエクスポート","Export object name as root bone"
"カスタムプロパティの曲線をエクスポートする","Export custom property fcurves"
"オートスタッシュアクティブアクション","Auto stash active action"
"オブジェクトの原点を使用する","Use object origin"
"子メッシュを組み合わせる","Combine child meshes"
"マテリアルとテクスチャ","Materials and Textures"
"FBXファイルからマテリアルとテクスチャをインポートするかどうか","Whether or not to import the materials and textures from the FBX file"
"アニメーション","Animations"
"FBXファイルからアニメーションをインポートするかどうか","Whether or not to import the animation from the FBX file"
"FBXインポートUIを起動します","Launch FBX Import UI"
"このオプションを有効にすると、UnrealでFBXインポートUIが起動します","When enabled this option launches the FBX import UI in Unreal"
"LOD","LODs"
"カスタムLODをエクスポートするかどうか","Whether or not to export the custom LODs"
"LOD正規表現","LOD Regex"
"LOD設定（Unreal）","LOD Settings (Unreal)"
"シーンスケールを確認する","Check scene scale"
"シーンのフレームレートを確認する","Check scene frame rate"
"これにより、シーンの時間単位がチェックされ、指定された値に設定されていることが確認されます。","This checks the scene time units and ensures they are set to the specified value"
"アーマチュアに適用されていない変換がないか確認してください","Check armatures for un-applied transforms"
"資産に未使用の材料があるかどうかを確認します","Check if asset has unused materials"
"テクスチャ参照を確認してください","Check texture references"
"パスを確認する","Check paths"
"根","root"
"アーマチュア","Armature"
"BlenderRPCServer","BlenderRPCServer"
"RPCServer","RPCServer"
"UnrealRPCServer","UnrealRPCServer"
"定義されたアセット名の接辞をメッシュ、テクスチャ、マテリアルなどに追加します。","Adds the defined asset name affixes to Meshes, Textures, Materials etc."
"アセットの接辞を追加する","Add Asset Affixes"
"メッシュ、テクスチャ、マテリアルなどに付加されている定義済みのアセット名を削除します。","Removes the defined asset name affixes to Meshes, Textures, Materials etc."
"アセットの接辞を削除する","Remove Asset Affixes"
"接辞","affixes"
"エクスポート時に接辞を自動的に追加します","Automatically add affixes on export"
"エクスポート後に接辞を削除します","Remove affixes after export"
"静的メッシュ接辞","Static Mesh Affix"
"エクスポートされた静的メッシュアセットに使用する接頭辞または接尾辞。プレフィックスはで終わります","The prefix or suffix to use for exported static mesh assets. Prefixes end with an "
"材料の接辞","Material Affix"
"エクスポートされたマテリアルアセットに使用する接頭辞または接尾辞。プレフィックスはで終わります","The prefix or suffix to use for exported material assets. Prefixes end with an "
"テクスチャ接辞","Texture Affix"
"エクスポートされたテクスチャアセットに使用するプレフィックスまたはサフィックス。プレフィックスはで終わります","The prefix or suffix to use for exported texture assets. Prefixes end with an "
"骨格メッシュ接辞","Skeletal Mesh Affix"
"エクスポートされた骨格メッシュアセットに使用する接頭辞または接尾辞。プレフィックスはで終わります","The prefix or suffix to use for exported skeletal mesh assets. Prefixes end with an "
"アニメーションシーケンスの接辞","Animation Sequence Affix"
"エクスポートされたアニメーションシーケンスアセットに使用するプレフィックスまたはサフィックス。プレフィックスはで終わります","The prefix or suffix to use for exported animation sequence assets. Prefixes end with an "
"接辞：","Affixes:"
"ue2rigify","ue2rigify"
