, 
,'
"""\""""
"""", ""插针/取消插针""","""\""""
"""",""Pin/ Un-Pin"""
保存或清除所有视图层状态,Save or clear all View Layer states
保存视图层状态,Save View Layer states
主图层,Primary Layer
将视图层保存为主工作区,Save a view layer as the primary workspace
查看图层,View layers
删除镜头,Delete Shot
永久删除此镜头,Permanently delete this shot
删除所有选定镜头,Delete all selected shots
删除主视图层,Delete Primary View Layer
覆盖,Override
刷新,Refresh
刷新输出查看器,Refresh Output Viewer
复制,Copy From
将另一个镜头的属性复制到此镜头或所有队列镜头中,Copy properties from another shot to this shot or all queued shots
源镜头名称：,Source Shot Name:
镜头数据,Shot Data
应用于所有排队的镜头,Apply to all queued shots
复制,Duplicate
复制此镜头，保留所有设置并生成新名称,"Duplicate this shot, keeping all of the settings and generate a new name"
分割,Split
在所选帧处分割此镜头，创建一个完整副本,"Split this shot at the selected frame, creating a complete copy"
在帧上分割,Split at Frame
合并,Join
将另一个镜头合并到此镜头中，扩展其时间范围并删除目标。可选择合并视图层和规则。其他镜头数据将不会保留。,"Merge another shot into this one, extending its time range and deleting the target. Option to merge View Layers and Rules. Other shot data will not be preserved."
目标,Target
将目标镜头合并到活动镜头中。,Merges the Target shot into the active shot.
删除目标,Delete Target
同化视图层,Assimilate View Layers
从源添加视图层状态,Add View Layer states from source
吸收规则,Assimilate Rules
从源添加不存在的规则,Add non-existent rules from source
与 ,With 
添加镜头,Add Shot
新镜头,New Shot
添加新镜头,Add a new shot
模式：静态图像,MODE: Still Images
使用单帧而非帧范围,Use single frames rather than frame ranges
模式：静态图像 生成视图图层,MODE: Generate View Layers
为每个新镜头创建并关联一个视图图层作为主图层,Make and associate a View Layer with each new shot as Primary Layer
图集状态,Collections State
生成的视图层的集合状态,State of collections for generated View Layer
-1,-1
排序,Sort
移动镜头,Move Shot
移动到索引,Move To Index
将镜头移动到另一个索引,Move Shot to another index
目标索引,Target Index
快速选择,Quick Select
快速选择镜头,Quick Select shot
选择/查看项目,Select/View item
选择和/或查看项目属性,Select and/or view item properties
数据,DATA
全部排队,Queue All
切换队列全部（可见颜色集内）或无,Toggle queue all(within visible colour set) or None
保存 json,Save json
将镜头保存为 json,Save shots into json
包含镜头管理器设置,Include Shot Manager Settings
打开 json,Open json
从 json 加载镜头,Load shots from json
替换默认镜头,Replace Default Shot
用导入的 ,Replace the default shot with an imported 
场景名称,Scene name
要复制的原始场景，留空表示全部导入。,"Original scene to copy from, leave empty to import all."
应用设置,Apply Settings
使用当前场景设置预填充镜头数据,Use the current scene settings to pre-fill shot data
重新命名视图层？,Rename View Layer?
更新视图层名称以匹配镜头,Update View Layer name to match the Shot
切换叠加区域,Switch overlay area
刷新镜头列表,Refresh Shot List
来源,Source
选择源镜头。,Select source shot.
镜头名称：,Shot Name:
镜头管理器： 新图集,Shot Manager: New Collection
在所有视图层都未启用的情况下添加新集合,Add a new Collection without it being enabled in all View Layers
添加属性覆盖,Add Property Override
添加新的属性覆盖，所有镜头都可访问 ,"Add a new property override, accessible by all shots "
删除覆盖属性,Delete Property Override
删除所有镜头的覆盖属性,Delete a property override for all shots
删除的属性将从该场景的所有镜头中移除！,Deleted properties will be removed from all shots within this scene!
