,Show description
, 
,"""\""""
"""",""Show Info"""
网格,Mesh
对象模式,Object Mode
X 射线选框,Select Box X-Ray
使用 X 射线框选功能选择项目,Select items using box selection with x-ray
选择圆形 X 光片,Select Circle X-Ray
使用 X 射线的圆选择功能选择项目,Select items using circle selection with x-ray
选择套索 X 光,Select Lasso X-Ray
用 X 光套索选择项目,Select items using lasso selection with x-ray
使用方框选择功能选择项目,Select items using box selection
使用圆选区选择项目,Select items using circle selection
使用套索选区选择项目,Select items using lasso selection
为每个工具创建空的后备键图。,Create empty fallback keymap for every tool.
使用插件偏好设置中的键图项填充工具后备键图。,Fill tool fallback keymaps with keymap items from addon preferences.
删除工具后备键图项目。,Remove tool fallback keymap items.
从模板填充偏好键图集合属性,Fill preferences keymaps collection property from template
从附加组件首选项的键图集合属性中获取工具键图项目。,Get tool keymap items from addon preferences keymap collection property.
将 addon 偏好设置的键图集合属性更改应用到 keyconfig 工具键图。,Apply changes of addon preferences keymap collection property to keyconfig tool keymaps.
说明,Description
图标,Icon
激活,Active
启用或禁用按键修饰符,Enable or disable key modifier
移位,Shift
按下 Shift 键,Shift key pressed
Ctrl,Ctrl
按下 Ctrl 键,Ctrl key pressed
Alt,Alt
按下 Alt 键,Alt key pressed
KMIS,KMIS
全选,Select Through
选择位于下方的顶点、面和边,"Select verts, faces and edges laying underneath"
默认颜色,Default Color
"禁用 ""选择通过 ""时的工具颜色",Tool color when selection through is disabled
选择通过颜色,Select Through Color
显示 X 光,Show X-Ray
在选择时启用 X 射线阴影,Enable x-ray shading during selection
选择所有边缘,Select All Edges
另外选择部分位于选区边界内的边缘、 ,"Additionally select edges that are partially inside the selection borders, "
选择所有面,Select All Faces
选择部分位于选择边框内的面、 ,"Additionally select faces that are partially inside the selection borders, "
选择背向,Select Backfacing
选择法线朝向远离你的元素。仅在全选模式下有效,Select elements with normals facing away from you. Works only in select through mode
选项卡,Tabs
方向框行为,Directional Box Behavior
为拖动方向分别配置行为,Configure behavior separately for dragging directions
方向套索行为,Directional Lasso Behavior
选择通过切换键,Selection Through Toggle Key
通过按住此键切换选择,Toggle selection through by holding this key
通过按住切换选择,Toggle Selection Through by Press or Hold
通过按住或按下该键切换选区,Toggle selection through by holding or by pressing key
隐藏镜像,Hide Mirror
在选择过程中隐藏镜像修改器,Hide mirror modifiers during selection
隐藏凝固,Hide Solidify
在选择过程中隐藏凝固修饰符,Hide solidify modifiers during selection
隐藏小工具,Hide Gizmo
在选择过程中隐藏活动工具小工具,Hide active tool gizmo during selection
显示十字准线,Show Crosshair
启用等待输入时显示十字准线,Show crosshair when wait_for_input is enabled
显示套索光标,Show Lasso Cursor
启用输入等待时显示套索光标图标,Show lasso cursor icon when wait_for_input is enabled
启动时自动激活,Activate automatically at startup
将此工具设置为在启动搅拌器或加载保存文件时在工具栏中自动激活,Set this tool as active in toolbar automatically when you start blender or load a save file
X 光切换键,X-Ray Toggle Key
按住此键切换 X 光,Toggle x-ray by holding this key
通过按住或不放切换 X 光,Toggle X-Ray by Press or Hold
通过按住或按下该键切换 X 光,Toggle x-ray by holding or by pressing key
方框选择行为,Box Select Behavior
选择行为,Selection behavior
圆形选择行为,Circle Select Behavior
套索选择行为,Lasso Select Behavior
网格模式键盘快捷键,Mesh Mode Keyboard Shortcuts
激活可将快捷键添加到混合器键盘映射中，停用可将其删除 ,"Activate to add shortcuts to blender keymap, deactivate to remove "
网格模式鼠标快捷键,Mesh Mode Mouse Shortcuts
对象模式键盘快捷键,Object Mode Keyboard Shortcuts
对象模式鼠标快捷键,Object Mode Mouse Shortcuts
首选项切换快捷方式,Preferences Toggles Shortcuts
工具键图,Keymaps of Tools
网格方向道具,Mesh Direction Props
