, 
','
烘焙修改器,Bake Modifiers
导出前应用网格修改器（电枢修改器除外,Apply mesh modifiers (except armature modifers) before export
版权,Copyright
指定是否在所有导出文件中显示您的版权信息,Assign if you want your copyright info to be present in all exported files
导出约束,Export Constraints
导出对象约束,Export object constraints
导出自定义道具,Export Custom Props
导出对象自定义属性,Export object custom properties
导出动画,Export Animations
导出动画,Export animations
导出播放范围,Export Playback Range
导出场景播放范围内的动画,Export animation within scene playback range
关键帧从 0 开始,Keyframes Start With 0
使导出的动画关键帧从 0 开始,Make exported animation keyframes start with 0
LZMA 压缩,LZMA Compression
启用 LZMA 压缩导出的 glTF 文件,Enable LZMA compression for exported glTF files
压缩纹理,Compress Textures
以 KTX2 压缩格式存储纹理,Store textures in KTX2 compression format
优化网格属性,Optimize Mesh Attrs
删除导出网格中未使用的几何属性（如切线,Remove unused geometry attributes (such as tangents) from exported meshes
抗锯齿,Anti-aliasing
首选抗锯齿方法,Preferred anti-aliasing method
使用 HDR 渲染,Use HDR Rendering
在兼容硬件上启用 HDR 渲染管道,Enable HDR rendering pipeline on compatible hardware
独立阶次透明度,Order-Indep. Transparency
启用与阶次无关的透明度渲染技术,Enable Order-Independent Transparency rendering technique
启用阴影,Enable Shadows
启用阴影，使用灯管设置确认阴影参数,"Enable shadows, use lamp settings to confiure shadow params"
阴影过滤,Shadow Filtering
阴影过滤模式,Shadow Filtering Mode
贴图面,Map Side
将物体的哪一面渲染为阴影贴图,Which side of the objects will be rendered to shadow maps
ESM 距离缩放,ESM Distance Scale
IBL 环境 模式,IBL Env. Mode
渲染场景环境的首选方法,Preferred method of rendering the scene environment
烘焙衔接动作,Bake Armature Actions
在导出前烘焙衔铁动作,Bake armature actions before export
烘焙文本,Bake Text
将字体对象导出为网格,Export Font objects as meshes
抖动,Dithering
应用色彩抖动消除条带伪影,Apply color dithering to eliminate banding artefacts
轮廓设置是场景设置的一部分,Outline settings are part of scene settings
启用,Enabled
启用轮廓效果,Enable outline effect
边缘强度,Edge Strength
轮廓边缘强度,Outline Edge Strength
边缘发光,Edge Glow
轮廓边缘发光,Outline edge glow
边缘厚度,Edge Thickness
轮廓边缘厚度,Outline edge thickness
脉冲周期,Pulse Period
轮廓脉冲周期,Outline pulse period
可见边缘颜色,Visible Edge Color
轮廓可见边缘颜色,Outline visible edge color
隐藏边缘颜色,Hidden Edge Color
轮廓隐藏边缘颜色,Outline hidden edge color
渲染隐藏边缘,Render Hidden Edge
是否渲染隐藏边缘部分,Render the hidden edge part or not
轮廓设置,Outline settings
自动启动,Auto Start
自动启动动画,Auto start animation
循环模式,Loop Mode
动画循环模式,Animation looping mode
无限重复,Repeat Infinitely
无限重复动画,Repeat animation infinite
重复次数,Repeat Count
动画重复次数,Animation repeat count
偏移,Offset
动画偏移（以帧为单位,Animation offset in frames
渲染顺序,Render Order
挫边剔除,Frustum Culling
为该对象执行阴影剔除。,Perform frustum culling for this object.
接收阴影,Receive Shadows
允许此对象接收阴影,Allow this object to receive shadows
HiDPI 合成,HiDPI Compositing
使用单独的 HiDPI（视网膜）合成通道渲染此对象（及其子对象,Render this object (and its children) using the separate HiDPI (Retina) compositing pass
